ID,名称,色彩渐入时间,色彩渐出时间,目标色彩,色彩透明度,图渐入时间,图等待,图渐出时间,中心图,图的透明度
100076,九尾螺旋丸,800,800,0xff0000,0.6,,,,,
100077,天照,800,800,0x000000,0.7,,,,,
100078,UUU,800,800,0xffff00,0.5,,,,,
100079,仙法浑天宝鉴,800,800,0x000000,0.7,,,,,
100080,上古狂暴,800,800,0xff0000,0.6,,,,,
100081,乾坤合天手,800,800,0xffff00,0.5,,,,,
100082,业界良心,800,800,0x18981e,0.6,,,,,
100083,艹你粑粑,800,800,0xff0000,0.6,,,,,
100084,散魄咒,800,800,0xffff00,0.5,,,,,
100085,孟婆汤,800,800,0xff0000,0.6,,,,,
100086,吸魂咒,800,800,0x000000,0.7,,,,,
100087,续命秘术宝石,800,800,0xff0000,0.6,,,,,
100088,狗咬狗,800,800,0xae00ff,0.6,,,,,
100089,无孔不入,800,800,0xffff00,0.5,,,,,
100090,地狱烈火,800,800,0xffff00,0.5,,,,,
100091,萌萌绿豆芽,800,800,0xffff00,0.5,,,,,
100092,礼包投掷,800,800,0xffff00,0.5,,,,,
100093,七呼啦的恐惧,800,800,0x18981e,0.6,,,,,
100094,球王暴击,800,800,0xff0000,0.6,,,,,
100095,闪电萌之力,800,800,0xae00ff,0.6,,,,,
100096,弹幕吐槽,800,800,0xff0000,0.6,,,,,
100097,尸鬼封尽,800,800,0x000000,0.7,,,,,
100098,雷切,800,800,0x000000,0.7,,,,,
100099,生死簿,800,800,0x000000,0.7,,,,,
100100,不死鸟的磐涅,800,800,0x000000,0.7,,,,,
100101,以太秘境崩塌,800,800,0x000000,0.7,,,,,
100102,一期一会,800,800,0x000000,0.7,,,,,
100103,真殴打小朋友,800,800,0x000000,0.7,,,,,
100104,番号XXXX,800,800,0xff0000,0.6,,,,,
100105,空城,800,800,0x18981e,0.6,,,,,
100106,逆空城,800,800,0xff0000,0.6,,,,,
100107,奇门遁甲,800,800,0x000000,0.7,,,,,
100108,真奇门遁甲,800,800,0xff0000,0.6,,,,,
100109,酋长的呼唤,800,800,0x000000,0.7,,,,,
100110,频道ORZ,800,800,0x000000,0.7,,,,,
100111,频道MAV,800,800,0x000000,0.7,,,,,
100112,雷霆崖之怒,800,800,0x18981e,0.6,,,,,
100113,亩产一千八,800,800,0x18981e,0.6,,,,,
100114,你们无可奈何,800,800,0xffff00,0.5,,,,,
100115,凉宫的进击,800,800,0xffff00,0.5,,,,,
100116,姥爷光环,800,800,0xffff00,0.5,,,,,
100117,南瓜王阵列,800,800,0x000000,0.7,,,,,
