ID,区域名字,描述,战力限制,图标,位置坐标类型,简单难度掉落,普通,困难
20,玉泉山,据古书记载，大师来到玉泉山时，关羽、关平父子显灵，舍此山给大师作到场。大师为关羽受五戒，关羽成护法迦蓝神。,530000,bg/mapbg/mapbg_angel.png,3,18000010|18000011|18000023,18000026|18000032|18000034,18000022|18000009|18000027
21,三次元,他们，或是站在历史的潮头，或是决战千里的元帅，或是治国安邦的能手，或是……一头头威武的雄狮，向世界发出吼声。,605000,bg/mapbg/mapbg_temple.png,1,11000031|18000036|18000038,18000038|18000031|18000033,18000038|18000031|18000033
22,虚拟异界,这个现实世界相邻的异界，其产生原因与存在意义至今仍是一个谜。但是无可否认，这个次元里的人拥有着强大的战斗力。,690000,bg/mapbg/mapbg_time.png,2,11000031|19000036|19000039,11000031|19000057|19000058,19000036|19000057|19000058
23,银河结界,遥远的远古浑沌时期，宇宙中的诸神创造了银河结界。他们在银河的这头，她们在那头，在数千万年的努力下，也许终有一天会有人打破银河结界。,780000,bg/mapbg/mapbg_oasis.png,3,18000033|18000031|19000067,18000033|18000031|19000067,18000033|18000031|19000067
24,爱情之树,如何让你遇见我，在我最美丽的时刻。为这，我已在佛前求了五百年，求他让我们结一段尘缘。,880000,bg/mapbg/mapbg_volcano.png,2,17000011|18000043|18000034,17000011|18000043|18000034,18000043|18000041|18000034
25,教学楼1号,高考即将开始，学校组织了一堆的模拟考。学院的同学们都摩拳擦掌，跃跃欲试。1号楼的银他妈班似乎有些喧闹……,990000,bg/mapbg/mapbg_plain.png,2,16000010|18000012|19000007,16000010|18000012|19000007,18000012|19000007|19000020
26,神秘力量,他们拥有与生具来的神力，或是付出代价得到的可怕力量，用热血开启荣耀的征程，追随神秘的力量一路前行。,1110000,bg/mapbg/mapbg_aircity.png,1,11000031|17000018|18000015,17000018|18000015|19000033,18000015|19000033|19000037
27,变装晚会,变装晚会要求：着装各类制服、海盗、超人、奥特曼、护士…请女生们穿好你的变装，男生理好发型。,1240000,bg/mapbg/mapbg_angel.png,2,11000031|18000019|16000012,18000019|16000012|19000058,11000031|18000019|19000058
28,教学楼2号,看到逗13高等学校招生全世界统一考卷以后，大家都惊呆了。教学楼2号里传出了窃窃私语的声音……,1438500,bg/mapbg/mapbg_mountain.png,1,17000002|17000001|18000002,18000003|18000001|17000004,18000001|17000004|19000002
29,战国硝烟,花时樱花，人是武士，宁愿短暂，只要灿烂。将一腔热血抛洒在辽阔的大地，将短暂对生命效力于疆场，,1575000,bg/mapbg/mapbg_iceberg.png,2,11000032|11000031|18000044,18000044|19000025|19000009,19000025|19000009|19000055
30,伽蓝之空,伽蓝之内，花果蔚茂，芳草蔓合，嘉木被庭。如此美好之地，却听闻有人在这一关卡打着打着就觉悟了……,1815000,bg/mapbg/mapbg_iceberg.png,3,17000003|18000040|18000039,18000040|18000039|19000012,19000012|19000047|19000045
31,华菱宫,红砖绿瓦、金碧辉煌，这里有天下最精致的亭台楼阁；衣香鬓影、环佩叮咚，这里有天下最美丽的娥眉绝色。,1980000,bg/mapbg/mapbg_mountain.png,3,17000032|17000033|18000043,17000033|18000043|19000055,17000033|18000043|19000055
32,海上军舰,军舰上有什么？当然是兵团、女神和海盗！女神正在迎风凹造型，但兵长似乎有点晕船的样子，将这一切看在眼中，龙马淡淡地笑了……,2277000,bg/mapbg/mapbg_path.png,2,17000005|17000030|18000029,17000030|18000029|18000003,18000029|18000003|18000021
33,旭日城,人类建立起来的宏伟城市，怪物较少出没，适宜居住。只是偶尔脑残领导人会有一些脑残的政治提案要求实施,2484000,bg/mapbg/mapbg_city.png,2,18000036|18000038|18000029,18000036|18000038|18000031,18000031|18000033|19000067
34,北海冰峰,千里冰封，万里雪飘。如果你来到这一片广袤无垠的冰天雪地，说不定可以见到一些传奇的英灵。,2640000,bg/mapbg/mapbg_plain.png,3,18000009|18000010|18000026,18000009|18000010|18000026,18000010|18000026|18000006
35,回雁峰,万里衡阳雁，今年又北归。雁峰烟雨，细细地柔进情人的心中。拨弄潇湘古琴，且问君在何方？,2772000,bg/mapbg/mapbg_relic.png,2,17000026|17000027|18000041,17000026|17000027|18000041,11000031|18000041|19000012
36,点将台,"大江东去,浪淘尽, 千古风流人物。 故垒西边。乱石穿空,惊涛拍岸, 卷起千堆雪。 江山如画,一时多少豪杰! ",3137500,bg/mapbg/mapbg_spring.png,1,18000026|18000010|18000022,18000026|18000010|18000022,18000026|18000010|18000022
37,地宫,地宫是危险的地方，哪里死人去哪里的万年小学生当然不会错过了，但是没想到小次郎兄也被人约在了这里，人魔之子在一旁默默地看着你……,3412500,bg/mapbg/mapbg_plain.png,1,17000002|18000035|18000032,18000008|18000035|18000032,18000008|18000035|18000032
38,白雪公园,据说公园里的林子是白雪公主曾经躲避过的地方。白雪皑皑的山峰折射初升的日光，让这个公园充满了清新和纯洁的味道。,3700000,bg/mapbg/mapbg_temple.png,2,17000030|18000038|18000012,18000038|18000012|19000007,18000012|19000007|19000020
39,火云道,沿着回雁峰一路向东，这里是火云道。漂浮的云彩的尽头可见如同火焰燃烧般的耀眼光芒。这里是无数人的梦中之路。,4000000,bg/mapbg/mapbg_time.png,3,11000031|18000020|18000008,11000031|18000020|18000008,18000020|18000008|19000028
40,方丈岛,前尘往事都在这里消失殆尽，无论怀揣怎样的喜悦或迷惘或哀伤，终究归于虚无融化成尘埃四处飞扬。,4325000,bg/mapbg/mapbg_volcano.png,1,11000032|11000031|18000012,11000032|11000031|18000012,18000012|19000007|19000020
41,盘龙岭,据说这里是太古时代神的栖息之处。即使时如逝水，神已不再，但神的坐龙化身为岭，仍然守候着这片土地。,4650000,bg/mapbg/mapbg_relic.png,2,11000034|11000035|18000018,11000035|18000018|19000017,11000035|18000018|19000017
42,篝火盛宴,在这个值得庆祝的日子里，魔化市民们齐聚一堂了。围着篝火吃烤兔子，然后互相勾搭，看来，今夜似乎会有不一样的邂逅……,4750000,bg/mapbg/mapbg_temple.png,3,18000008|18000017|19000009,18000017|19000009|19000006,19000009|19000006|19000037
43,阴山,前去的彼方亡骸堆积成山，阴气弥漫。业火吞噬悲伤，站在阴山的火葬场中央，声嘶力竭直到死亡亲自来访。,4900000,bg/mapbg/mapbg_spring.png,1,18000002|18000018|19000006,18000018|19000006|19000009,19000006|19000009|19000029
44,魔窟谷,穿过阴山，将会来到魔窟谷。而传说中的魔窟正位于魔窟谷的深谷内，当地的科学家认为魔窟内也许隐藏了许多不为人知的神秘生物。,5020000,bg/mapbg/mapbg_temple.png,2,17000012|18000003|18000028,17000012|18000003|18000028,18000003|18000028|19000029
45,下水道   ,在这里会遇到什么？ 没有人知道。猫星人和汪星人分别表示其实我是不想来的，尤其是爱干净的猫星人表示很不愉快……,5350000,bg/mapbg/mapbg_city.png,3,17000009|19000003|19000004,17000009|19000003|19000004,19000003|19000004|19000047
46,月牙湾,踏进月牙湾，步步珠玑，锵然作响。月牙湾怀抱的一泓碧水，蓝得象玛瑙，清的似明镜，诱人不由得跳进去，把大海拦在怀里。,5720000,bg/mapbg/mapbg_relic.png,2,17000002|18000001|18000034,17000002|18000001|18000034,18000001|18000034|19000018
47,下水道 深层,这里依然是下水道，可是却是深层地区，不知道为什么会有老人和女佣出现在这里。女佣可能是被派来这里打扫的吧……,6100000,bg/mapbg/mapbg_aircity.png,1,18000005|18000006|18000007,18000005|18000006|18000007,18000005|18000007|19000001
48,钢铁隧道,曾经辉煌一时，据说核心是由钢铁修建，无坚不摧。在元首发动的战争中遭到破坏，现在已经被人类所废弃。,6500000,bg/mapbg/mapbg_spring.png,3,17000014|17000016|17000029,17000016|17000029|19000057,17000016|17000029|19000057
49,蚂蚁迷宫,蚂蚁迷宫虽小，却五脏俱全。要多复杂有多复杂。很多你想不到的人都被困在这里，据说迷宫的进口可以遇到斗战胜佛。,6900000,bg/mapbg/mapbg_relic.png,2,16000012|17000006|19000021,16000012|17000006|19000021,17000006|19000021|19000055
50,陨石坑边,某颗小行星撞击而形成的凹坑，有一定年代。雨天时会因降雨等原因充水，形成的撞击湖十分美丽，吸引无数游客前来。,7300000,bg/mapbg/mapbg_temple.png,1,17000026|17000027|17000011,17000027|17000011|19000012,17000027|17000011|19000012
51,海之梦,蔚蓝的大海上充满了各种各样的人，寄托了各种各样的梦想，那么请告诉我，你的梦想是什么（我想上头条啊）,7800000,bg/mapbg/mapbg_spring.png,2,18000036|18000038|18000029,18000036|18000038|18000029,18000036|18000038|18000029
52,海上夜话,在甲板上望去，头上的星星和海面倒影中的星星相辉映，真是一个夜话的好氛围啊,8450000,bg/mapbg/mapbg_time.png,3,18000021|19000011|18000036,18000021|19000011|18000036,18000021|19000011|18000036
53,海盗史诗,你打开了这本陈旧的海盗史诗，一片光芒过后，传奇海盗于此重新。,8850000,bg/mapbg/mapbg_temple.png,3,18000014|18000028|18000031,18000014|18000028|18000031,18000028|18000031|19000049
54,海之花园,在海底，有一个光圈隔离了海水，走进一看，是一个不可思议的花园，外面海水冰幽暗，内部鲜花交相开放，真是不可思议的感受。,9300000,bg/mapbg/mapbg_spring.png,1,18000062|18000022|18000020,18000062|18000022|18000020,18000062|18000022|19000024
55,伟大航路,奇怪的航道，奇怪的天气，奇怪的海流，但是这些挡不住对梦想的追求！,9900000,bg/mapbg/mapbg_path.png,2,18000042|19000007|19000028,18000042|19000007|19000028,18000042|19000007|19000028
56,格斗领域,这里聚集着一群奇奇怪怪的格斗家，他们的爱好千奇百怪，看看四周散乱道具，你不禁怀疑，这群家伙真的是格斗家？,11200000,bg/mapbg/mapbg_angel.png,2,17000012|18000003|18000028,17000012|18000003|18000028,18000003|18000028|19000029
57,激情擂台,越过格斗领域，你看到许多的人在擂台上对战，不论是枪还是卡，不论是1队打1队还是1人打1人，这里充满着激情！,12500000,bg/mapbg/mapbg_mountain.png,1,17000009|19000003|19000004,17000009|19000003|19000004,19000003|19000004|19000047
58,不朽荣光,热血，智谋，操作……这一系列组成了一场场精彩万分的比赛，在这里，这些比赛永远的被记录。,13900000,bg/mapbg/mapbg_iceberg.png,2,17000002|18000001|18000034,17000002|18000001|18000034,18000001|18000034|19000018
59,星际寻踪,随着时间的推移，许许多多的东西慢慢地在星空中迷路，现在，就让我们来找回他们吧。,15600000,bg/mapbg/mapbg_iceberg.png,3,18000005|18000006|18000007,18000005|18000006|18000007,18000005|18000007|19000001
60,游戏人生,同样的游戏，不同的人有不同的人生，观众，天才少年，努力者，玩家，现在让我们来看看他们吧~,18000000,bg/mapbg/mapbg_angel.png,3,17000014|17000016|17000029,17000016|17000029|19000057,17000016|17000029|19000057
61,末日战场,巨大的火球从天而降，人类的世界产生异变，还在幸存的人们纷纷拿起武器抵抗末日的侵蚀。,99999999,bg/mapbg/mapbg_temple.png,1,17000026|17000027|17000011,17000027|17000011|19000051,17000027|17000011|19000051
62,山幽萧谷,山林间异常的安静，甚至可以听见雪花飘舞的声音，人们不知道为什么会有这样的一块如此诱人的美景，但是只有传说，因为去过的人再也没回来过。,21400000,bg/mapbg/mapbg_temple.png,2,11000034|11000035|18000018,11000035|18000018|19000017,11000035|18000018|19000017
63,残垣山巅,走过千山万水，来到了世界的尽头，引入眼帘的是一片广袤的废墟，这里曾经到底发生了什么事情？,23500000,bg/mapbg/mapbg_mountain.png,2,17000012|18000003|18000028,17000012|18000003|18000028,18000003|18000028|19000029
64,毁灭裂隙,在这个诡异的时空裂隙中，存在着各种想要毁灭世界的人，今天我们就来采访一下他们，为什么想要毁灭世界。,25500000,bg/mapbg/mapbg_time.png,3,18000016|18000015|18000012,18000016|18000015|18000012,19000028|19000025|18000012
65,游戏洞穴,在这个阴暗的洞穴里，无数怀着梦想的少男少女们聚集在一起，发表着他们对于技能和战力的理解。,27500000,bg/mapbg/mapbg_cave.png,3,17000012|18000003|18000028,17000012|18000003|18000028,18000003|18000028|19000029
66,杀人比赛,这里是最强杀人王的比赛现场，来自世界各地的杀手们正在做比赛演讲。,29500000,bg/mapbg/mapbg_ruins.png,3,17000002|18000001|18000034,17000002|18000001|18000034,18000001|18000034|19000018
67,禁止通行,前方禁止通行,99999999,bg/mapbg/mapbg_temple.png,1,17000026|17000027|17000011,17000027|17000011|19000051,17000027|17000011|19000051
