ID,技能名,描述,技能效果,参数L1,参数L2,参数L3,职业,性别,种族,堆叠限制
300042,炼金术,先攻等级减少5，防御等级减少5，闪避等级减少5。,2,-5,,,,,,
300043,岳母大人？哼！,防御等级提高14。你每拥有50防御等级增加1王者等级，至多提高6。,2,14,,,,,,
300044,极限运算,防御等级提高4，闪避等级提高6。,2,4,,,,,,
300045,无名之力,防御等级减少8,2,-8,,,,,,
310001,效率极高,先攻等级提高6,1,6,,,,,,
310002,急速飞奔,先攻等级提高4,1,4,,,,,,
310003,平原冲锋,先攻等级提高4,1,4,,,,,,
310004,飞扑,先攻等级提高4,1,4,,,,,,
310005,激流突击,你永远不知道水中隐藏着什么。先攻等级提高5,1,5,,,,,,
310006,大暴走,先攻等级提高4,1,4,,,,,,
310007,英勇冲锋,先攻等级提高12,1,12,,,,,,
310008,疾风突袭,先攻等级提高7,1,7,,,,,,
310009,灵动流光,先攻等级提高10,1,10,,,,,,
310010,魔戒再临,先攻等级提高5,1,5,,,,,,
310011,臂上走,先攻等级提高13,1,13,,,,,,
310012,七彩祥云,先攻等级提高11,1,11,,,,,,
310013,敏捷躲闪者II,,1,-4,,,,,,
310014,魔女猎杀,场上每有一个女性学生，先攻等级提高2，防御等级降低1,1,2,,,101,3,,999
310015,滑板鞋,场上每有一个光滑的弟，先攻等级提高2，王者等级提高1。两项分别至多提高10,1,2,,,127,,,10
310016,春风无限,先攻等级提高11,1,11,,,,,,
310017,走单骑,先攻等级提高8，王者等级减低3，防御等级提高4,1,8,,,,,,
310018,王母之怒,,1,-17,,,,,,
310019,金之力,先攻等级提高8，防御等级提高8，闪避等级降低8,1,8,,,,,,
310020,金坷垃,,1,3,,,,,,
310021,法师之心,一个不是制杖的同时想成为法师的有为少女，智力+50。由于智商碾压，造成克敌先机，先攻等级提高4，王者等级提高2.,1,4,,,,,,
310022,三宝,,1,-6,,,,,,
310023,花痴,美女可是我的动力。场上每有一个女性人类，先攻等级提高1，先攻等级至多提高12。,1,1,,,,3,28,12
310024,AC大集合,,1,-20,,,,,,
310025,神秘物质,,1,-3,,,,,,
310026,真正技术,先攻等级提高8，你每拥有60先攻等级增加1王者等级，王者等级最多提高4。,1,8,,,,,,
310027,斯巴达之魂,先攻等级提高4，防御等级降低4，王者等级提高2。,1,4,,,,,,
310028,无畏,,1,30,,,,,,
310029,啊哈,先攻提高8点，王者提高2点,1,8,,,,,,
310030,炼金术,先攻等级减少5，防御等级减少5，闪避等级减少5。,1,-5,,,,,,
310031,女神微笑,先攻等级提高5，王者等级提高4。,1,5,,,,,,
310032,棒球之力,先攻等级提高8,1,8,,,,,,
310033,无名之力 ,先攻等级提高 13，防御等级减少8。你每拥有50王者等级增加1先攻等级，至多增加8。,,,,,,,,
310034,冲刺技巧,场上每有一个运动员，先攻等级提高3点，最多提高9点；场上每有一个运动员，王者等级提高1点，最多提高6点。,1,3,,,138,,,9
320001,冷笑话,闪避等级提高4,3,4,,,,,,
320002,神迹,神会庇护你，闪避等级提高4,3,4,,,,,,
320003,铃铛响,用铃声来分散敌人的注意力，闪避等级提高3,3,3,,,,,,
320004,躲飞刀,闪避等级提高5,3,5,,,,,,
320005,灵巧,闪避等级提高4,3,4,,,,,,
320006,狡诈阴影,闪避等级提高5,3,5,,,,,,
320007,元素无常,水是无形的，闪避等级提高4,3,4,,,,,,
320008,致命跟踪狂,闪避等级提高6,3,6,,,,,,
320009,金羊皮,闪避等级提高7,3,7,,,,,,
320010,剑与禅,闪避等级提高8,3,8,,,,,,
320011,残影,闪避等级提高6,3,6,,,,,,
320012,魔幻之瞳,闪避等级提高25,3,25,,,,,,
320013,星之云图,闪避等级提高10,3,10,,,,,,
320014,梦境两仪,,3,5,,,,,,
320015,迷之特异功能,闪避等级提高2，且有概率使用隔空取物、时间停止等奇怪的特异功能……,3,2,,,,,,
320016,大雄快跑,闪避等级提高9,3,9,,,,,,
320017,立体机动大师,闪避等级提高13,3,13,,,,,,
320018,青梅竹马,闪避等级提高11,3,11,,,,,,
320019,敏捷躲闪者,你必须全神贯注，闪避等级提高15，先攻等级降低4,3,15,,,,,,
320020,船之护佑,闪避等级提高10。你每拥有40闪避等级增加1王者等级，至多提高4。,3,10,,,,,,
320021,左右互博II,,3,15,,,,,,
320022,迟缓,闪避等级降低3,3,-3,,,,,,
320023,心眼,闪避等级提高7,3,7,,,,,,
320024,王母之怒,,3,-17,,,,,,
320025,金之力,,3,-8,,,,,,
320026,三宝,,3,15,,,,,,
320027,信仰之跃,闻名遐迩的技能，使用后你会发现你的逃跑能力和身体强度都会上升（注意，如果不是刺客，请勿模仿）。闪避等级提高3，防御等级提高5。,3,3,,,,,,
320028,俘虏之箭,场上每有一个男性，王者等级提高2，闪避等级减低2，王者等级最多提高14。,3,-2,,,,2,,
320029,BC大集合,,3,-20,,,,,,
320030,神秘物质,,3,-4,,,,,,
320031,奇怪超人,,3,-15,,,,,,
320032,搞笑组合,王者等级提高20，闪避等级减低30。,3,-30,,,,,,
320033,炼金术,先攻等级减少5，防御等级减少5，闪避等级减少5。,3,-5,,,,,,
320034,马赛回旋,闪避等级提高6，王者等级提高3。,3,6,,,,,,
330001,绝对王者,王者等级提高10,4,10,,,,,,
330002,义云天,王者等级提高5,4,5,,,,,,
330003,攘夷武士道,王者等级提高8,4,8,,,,,,
330004,王之理想乡II,,4,5,,,,,,
330005,龙母王权,,4,9,,,,,,
330006,动物园,,4,6,,,,,,
330007,鸡王之王II,,4,30,,,,,,
330008,马王,王者等级提高5,4,5,,,,,,
330009,遁走仁君,,4,6,,,,,,
330010,伤与绝症,,4,0,,,,,,
330011,洛神,王者等级提高4,4,4,,,,,,
330012,王霸之气,王者等级提高6,4,6,,,,,,
330013,真之王者,,4,3,,,,,,
330014,唐僧,,4,16,,,,,,
330015,战国三英杰,,4,7,,,,,,
330016,魔鬼步伐,王者等级提高3，先攻等级提高6,4,3,,,,,,
330017,滑板鞋之摩擦,场上每有一个光滑的弟，先攻等级提高2，王者等级提高1。两项分别至多提高10,4,1,,,127,,,10
330018,回响的祝福,,4,2,,,128,,,9
330019,蛇噬,己方场上每有一个格斗家，己方王者等级降低10,4,-10,,,126,,,
330020,堕入黑暗,场上每有一个其他堕格斗家，王者等级提高2，至多提高7,4,2,,,125,,,9
330021,血崩,,4,-2,,,,,,
330022,显齐·映祝,王者等级提高2,4,2,,,,,,
330023,左右互博,闪避等级提高15，防御等级降低15，王者等级提高6。杨过不在场时偶尔也会使用玉女素心剑的攻击效果。,4,6,,,,,,
330024,顽石之体I,,4,22,,,,,,
330025,顽石之心,,4,33,,,,,,
330026,第六天魔王,王者等级提高8，防御等级降低15,4,8,,,,,,
330027,怒火激将1,,4,20,,,,,,
330028,夫唱妇随,,4,-5,,,,,,
330029,走单骑,,4,-3,,,,,,
330030,金坷垃,,4,1,,,,,,
330031,霸王色霸气,王者等级提高8，防御等级减低5,4,8,,,,,,
330032,魔戒再临,,4,15,,,,,,
330033,可爱即正义,王者等级提高3，先攻等级提高4，防御等级提高4。,4,3,,,,,,
330034,俘虏之箭,场上每有一个男性，王者等级提高2，闪避等级减低2，王者等级最多提高14。,4,2,,,,2,,14
330035,猴年大吉,王者等级提高4，防御等级提高3，先攻等级提高3。,4,4,,,,,,
330036,射人先射马,王者等级提高10，防御等级提高10，先攻等级减低20。,4,10,,,,,,
330037,美女与野兽,王者等级提高10，防御等级提高10，闪避等级减低20。,4,10,,,,,,
330038,神秘物质,王者等级提高6，先攻等级减低3，闪避等级减低4。,4,6,,,,,,
330039,搞笑组合,王者等级提高20，闪避等级减低30。,4,20,,,,,,
330040,啊哈,先攻提高8点，王者提高2点,4,2,,,,,,
330041,啊哈,防御等级提高3，王者等级提高2,4,2,,,,,,
330042,光明意志,防御等级提高10，王者等级提高10，场上每有一个女性，王者等级提高5，王者等级最多提高30。永久享受合战特权。,4,5,,,,3,,30
330043,潘多拉魔盒,王者等级提高8。,4,8,,,,,,
330044,鬼之双子,,4,12,,,,,,
330055,冲刺技巧,场上每有一个运动员，先攻等级提高3点，最多提高9点；场上每有一个运动员，王者等级提高1点，最多提高6点。,4,1,,,138,,,6
340001,余温,你每拥有25先攻等级增加1王者等级，至多增加6。,5,1,4,25,,,,6
340002,盾列威慑,你每拥有30防御等级增加1王者等级，至多增加8。,5,2,4,30,,,,8
340003,智慧之泉,这个技能看上去没有特别的作用，世界的秘密请在图书馆中寻找……,5,,,,,,,
340004,船之护佑,你每拥有40闪避等级增加1王者等级，至多提高4。,5,3,4,40,,,,4
340005,BKB,防御等级提高10。你每拥有60防御等级增加1王者等级。,5,2,4,60,,,,99
340006,真正技术,先攻等级提高8，你每拥有60先攻等级增加1王者等级，王者等级最多提高4。,5,1,4,60,,,,4
340007,英雄在此,先攻等级提高12，你每拥有90先攻等级增加1王者等级。,5,1,4,90,,,,99
340008,小霸王,你每拥有40防御等级增加1王者等级。,5,2,4,40,,,,8
340009,百合麻将,防御等级提高10。你每拥有40防御等级增加1王者等级，最多提高10点王者。,5,2,4,40,,,,10
340010,岳母大人？哼！,防御等级提高14。你每拥有50防御等级增加1王者等级，至多提高6。,5,2,4,50,,,,6
340011,青学支柱,你每拥有50先攻等级增加1王者等级，每拥有50防御等级增加1王者等级，每拥有40闪避等级增加1王者等级，每项最高提供5点王者等级，最多提高15点王者等级。,5,1,4,50,,,,5
340012,青学支柱,你每拥有50先攻等级增加1王者等级，每拥有50防御等级增加1王者等级，每拥有40闪避等级增加1王者等级，每项最高提供5点王者等级，最多提高15点王者等级。,5,2,4,50,,,,5
340013,青学支柱,你每拥有50先攻等级增加1王者等级，每拥有50防御等级增加1王者等级，每拥有40闪避等级增加1王者等级，每项最高提供5点王者等级，最多提高15点王者等级。,5,3,4,50,,,,5
340014,青藤纹样,你每拥有40王者等级增加1先攻等级，最多提高10点；每拥有40王者等级增加1防御等级，最多提高10点。王者等级提高5。永久享受合战特权。,5,4,1,40,,,,10
340015,青藤纹样,你每拥有40王者等级增加1先攻等级，最多提高10点；每拥有40王者等级增加1防御等级，最多提高10点。王者等级提高5。永久享受合战特权。,5,4,2,40,,,,10
,,,,,,,,,,
340017,无名之力,你每拥有50王者等级增加1先攻等级，至多增加8。,5,4,1,50,,,,8
