ID,技能名,描述,技能效果,参数L1,参数L2,参数L3,职业,性别,种族,堆叠限制,增加四维先攻,增加四维防御,增加四维闪避,增加四维王者
310001,效率极高,先攻等级提高6,1,6,,,,,,,0,0,0,0
310002,急速飞奔,先攻等级提高4,1,4,,,,,,,0,0,0,0
310003,平原冲锋,先攻等级提高4,1,4,,,,,,,0,0,0,0
310004,飞扑,先攻等级提高4,1,4,,,,,,,0,0,0,0
310005,激流突击,你永远不知道水中隐藏着什么。先攻等级提高5,1,5,,,,,,,0,0,0,0
310006,大暴走,先攻等级提高4,1,4,,,,,,,0,0,0,0
310007,英勇冲锋,先攻等级提高12,1,12,,,,,,,0,0,0,0
310008,疾风突袭,先攻等级提高7,1,7,,,,,,,0,0,0,0
310009,灵动流光,先攻等级提高10,1,10,,,,,,,0,0,0,0
310010,魔戒再临,先攻等级提高5,1,5,,,,,,,0,0,0,0
310011,臂上走,先攻等级提高13,1,13,,,,,,,0,0,0,0
310012,七彩祥云,先攻等级提高11,1,11,,,,,,,0,0,0,0
310013,敏捷躲闪者II,,1,-4,,,,,,,0,0,0,0
310014,魔女猎杀,场上每有一个女性学生，先攻等级提高2，防御等级降低1,1,2,,,101,3,,999,0,0,0,0
310015,滑板鞋,场上每有一个光滑的弟，先攻等级提高2，王者等级提高1。两项分别至多提高10,1,2,,,127,,,10,0,0,0,0
310016,春风无限,先攻等级提高11,1,11,,,,,,,0,0,0,0
310017,走单骑,先攻等级提高8，王者等级减低3，防御等级提高4,1,8,,,,,,,0,0,0,0
310018,王母之怒,,1,-17,,,,,,,0,0,0,0
310019,金之力,先攻等级提高8，防御等级提高8，闪避等级降低8,1,8,,,,,,,0,0,0,0
310020,金坷垃,,1,3,,,,,,,0,0,0,0
310021,法师之心,一个不是制杖的同时想成为法师的有为少女，智力+50。由于智商碾压，造成克敌先机，先攻等级提高4，王者等级提高2.,1,4,,,,,,,0,0,0,0
310022,三宝,,1,-6,,,,,,,0,0,0,0
310023,花痴,美女可是我的动力。场上每有一个女性人类，先攻等级提高1，先攻等级至多提高12。,1,1,,,,3,28,12,0,0,0,0
310024,AC大集合,,1,-20,,,,,,,0,0,0,0
310025,神秘物质,,1,-3,,,,,,,0,0,0,0
310026,真正技术,先攻等级提高8，你每拥有60先攻等级增加1王者等级，王者等级最多提高4。,1,8,,,,,,,0,0,0,0
310027,斯巴达之魂,先攻等级提高4，防御等级降低4，王者等级提高2。,1,4,,,,,,,0,0,0,0
310028,无畏,,1,30,,,,,,,0,0,0,0
310029,啊哈,先攻提高8点，王者提高2点,1,8,,,,,,,0,0,0,0
310030,炼金术,先攻等级减少5，防御等级减少5，闪避等级减少5。,1,-5,,,,,,,0,0,0,0
310031,女神微笑,先攻等级提高5，王者等级提高4。,1,5,,,,,,,0,0,0,0
310032,棒球之力,先攻等级提高8,1,8,,,,,,,0,0,0,0
310033,无名之力 ,先攻等级提高 13，防御等级减少8。你每拥有50王者等级增加1先攻等级，至多增加8。,,,,,,,,,0,0,0,0
310034,幼年金闪闪3,先攻等级提高9。,1,9,,,,,,,0,0,0,0
310035,宝具之力,先攻等级提高10点，王者等级提高10点,1,10,,,,,,,0,0,0,0
310036,圣界破碎,先攻等级减少40，闪避等级减少20，王者等级减少25.,1,-40,,,,,,,0,0,0,0
310037,冲刺技巧,场上每有一个运动员，先攻等级提高3点，最多提高9点；场上每有一个运动员，王者等级提高1点，最多提高6点。,1,3,,,138,,,9,0,0,0,0
310038,妖刀红缨,先攻等级提高16.,1,16,,,,,,,0,0,0,0
310039,草莓日升,先攻等级提高16，王者等级提高4.,1,16,,,,,,,0,0,0,0
310040,超自然研究部,先攻等级提高15，闪避等级提高10。,1,15,,,,,,,0,0,0,0
310041,天狗食日,"先攻等级提高30,防御等级降低30,王者等级提高5.",1,30,,,,,,,0,0,0,0
310042,驾驭麋鹿,场上每有一个女性角色，王者等级提高4，先攻等级降低1，防御等级降低1。王者等级最多提高16点。,1,-1,,,,3,,,0,0,0,0
310043,英勇冲锋·改,先攻等级提高14 王者等级提高1,1,14,,,,,,,0,0,0,1
310044,真·英勇冲锋,先攻等级提高16 王者等级提高2,1,16,,,,,,,0,0,0,2
310045,极·英勇冲锋,先攻等级提高18 王者等级提高3,1,18,,,,,,,0,0,0,3
310046,吉吉,场上每有一个女性角色，王者等级提高1，场上每有一个男性角色，先攻等级提高2，王者等级最多提高20点，先攻等级最多提高30点。,1,2,,,,2,,30,0,0,0,0
310047,镜花水月,场上每有一个男性角色，王者等级提高2，场上每有一个女性角色，先攻等级提高4，场上每有一个人类，闪避等级降低4。王者等级最多提高12，先攻等级最多提高24。,1,4,,,,3,,24,0,0,0,0
320001,冷笑话,闪避等级提高4,3,4,,,,,,,0,0,0,0
320002,神迹,神会庇护你，闪避等级提高4,3,4,,,,,,,0,0,0,0
320003,铃铛响,用铃声来分散敌人的注意力，闪避等级提高3,3,3,,,,,,,0,0,0,0
320004,躲飞刀,闪避等级提高5,3,5,,,,,,,0,0,0,0
320005,灵巧,闪避等级提高4,3,4,,,,,,,0,0,0,0
320006,狡诈阴影,闪避等级提高5,3,5,,,,,,,0,0,0,0
320007,元素无常,水是无形的，闪避等级提高4,3,4,,,,,,,0,0,0,0
320008,致命跟踪狂,闪避等级提高6,3,6,,,,,,,0,0,0,0
320009,金羊皮,闪避等级提高7,3,7,,,,,,,0,0,0,0
320010,剑与禅,闪避等级提高8,3,8,,,,,,,0,0,0,0
320011,残影,闪避等级提高6,3,6,,,,,,,0,0,0,0
320012,魔幻之瞳,闪避等级提高25,3,25,,,,,,,0,0,0,0
320013,星之云图,闪避等级提高10,3,10,,,,,,,0,0,0,0
320014,梦境两仪,,3,5,,,,,,,0,0,0,0
320015,迷之特异功能,闪避等级提高2，且有概率使用隔空取物、时间停止等奇怪的特异功能……,3,2,,,,,,,0,0,0,0
320016,大雄快跑,闪避等级提高9,3,9,,,,,,,0,0,0,0
320017,立体机动大师,闪避等级提高13,3,13,,,,,,,0,0,0,0
320018,青梅竹马,闪避等级提高11,3,11,,,,,,,0,0,0,0
320019,敏捷躲闪者,你必须全神贯注，闪避等级提高15，先攻等级降低4,3,15,,,,,,,0,0,0,0
320020,船之护佑,闪避等级提高10。你每拥有40闪避等级增加1王者等级，至多提高4。,3,10,,,,,,,0,0,0,0
320021,左右互博II,,3,15,,,,,,,0,0,0,0
320022,迟缓,闪避等级降低3,3,-3,,,,,,,0,0,0,0
320023,心眼,闪避等级提高7,3,7,,,,,,,0,0,0,0
320024,王母之怒,,3,-17,,,,,,,0,0,0,0
320025,金之力,,3,-8,,,,,,,0,0,0,0
320026,三宝,,3,15,,,,,,,0,0,0,0
320027,信仰之跃,闻名遐迩的技能，使用后你会发现你的逃跑能力和身体强度都会上升（注意，如果不是刺客，请勿模仿）。闪避等级提高3，防御等级提高5。,3,3,,,,,,,0,0,0,0
320028,俘虏之箭,场上每有一个男性，王者等级提高2，闪避等级减低2，王者等级最多提高14。,3,-2,,,,2,,,0,0,0,0
320029,BC大集合,,3,-20,,,,,,,0,0,0,0
320030,神秘物质,,3,-4,,,,,,,0,0,0,0
320031,奇怪超人,,3,-15,,,,,,,0,0,0,0
320032,搞笑组合,王者等级提高20，闪避等级减低30。,3,-30,,,,,,,0,0,0,0
320033,炼金术,先攻等级减少5，防御等级减少5，闪避等级减少5。,3,-5,,,,,,,0,0,0,0
320034,马赛回旋,闪避等级提高6，王者等级提高3。,3,6,,,,,,,0,0,0,0
320035,圣界破碎,先攻等级减少40，闪避等级减少20，王者等级减少25.,3,-20,,,,,,,0,0,0,0
320036,圣界崩坏,防御等级减少50，闪避等级减少20，王者等级减少65.,3,-20,,,,,,,0,0,0,0
320037,满月狼嚎,闪避等级提高8，王者等级提高3。,3,8,,,,,,,0,0,0,0
320038,镜花水月,场上每有一个男性角色，王者等级提高2，场上每有一个女性角色，先攻等级提高4，场上每有一个人类，闪避等级降低4。王者等级最多提高12，先攻等级最多提高24。,3,-4,,,,,28,,0,0,0,0
330001,绝对王者,王者等级提高10,4,10,,,,,,,0,0,0,0
330002,义云天,王者等级提高5,4,5,,,,,,,0,0,0,0
330003,攘夷武士道,王者等级提高8,4,8,,,,,,,0,0,0,0
330004,王之理想乡II,,4,5,,,,,,,0,0,0,0
330005,龙母王权,,4,9,,,,,,,0,0,0,0
330006,动物园,,4,6,,,,,,,0,0,0,0
330007,鸡王之王II,,4,30,,,,,,,0,0,0,0
330008,马王,王者等级提高5,4,5,,,,,,,0,0,0,0
330009,遁走仁君,,4,6,,,,,,,0,0,0,0
330010,伤与绝症,,4,0,,,,,,,0,0,0,0
330011,洛神,王者等级提高4,4,4,,,,,,,0,0,0,0
330012,王霸之气,王者等级提高6,4,6,,,,,,,0,0,0,0
330013,真之王者,,4,3,,,,,,,0,0,0,0
330014,唐僧,,4,16,,,,,,,0,0,0,0
330015,战国三英杰,,4,7,,,,,,,0,0,0,0
330016,魔鬼步伐,王者等级提高3，先攻等级提高6,4,3,,,,,,,0,0,0,0
330017,滑板鞋之摩擦,场上每有一个光滑的弟，先攻等级提高2，王者等级提高1。两项分别至多提高10,4,1,,,127,,,10,0,0,0,0
330018,回响的祝福,,4,2,,,128,,,9,0,0,0,0
330019,蛇噬,己方场上每有一个格斗家，己方王者等级降低10,4,-10,,,126,,,,0,0,0,0
330020,堕入黑暗,场上每有一个其他堕格斗家，王者等级提高2，至多提高7,4,2,,,125,,,9,0,0,0,0
330021,血崩,,4,-2,,,,,,,0,0,0,0
330022,显齐·映祝,王者等级提高2,4,2,,,,,,,0,0,0,0
330023,左右互博,闪避等级提高15，防御等级降低15，王者等级提高6。杨过不在场时偶尔也会使用玉女素心剑的攻击效果。,4,6,,,,,,,0,0,0,0
330024,顽石之体I,,4,22,,,,,,,0,0,0,0
330025,顽石之心,,4,33,,,,,,,0,0,0,0
330026,第六天魔王,王者等级提高8，防御等级降低15,4,8,,,,,,,0,0,0,0
330027,怒火激将1,,4,20,,,,,,,0,0,0,0
330028,夫唱妇随,,4,-5,,,,,,,0,0,0,0
330029,走单骑,,4,-3,,,,,,,0,0,0,0
330030,金坷垃,,4,1,,,,,,,0,0,0,0
330031,霸王色霸气,王者等级提高8，防御等级减低5,4,8,,,,,,,0,0,0,0
330032,魔戒再临,,4,15,,,,,,,0,0,0,0
330033,可爱即正义,王者等级提高3，先攻等级提高4，防御等级提高4。,4,3,,,,,,,0,0,0,0
330034,俘虏之箭,场上每有一个男性，王者等级提高2，闪避等级减低2，王者等级最多提高14。,4,2,,,,2,,14,0,0,0,0
330035,猴年大吉,王者等级提高4，防御等级提高3，先攻等级提高3。,4,4,,,,,,,0,0,0,0
330036,射人先射马,王者等级提高10，防御等级提高10，先攻等级减低20。,4,10,,,,,,,0,0,0,0
330037,美女与野兽,王者等级提高10，防御等级提高10，闪避等级减低20。,4,10,,,,,,,0,0,0,0
330038,神秘物质,王者等级提高6，先攻等级减低3，闪避等级减低4。,4,6,,,,,,,0,0,0,0
330039,搞笑组合,王者等级提高20，闪避等级减低30。,4,20,,,,,,,0,0,0,0
330040,啊哈,先攻提高8点，王者提高2点,4,2,,,,,,,0,0,0,0
330041,啊哈,防御等级提高3，王者等级提高2,4,2,,,,,,,0,0,0,0
330042,光明意志,防御等级提高10，王者等级提高10，场上每有一个女性，王者等级提高5，王者等级最多提高30。永久享受合战特权。,4,5,,,,3,,30,0,0,0,0
330043,潘多拉魔盒,王者等级提高8。,4,8,,,,,,,0,0,0,0
330044,鬼之双子,,4,12,,,,,,,0,0,0,0
330055,冲刺技巧,场上每有一个运动员，先攻等级提高3点，最多提高9点；场上每有一个运动员，王者等级提高1点，最多提高6点。,4,1,,,138,,,6,0,0,0,0
330056,伊利亚王者,王者等级提高15点,4,15,,,,,,,0,0,0,0
330057,宝具之力,王者等级提高10,4,10,,,,,,,0,0,0,0
330058,圣界破碎,先攻等级减少40，闪避等级减少20，王者等级减少25.,4,-25,,,,,,,0,0,0,0
330059,圣界崩坏,防御等级减少50，闪避等级减少20，王者等级减少65.,4,-65,,,,,,,0,0,0,0
330060,暗夜联盟,王者等级提高10点。,4,10,,,,,,,0,0,0,0
330061,鲜红追猎,王者等级提高10点，闪避等级提高10点，先攻等级降低20点。,4,10,,,,,,,0,0,0,0
330062,驾驭麋鹿,场上每有一个女性角色，王者等级提高4，先攻等级降低1，防御等级降低1。王者等级最多提高16点。,4,4,,,,3,,16,0,0,0,0
330063,吉吉,场上每有一个女性角色，王者等级提高1，场上每有一个男性角色，先攻等级提高2，王者等级最多提高20点，先攻等级最多提高30点。,4,1,,,,3,,20,0,0,0,0
330064,镜花水月,场上每有一个男性角色，王者等级提高2，场上每有一个女性角色，先攻等级提高4，场上每有一个人类，闪避等级降低4。王者等级最多提高12，先攻等级最多提高24。,4,2,,,,2,,12,0,0,0,0
340001,余温,你每拥有25先攻等级增加1王者等级，至多增加6。,5,1,4,25,,,,6,0,0,0,0
340002,盾列威慑,你每拥有30防御等级增加1王者等级，至多增加8。,5,2,4,30,,,,8,0,0,0,0
340003,智慧之泉,这个技能看上去没有特别的作用，世界的秘密请在图书馆中寻找……,5,,,,,,,,0,0,0,0
340004,船之护佑,你每拥有40闪避等级增加1王者等级，至多提高4。,5,3,4,40,,,,4,0,0,0,0
340005,BKB,防御等级提高10。你每拥有60防御等级增加1王者等级。,5,2,4,60,,,,99,0,0,0,0
340006,真正技术,先攻等级提高8，你每拥有60先攻等级增加1王者等级，王者等级最多提高4。,5,1,4,60,,,,4,0,0,0,0
340007,英雄在此,先攻等级提高12，你每拥有90先攻等级增加1王者等级。,5,1,4,90,,,,99,0,0,0,0
340008,小霸王,你每拥有40防御等级增加1王者等级。,5,2,4,40,,,,8,0,0,0,0
340009,百合麻将,防御等级提高10。你每拥有40防御等级增加1王者等级，最多提高10点王者。,5,2,4,40,,,,10,0,0,0,0
340010,岳母大人？哼！,防御等级提高14。你每拥有50防御等级增加1王者等级，至多提高6。,5,2,4,50,,,,6,0,0,0,0
340011,青学支柱,你每拥有50先攻等级增加1王者等级，每拥有50防御等级增加1王者等级，每拥有40闪避等级增加1王者等级，每项最高提供5点王者等级，最多提高15点王者等级。,5,1,4,50,,,,5,0,0,0,0
340012,青学支柱,你每拥有50先攻等级增加1王者等级，每拥有50防御等级增加1王者等级，每拥有40闪避等级增加1王者等级，每项最高提供5点王者等级，最多提高15点王者等级。,5,2,4,50,,,,5,0,0,0,0
340013,青学支柱,你每拥有50先攻等级增加1王者等级，每拥有50防御等级增加1王者等级，每拥有40闪避等级增加1王者等级，每项最高提供5点王者等级，最多提高15点王者等级。,5,3,4,50,,,,5,0,0,0,0
340014,青藤纹样,你每拥有40王者等级增加1先攻等级，最多提高10点；每拥有40王者等级增加1防御等级，最多提高10点。王者等级提高5。永久享受合战特权。,5,4,1,40,,,,10,0,0,0,0
340015,青藤纹样,你每拥有40王者等级增加1先攻等级，最多提高10点；每拥有40王者等级增加1防御等级，最多提高10点。王者等级提高5。永久享受合战特权。,5,4,2,40,,,,10,0,0,0,0
,,,,,,,,,,,,,,
340017,无名之力,你每拥有50王者等级增加1先攻等级，至多增加8。,5,4,1,50,,,,8,0,0,0,0
340018,甜美歌声,你每拥有100先攻等级增加1王者等级，最多提高4点；你每拥有50防御等级增加1王者等级，最多提高3点；你每拥有50闪避等级增加1王者等级，最多提高3点。,5,1,4,100,,,,4,0,0,0,0
340019,甜美歌声,你每拥有100先攻等级增加1王者等级，最多提高4点；你每拥有50防御等级增加1王者等级，最多提高3点；你每拥有50闪避等级增加1王者等级，最多提高3点。,5,2,4,50,,,,3,0,0,0,0
340020,甜美歌声,你每拥有100先攻等级增加1王者等级，最多提高4点；你每拥有50防御等级增加1王者等级，最多提高3点；你每拥有50闪避等级增加1王者等级，最多提高3点。,5,3,4,50,,,,3,0,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
340022,固态屏障,被动：增加10M的护盾,8,10000000,,,,,,,0,0,0,0
340023,液态屏障,被动：增加总战力100%的护盾,8,,100,,,,,,0,0,0,0
340024,刃甲威慑,被动：所有的暴击技能无效,7,2,,,,,,,0,0,0,0
340025,双管齐下,被动：所有的暴击、纯粹技能无效,7,2,13,,,,,,0,0,0,0
340026,复合护盾,被动：增加10M的护盾以及总战力100%的护盾,8,10000000,100,,,,,,0,0,0,0
340027,冰花之击,你每有40防御等级增加1王者等级，王者最多提升8点。,5,2,4,40,,,,8,0,0,0,0
340028,黄蜂攻势,你每有60先攻等级，王者等级提高1.,5,1,4,60,,,,,0,0,0,0
,,,,,,,,,,,,,,
350001,技能封印,被动：敌方无法使用造成敌方当前战力百分比伤害的技能。,7,5,,,,,,,0,0,0,0
350002,技能封印,被动：敌方无法使用造成敌方总战力百分比伤害的技能。,7,6,,,,,,,0,0,0,0
350003,技能封印,被动：敌方无法使用造成敌方已经损失战力百分比伤害的技能。,7,7,,,,,,,0,0,0,0
350004,技能封印,被动：敌方无法使用攻击后恢复当前战力百分比的技能,7,9,,,,,,,0,0,0,0
350005,技能封印,被动：敌方无法使用攻击后恢复总战力百分比的技能,7,10,,,,,,,0,0,0,0
350006,技能封印,被动：敌方无法使用攻击后按敌方百分比当前战力提高自身战力的技能,7,11,,,,,,,0,0,0,0
350007,技能封印,被动：敌方无法使用攻击后按照敌方百分比总战力提高自身战力的技能,7,12,,,,,,,0,0,0,0
350008,技能封印,被动：敌方无法使用复制类技能,7,14,,,,,,,0,0,0,0
,,,,,,,,,,,,,,
,虚空大冒险技能,,,,,,,,,,,,,
301001,守护之力,防御等级提高5,2,5,,,,,,,0,0,0,0
301002,坚固,防御等级提高6,2,6,,,,,,,0,0,0,0
301003,完美服务,一切都井井有条，你啥也不用管了。防御等级提高7,2,7,,,,,,,0,0,0,0
301004,沉默,沉默是一种力量，防御等级提高5,2,5,,,,,,,0,0,0,0
301005,大盾,防御等级提高8,2,8,,,,,,,0,0,0,0
301006,元素坚固,防御等级提高5,2,5,,,,,,,0,0,0,0
301007,光之守护,防御等级提高7,2,7,,,,,,,0,0,0,0
301008,魔化觉醒,防御等级提高7,2,7,,,,,,,0,0,0,0
301009,风王之铠,防御等级提高16,2,16,,,,,,,0,0,0,0
301010,无畏防御,防御等级提高11,2,11,,,,,,,0,0,0,0
301011,王之领域,防御等级提高13,2,13,,,,,,,0,0,0,0
301012,无坚不摧,防御等级提高9,2,9,,,,,,,0,0,0,0
301013,冰封防御,防御等级提高9,2,9,,,,,,,0,0,0,0
301014,坚钢护甲,防御等级提高11,2,11,,,,,,,0,0,0,0
301015,狮盔剑神,防御等级提高10,2,10,,,,,,,0,0,0,0
301016,五虎上将,防御等级提高12,2,12,,,,,,,0,0,0,0
301017,请叫我女王,防御等级提高4，闪避等级提高4,2,4,,,,,,,0,0,0,0
301018,遗志,防御等级提高10,2,10,,,,,,,0,0,0,0
301019,止战之殇,,2,-15,,,,,,,0,0,0,0
301020,一路向西,,2,-16,,,,,,,0,0,0,0
301021,降妖伏魔铲,防御等级提高10,2,10,,,,,,,0,0,0,0
301022,常高院,防御等级提高3,2,3,,,,,,,0,0,0,0
301023,领袖庇护,场上每有一个鸡星人防御等级提高2，至多提高22。,2,2,,,,,14,22,0,0,0,0
301024,魔女猎杀II,场上每有一个女性学生，先攻等级提高2，防御等级降低1,2,-1,,,101,3,,999,0,0,0,0
301025,斯巴达盾列,场上每有一个斯巴达，防御等级提高3，至多提高25,2,3,,,129,,,25,0,0,0,0
301026,左右互博III,,2,-15,,,,,,,0,0,0,0
301027,薄弱,防御等级降低3,2,-3,,,,,,,0,0,0,0
301028,黑王子,防御等级提高8，闪避等级提高8,2,8,,,,,,,0,0,0,0
301029,白马王子,防御等级提高13，先攻等级减低4,2,13,,,,,,,0,0,0,0
301030,怒火激将2,,2,-40,,,,,,,0,0,0,0
301031,首席,防御等级提高13，闪避等级提高3,2,13,,,,,,,0,0,0,0
301032,王母之怒,,2,-17,,,,,,,0,0,0,0
301033,走单骑,,2,4,,,,,,,0,0,0,0
301034,霸王色霸气,,2,-5,,,,,,,0,0,0,0
301035,三宝,,2,15,,,,,,,0,0,0,0
301036,魔戒再临,,2,18,,,,,,,0,0,0,0
301037,俘虏之箭,场上每有一个男性，王者等级提高2，闪避等级减低2，王者等级最多提高14。,2,-2,,,,2,,,0,0,0,0
301038,寒冰之力,防御等级提高20,2,20,,,,,,,0,0,0,0
301039,BKB,防御等级提高10。你每拥有60防御等级增加1王者等级。,2,10,,,,,,,0,0,0,0
301040,斯巴达之魂,先攻等级提高4，防御等级降低4，王者等级提高2。,2,-4,,,,,,,0,0,0,0
301041,小白狼之爱,防御等级提高3，王者等级提高2,2,3,,,,,,,0,0,0,0
301042,炼金术,先攻等级减少5，防御等级减少5，闪避等级减少5。,2,-5,,,,,,,0,0,0,0
301043,岳母大人？哼！,防御等级提高14。你每拥有50防御等级增加1王者等级，至多提高6。,2,14,,,,,,,0,0,0,0
301044,极限运算,防御等级提高4，闪避等级提高6。,2,4,,,,,,,0,0,0,0
301045,无名之力,防御等级减少8,2,-8,,,,,,,0,0,0,0
301046,圣界崩坏,防御等级减少50，闪避等级减少20，王者等级减少65.,2,-50,,,,,,,0,0,0,0
301047,疾速信标,防御等级提高16，王者等级提高4.,2,16,,,,,,,0,0,0,0
301048,天狗食日,"先攻等级提高30,防御等级降低30,王者等级提高5.",2,-30,,,,,,,0,0,0,0
301049,驾驭麋鹿,场上每有一个女性角色，王者等级提高4，先攻等级降低1，防御等级降低1。王者等级最多提高16点。,2,-1,,,,3,,,0,0,0,0
301050,王之领域·改,防御等级提高15 王者等级提高1,2,15,,,,,,,0,0,0,1
301051,真·王之领域,防御等级提高16 王者等级提高2,2,16,,,,,,,0,0,0,2
301052,极·王之领域,防御等级提高19 王者等级提高3,2,19,,,,,,,0,0,0,3
301053,财运到,防御等级提高8，王者等级提高4。,2,8,,,,,,,,,,
311001,效率极高,先攻等级提高6,1,6,,,,,,,0,0,0,0
311002,急速飞奔,先攻等级提高4,1,4,,,,,,,0,0,0,0
311003,平原冲锋,先攻等级提高4,1,4,,,,,,,0,0,0,0
311004,飞扑,先攻等级提高4,1,4,,,,,,,0,0,0,0
311005,激流突击,你永远不知道水中隐藏着什么。先攻等级提高5,1,5,,,,,,,0,0,0,0
311006,大暴走,先攻等级提高4,1,4,,,,,,,0,0,0,0
311007,英勇冲锋,先攻等级提高12,1,12,,,,,,,0,0,0,0
311008,疾风突袭,先攻等级提高7,1,7,,,,,,,0,0,0,0
311009,灵动流光,先攻等级提高10,1,10,,,,,,,0,0,0,0
311010,魔戒再临,先攻等级提高5,1,5,,,,,,,0,0,0,0
311011,臂上走,先攻等级提高13,1,13,,,,,,,0,0,0,0
311012,七彩祥云,先攻等级提高11,1,11,,,,,,,0,0,0,0
311013,敏捷躲闪者II,,1,-4,,,,,,,0,0,0,0
311014,魔女猎杀,场上每有一个女性学生，先攻等级提高2，防御等级降低1,1,2,,,101,3,,999,0,0,0,0
311015,滑板鞋,场上每有一个光滑的弟，先攻等级提高2，王者等级提高1。两项分别至多提高10,1,2,,,127,,,10,0,0,0,0
