ID,施放场景特效,施放前特效,施放动作,挨打方特效,场景动作,挨打方动作,闪避动作,自己结束特效
54,100017,,10000001,110005,1,10000015,10000008,120002
55,100017,,10000001,110005,1,10000015,10000008,
56,100017,,10000001,110012,1,10000023,10000008,120004
57,100018,200002,10000001,110003,1,10000012,10000008,
58,100019,,10000001,110008,1,10000017,10000008,
59,100020,,10000001,110015,1,10000037,10000008,
60,100021,200002,10000001,110012,1,10000023,10000008,
61,100022,,10000001,110002,1,10000006,10000008,120002
62,100023,,10000001,110009,1,10000019,10000008,
63,100024,,10000001,110018,1,10000054,10000008,
64,100025,200002,10000001,110004,1,10000014,10000008,
65,100026,,10000001,110017,1,10000047,10000008,
66,100027,200001,10000001,110019,1,10000054,10000008,
67,100028,,10000001,110017,1,10000054,10000008,
68,100029,,10000001,110002,1,10000005,10000008,120004
69,100030,,10000001,110001,1,10000005,10000008,120003
70,100031,,10000001,110002,1,10000005,10000008,120002
71,100032,,10000001,110015,1,10000037,10000008,
72,100033,,10000001,110011,1,10000012,10000008,
73,100034,,10000001,110001,1,10000005,10000008,
74,100035,,10000001,110012,1,10000023,10000008,
75,100036,,10000001,110017,1,10000047,10000008,
76,100037,,10000001,110018,1,10000054,10000008,
77,100038,,10000001,110018,1,10000054,10000008,
78,100039,200001,10000001,110001,1,10000005,10000008,120001
79,100040,,10000001,110017,1,10000047,10000008,
80,100041,,10000001,110011,1,10000006,10000008,
81,100042,,10000001,110005,1,10000015,10000008,
82,100043,,10000001,110012,1,10000023,10000008,120004
83,100044,200001,10000001,110014,1,10000032,10000008,120002
84,100044,,10000001,110003,1,10000012,10000008,
85,100045,200001,10000001,110012,1,10000012,10000008,120004
86,100045,200001,10000001,110012,1,10000015,10000008,120004
87,100046,,10000001,110019,1,10000054,10000008,
88,100047,,10000001,110011,1,10000012,10000008,
89,100048,,,,,,,
90,100049,,10000001,110011,1,10000012,10000008,
91,100050,,10000001,110018,1,10000054,10000008,
92,100051,200001,10000001,110001,1,10000019,10000008,120001
93,100051,200001,10000001,110001,1,10000019,10000008,120004
94,100051,200001,10000001,110001,1,10000019,10000008,
95,100052,200001,10000001,110014,1,10000032,10000008,
96,100052,200002,10000001,110001,1,10000005,10000008,
97,100053,,10000001,110001,1,10000005,10000008,120003
98,100054,200002,10000001,110001,1,10000017,10000008,
99,100055,,10000001,110018,1,10000054,10000008,
100,100056,,10000001,110017,1,10000047,10000008,
101,100056,,,,,,,
102,100057,,,,,,,
103,100105,200001,10000001,110005,1,10000015,10000008,120002
104,,200001,10000001,110001,1,10000005,10000008,120001
105,,200001,10000001,110001,1,10000005,10000008,120002
106,,200001,10000001,110001,1,10000005,10000008,120004
107,,200001,10000001,110001,1,10000005,10000008,
108,,200001,10000001,110001,1,10000006,10000008,
109,,200001,10000001,110002,1,10000005,10000008,120002
110,,200001,10000001,110002,1,10000006,10000008,
111,,200001,10000001,110004,1,10000014,10000008,
112,,200001,10000001,110005,1,10000015,10000008,120001
113,,200001,10000001,110008,1,10000017,10000008,120001
114,,200001,10000001,110009,1,10000019,10000008,120001
115,,200001,10000001,110011,1,10000006,10000008,120001
116,,200001,10000001,110011,1,10000006,10000008,
117,,200001,10000001,110012,1,10000012,10000008,120004
118,,200001,10000001,110012,1,10000015,10000008,120004
119,,200001,10000001,110013,1,10000027,10000008,
120,,200001,10000001,110014,1,10000032,10000008,
121,,200002,10000001,110001,1,10000005,10000008,
122,,200002,10000001,110001,1,10000019,10000008,
123,,200002,10000001,110002,1,10000006,10000008,
124,,200002,10000001,110004,1,10000006,10000008,
125,,200002,10000001,110004,1,10000014,10000008,120004
126,,200002,10000001,110004,1,10000014,10000008,
127,,200002,10000001,110004,1,10000032,10000008,
128,,200002,10000001,110005,1,10000006,10000008,
129,,200002,10000001,110005,1,10000015,10000008,
130,,200002,10000001,110007,1,10000005,10000008,
131,,200002,10000001,110007,1,10000012,10000008,
132,,200002,10000001,110008,1,10000017,10000008,120001
133,,200002,10000001,110017,1,10000006,10000008,
134,,200002,10000001,110017,1,10000019,10000008,
135,,200002,10000001,110017,1,10000047,10000008,
136,,200002,10000001,110018,1,10000054,10000008,
137,,200002,10000001,110019,1,10000054,10000008,
138,,,10000001,110001,1,10000005,10000008,120001
139,,,10000001,110001,1,10000005,10000008,120002
140,,,10000001,110001,1,10000005,10000008,120003
141,,,10000001,110001,1,10000005,10000008,120004
142,,,10000001,110001,1,10000005,10000008,
143,,,10000001,110001,1,10000006,10000008,
144,,,10000001,110001,1,10000012,10000008,120001
145,,,10000001,110001,1,10000015,10000008,
146,,,10000001,110001,1,10000019,10000008,
147,,,10000001,110002,1,10000005,10000008,120002
148,,,10000001,110002,1,10000005,10000008,
149,,,10000001,110002,1,10000006,10000008,120002
150,,,10000001,110002,1,10000006,10000008,
151,,,10000001,110002,1,10000009,10000008,
152,,,10000001,110002,1,10000012,10000008,
153,,,10000001,110003,1,10000012,10000008,
154,,,10000001,110004,1,10000005,10000008,
155,,,10000001,110004,1,10000014,10000008,120004
156,,,10000001,110004,1,10000014,10000008,
157,,,10000001,110004,1,10000032,10000008,
158,,,10000001,110004,1,10000034,10000008,
159,,,10000001,110005,1,10000015,10000008,120001
160,,,10000001,110005,1,10000015,10000008,120002
161,,,10000001,110005,1,10000015,10000008,
162,,,10000001,110006,1,10000005,10000008,
163,,,10000001,110006,1,10000009,10000008,
164,,,10000001,110006,1,10000019,10000008,
165,,,10000001,110007,1,10000005,10000008,
166,,,10000001,110007,1,10000006,10000008,
167,,,10000001,110007,1,10000012,10000008,120004
168,,,10000001,110007,1,10000012,10000008,
169,,,10000001,110008,1,10000017,10000008,
170,,,10000001,110009,1,10000006,10000008,
171,,,10000001,110009,1,10000019,10000008,
172,,,10000001,110009,1,10000023,10000008,
173,,,10000001,110011,1,10000006,10000008,120001
174,,,10000001,110011,1,10000006,10000008,120002
175,,,10000001,110011,1,10000006,10000008,
176,,,10000001,110011,1,10000012,10000008,
177,,,10000001,110012,1,10000005,10000008,120004
178,,,10000001,110012,1,10000023,10000008,120001
179,,,10000001,110012,1,10000023,10000008,120004
180,,,10000001,110012,1,10000023,10000008,
181,,,10000001,110012,1,10000054,10000008,120002
182,,,10000001,110013,1,10000027,10000008,
183,,,10000001,110014,1,10000032,10000008,
184,,,10000001,110015,1,10000037,10000008,
185,,,10000001,110016,1,10000042,10000008,
186,,,10000001,110017,1,10000006,10000008,
187,,,10000001,110017,1,10000037,10000008,120004
188,,,10000001,110017,1,10000037,10000008,
189,,,10000001,110017,1,10000047,10000008,120002
190,,,10000001,110017,1,10000047,10000008,
191,,,10000001,110018,1,10000054,10000008,120002
192,,,10000001,110018,1,10000054,10000008,
193,,,10000001,110019,1,10000019,10000008,
194,,,10000001,110019,1,10000054,10000008,
