ID,宿命武器编号,宿命武器名称,宿命星级,增加战力,附带技能,消耗资源id,消耗数量,消耗资源增加祝福值,暴击率（万分率）,暴击增加祝福值,祝福值min升星成功,祝福值max升星成功,祝福值达到min后的成功率,祝福值上限,可激活的皮肤
24,2,宿命锻铁之锤,10,375000,1400037,92,3,1,2500,3,57,57,10000,57,
25,2,宿命锻铁之锤,11,440000,1400037,92,3,1,2500,3,62,62,10000,62,
26,2,宿命锻铁之锤,12,510000,1400038,0,0,0,0,0,0,0,0,0,
27,3,宿命冠军巨斧,0,0,1300007,92,2,1,2500,3,20,20,10000,20,
28,3,宿命冠军巨斧,1,15000,1300007,92,2,1,2500,3,27,27,10000,27,
29,3,宿命冠军巨斧,2,35000,1300007,92,2,1,2500,3,33,33,10000,33,
30,3,宿命冠军巨斧,3,60000,1300007,92,2,1,2500,3,40,40,10000,40,
31,3,宿命冠军巨斧,4,90000,1300025,92,2,1,2500,3,46,46,10000,46,
32,3,宿命冠军巨斧,5,125000,1300025,92,3,1,2500,3,35,35,10000,35,
33,3,宿命冠军巨斧,6,165000,1300025,92,3,1,2500,3,40,40,10000,40,
34,3,宿命冠军巨斧,7,210000,1300025,92,3,1,2500,3,44,44,10000,44,
35,3,宿命冠军巨斧,8,260000,1300026,92,3,1,2500,3,49,49,10000,49,
36,3,宿命冠军巨斧,9,315000,1300026,92,3,1,2500,3,53,53,10000,53,
37,3,宿命冠军巨斧,10,375000,1300026,92,3,1,2500,3,57,57,10000,57,
38,3,宿命冠军巨斧,11,440000,1300026,92,3,1,2500,3,62,62,10000,62,
39,3,宿命冠军巨斧,12,510000,1300027,0,0,0,0,0,0,0,0,0,
40,4,宿命勇气之剑,0,0,310007,92,3,1,2500,3,27,27,10000,27,
41,4,宿命勇气之剑,1,30000,310007,92,4,1,2500,3,27,27,10000,27,
42,4,宿命勇气之剑,2,70000,310007,92,4,1,2500,3,33,33,10000,33,
43,4,宿命勇气之剑,3,120000,310007,92,4,1,2500,3,40,40,10000,40,
44,4,宿命勇气之剑,4,180000,310043,92,5,1,2500,3,37,37,10000,37,
45,4,宿命勇气之剑,5,250000,310043,92,5,1,2500,3,42,42,10000,42,
46,4,宿命勇气之剑,6,330000,310043,92,5,1,2500,3,48,48,10000,48,
47,4,宿命勇气之剑,7,420000,310043,92,5,1,2500,3,53,53,10000,53,
48,4,宿命勇气之剑,8,520000,310044,92,5,1,2500,3,58,58,10000,58,
49,4,宿命勇气之剑,9,630000,310044,92,6,1,2500,3,53,53,10000,53,
50,4,宿命勇气之剑,10,750000,310044,92,6,1,2500,3,57,57,10000,57,
51,4,宿命勇气之剑,11,880000,310044,92,6,1,2500,3,62,62,10000,62,
52,4,宿命勇气之剑,12,1020000,310045,0,0,0,0,0,0,0,0,0,
53,5,宿命羁绊之手,0,0,1900005,92,5,1,2500,3,24,24,10000,24,
54,5,宿命羁绊之手,1,30000,1900005,92,6,1,2500,3,27,27,10000,27,
55,5,宿命羁绊之手,2,70000,1900005,92,6,1,2500,3,33,33,10000,33,
56,5,宿命羁绊之手,3,120000,1900005,92,6,1,2500,3,40,40,10000,40,
57,5,宿命羁绊之手,4,180000,1900052,92,7,1,2500,3,40,40,10000,40,
58,5,宿命羁绊之手,5,250000,1900052,92,7,1,2500,3,45,45,10000,45,
59,5,宿命羁绊之手,6,330000,1900052,92,7,1,2500,3,51,51,10000,51,
60,5,宿命羁绊之手,7,420000,1900052,92,7,1,2500,3,57,57,10000,57,
61,5,宿命羁绊之手,8,520000,1900053,92,7,1,2500,3,62,62,10000,62,
62,5,宿命羁绊之手,9,630000,1900053,92,8,1,2500,3,60,60,10000,60,
63,5,宿命羁绊之手,10,750000,1900053,92,8,1,2500,3,64,64,10000,64,
64,5,宿命羁绊之手,11,880000,1900053,92,8,1,2500,3,69,69,10000,69,
65,5,宿命羁绊之手,12,1020000,1900054,0,0,0,0,0,0,0,0,0,
66,6,宿命光之长剑,0,0,1100010,92,4,1,2500,3,24,24,10000,24,
67,6,宿命光之长剑,1,45000,1100010,92,5,1,2500,3,26,26,10000,26,
68,6,宿命光之长剑,2,105000,1100010,92,5,1,2500,3,32,32,10000,32,
69,6,宿命光之长剑,3,180000,1100010,92,5,1,2500,3,38,38,10000,38,
70,6,宿命光之长剑,4,270000,1100124,92,6,1,2500,3,37,37,10000,37,
71,6,宿命光之长剑,5,375000,1100124,92,6,1,2500,3,42,42,10000,42,
72,6,宿命光之长剑,6,495000,1100124,92,6,1,2500,3,48,48,10000,48,
73,6,宿命光之长剑,7,630000,1100124,92,6,1,2500,3,53,53,10000,53,
74,6,宿命光之长剑,8,780000,1100125,92,6,1,2500,3,58,58,10000,58,
75,6,宿命光之长剑,9,945000,1100125,92,7,1,2500,3,54,54,10000,54,
76,6,宿命光之长剑,10,1125000,1100125,92,7,1,2500,3,59,59,10000,59,
77,6,宿命光之长剑,11,1320000,1100125,92,7,1,2500,3,63,63,10000,63,
78,6,宿命光之长剑,12,1530000,1100120,0,0,0,0,0,0,0,0,0,
79,7,宿命噬魂巨刃,0,0,1700007,92,3,1,2500,3,27,27,10000,27,
80,7,宿命噬魂巨刃,1,30000,1700007,92,4,1,2500,3,27,27,10000,27,
81,7,宿命噬魂巨刃,2,70000,1700007,92,4,1,2500,3,33,33,10000,33,
82,7,宿命噬魂巨刃,3,120000,1700007,92,4,1,2500,3,40,40,10000,40,
83,7,宿命噬魂巨刃,4,180000,1700031,92,5,1,2500,3,37,37,10000,37,
84,7,宿命噬魂巨刃,5,250000,1700031,92,5,1,2500,3,42,42,10000,42,
85,7,宿命噬魂巨刃,6,330000,1700031,92,5,1,2500,3,48,48,10000,48,
86,7,宿命噬魂巨刃,7,420000,1700031,92,5,1,2500,3,53,53,10000,53,
87,7,宿命噬魂巨刃,8,520000,1700032,92,5,1,2500,3,58,58,10000,58,
88,7,宿命噬魂巨刃,9,630000,1700032,92,6,1,2500,3,53,53,10000,53,
89,7,宿命噬魂巨刃,10,750000,1700032,92,6,1,2500,3,57,57,10000,57,
90,7,宿命噬魂巨刃,11,880000,1700032,92,6,1,2500,3,62,62,10000,62,
91,7,宿命噬魂巨刃,12,1020000,1700033,0,0,0,0,0,0,0,0,0,
92,8,宿命月神之弦,0,0,1100009,92,5,1,2500,3,24,24,10000,24,
93,8,宿命月神之弦,1,45000,1100009,92,6,1,2500,3,27,27,10000,27,
94,8,宿命月神之弦,2,105000,1100009,92,6,1,2500,3,33,33,10000,33,
95,8,宿命月神之弦,3,180000,1100009,92,6,1,2500,3,40,40,10000,40,
96,8,宿命月神之弦,4,270000,1100121,92,7,1,2500,3,40,40,10000,40,
97,8,宿命月神之弦,5,375000,1100121,92,7,1,2500,3,45,45,10000,45,
98,8,宿命月神之弦,6,495000,1100121,92,7,1,2500,3,51,51,10000,51,
99,8,宿命月神之弦,7,630000,1100121,92,7,1,2500,3,57,57,10000,57,
100,8,宿命月神之弦,8,780000,1100122,92,7,1,2500,3,62,62,10000,62,
101,8,宿命月神之弦,9,945000,1100122,92,8,1,2500,3,60,60,10000,60,
102,8,宿命月神之弦,10,1125000,1100122,92,8,1,2500,3,64,64,10000,64,
103,8,宿命月神之弦,11,1320000,1100122,92,8,1,2500,3,69,69,10000,69,
104,8,宿命月神之弦,12,1530000,1100123,0,0,0,0,0,0,0,0,0,
105,9,宿命王者权杖,0,0,300011,92,5,1,2500,3,24,24,10000,24,
106,9,宿命王者权杖,1,36000,300011,92,6,1,2500,3,27,27,10000,27,
107,9,宿命王者权杖,2,84000,300011,92,6,1,2500,3,33,33,10000,33,
108,9,宿命王者权杖,3,144000,300011,92,6,1,2500,3,40,40,10000,40,
109,9,宿命王者权杖,4,216000,300050,92,7,1,2500,3,40,40,10000,40,
110,9,宿命王者权杖,5,300000,300050,92,7,1,2500,3,45,45,10000,45,
111,9,宿命王者权杖,6,396000,300050,92,7,1,2500,3,51,51,10000,51,
112,9,宿命王者权杖,7,504000,300050,92,7,1,2500,3,57,57,10000,57,
113,9,宿命王者权杖,8,624000,300051,92,7,1,2500,3,62,62,10000,62,
114,9,宿命王者权杖,9,756000,300051,92,8,1,2500,3,60,60,10000,60,
115,9,宿命王者权杖,10,900000,300051,92,8,1,2500,3,64,64,10000,64,
116,9,宿命王者权杖,11,1056000,300051,92,8,1,2500,3,69,69,10000,69,
117,9,宿命王者权杖,12,1224000,300052,0,0,0,0,0,0,0,0,0,
118,10,宿命天使逆刃,0,0,1200033,92,4,1,2500,3,24,24,10000,24,
119,10,宿命天使逆刃,1,36000,1200033,92,5,1,2500,3,26,26,10000,26,
120,10,宿命天使逆刃,2,84000,1200033,92,5,1,2500,3,32,32,10000,32,
121,10,宿命天使逆刃,3,144000,1200033,92,5,1,2500,3,38,38,10000,38,
122,10,宿命天使逆刃,4,216000,1200126,92,6,1,2500,3,37,37,10000,37,
123,10,宿命天使逆刃,5,300000,1200126,92,6,1,2500,3,42,42,10000,42,
124,10,宿命天使逆刃,6,396000,1200126,92,6,1,2500,3,48,48,10000,48,
125,10,宿命天使逆刃,7,504000,1200126,92,6,1,2500,3,53,53,10000,53,
126,10,宿命天使逆刃,8,624000,1200127,92,6,1,2500,3,58,58,10000,58,
127,10,宿命天使逆刃,9,756000,1200127,92,7,1,2500,3,54,54,10000,54,
128,10,宿命天使逆刃,10,900000,1200127,92,7,1,2500,3,59,59,10000,59,
129,10,宿命天使逆刃,11,1056000,1200127,92,7,1,2500,3,63,63,10000,63,
130,10,宿命天使逆刃,12,1224000,1100127,0,0,0,0,0,0,0,0,0,
131,11,胜利契约之枪,0,0,2200007,92,4,1,2500,3,24,24,10000,24,
132,11,胜利契约之枪,1,36000,2200007,92,5,1,2500,3,26,26,10000,26,
133,11,胜利契约之枪,2,84000,2200007,92,5,1,2500,3,32,32,10000,32,
134,11,胜利契约之枪,3,144000,2200007,92,5,1,2500,3,38,38,10000,38,
135,11,胜利契约之枪,4,216000,2200102,92,6,1,2500,3,37,37,10000,37,
136,11,胜利契约之枪,5,300000,2200102,92,6,1,2500,3,42,42,10000,42,
137,11,胜利契约之枪,6,396000,2200102,92,6,1,2500,3,48,48,10000,48,
138,11,胜利契约之枪,7,504000,2200102,92,6,1,2500,3,53,53,10000,53,
139,11,胜利契约之枪,8,624000,2200096,92,6,1,2500,3,58,58,10000,58,
140,11,胜利契约之枪,9,756000,2200096,92,7,1,2500,3,54,54,10000,54,
141,11,胜利契约之枪,10,900000,2200096,92,7,1,2500,3,59,59,10000,59,
142,11,胜利契约之枪,11,1056000,2200096,92,7,1,2500,3,63,63,10000,63,
143,11,胜利契约之枪,12,1224000,2200097,0,0,0,0,0,0,0,0,0,
144,12,曙光女神之剑,0,0,1200129,92,5,1,2500,3,42,42,10000,42,
145,12,曙光女神之剑,1,80000,1200129,92,6,1,2500,3,53,53,10000,53,
146,12,曙光女神之剑,2,200000,1200129,92,7,1,2500,3,60,60,10000,60,
147,12,曙光女神之剑,3,360000,1200129,92,8,1,2500,3,66,66,10000,66,
148,12,曙光女神之剑,4,560000,1200130,92,9,1,2500,3,70,70,10000,70,
149,12,曙光女神之剑,5,800000,1200130,92,10,1,2500,3,74,74,10000,74,
150,12,曙光女神之剑,6,1080000,1200130,92,11,1,2500,3,77,77,10000,77,
151,12,曙光女神之剑,7,1400000,1200130,92,12,1,2500,3,79,79,10000,79,
152,12,曙光女神之剑,8,1760000,1200131,92,13,1,2500,3,81,81,10000,81,
153,12,曙光女神之剑,9,2160000,1200131,92,14,1,2500,3,83,83,10000,83,
154,12,曙光女神之剑,10,2600000,1200131,92,15,1,2500,3,84,84,10000,84,
155,12,曙光女神之剑,11,3080000,1200131,92,16,1,2500,3,86,86,10000,86,
156,12,曙光女神之剑,12,3600000,1200132,0,0,0,0,0,0,0,0,0,
