ID,佣兵池ID,佣兵ID,抽取几率(100倍),佣兵上阵次数
148,2,13100006,2222,1
149,2,15100007,2222,1
150,2,15100008,2222,1
151,2,16100004,2222,1
152,2,16100008,2222,1
153,2,16100012,2222,1
154,2,11100020,526,1
155,2,11100036,526,1
156,2,15100010,526,1
157,2,17100001,526,1
158,2,17100002,526,1
159,2,17100009,526,1
160,2,17100010,526,1
161,2,17100012,526,1
162,2,17100015,526,1
163,2,17100016,526,1
164,2,17100023,526,1
165,2,17100025,526,1
166,2,17100029,526,1
167,2,17100030,526,1
168,2,17100031,526,1
169,2,17100032,526,1
170,2,17100033,526,1
171,2,17100036,526,1
172,2,17100037,526,1
173,2,11100035,555,1
174,2,18100001,555,1
175,2,18100005,555,1
176,2,18100006,555,1
177,2,18100007,555,1
178,2,18100021,555,1
179,2,18100026,555,1
180,2,18100029,555,1
181,2,18100030,555,1
182,2,18100032,555,1
183,2,18100033,555,1
184,2,18100038,555,1
185,2,18100039,555,1
186,2,18100040,555,1
187,2,18100042,555,1
188,2,18100043,555,1
189,2,18100045,555,1
190,2,18100069,555,1
191,2,17100003,2500,1
192,2,17100011,2500,1
193,2,17100021,2500,1
194,2,19100035,2500,1
195,2,18100003,1666,1
196,2,18100004,1666,1
197,2,18100020,1666,1
198,2,18100034,1666,1
199,2,18100044,1666,1
200,2,18100067,1666,1
201,2,10100005,1428,1
202,2,11100032,1428,1
203,2,11100034,1428,1
204,2,17100005,1428,1
205,2,17100017,1428,1
206,2,17100022,1428,1
207,2,17100034,1428,1
208,2,17100004,625,1
209,2,18100009,625,1
210,2,18100010,625,1
211,2,18100011,625,1
212,2,18100017,625,1
213,2,18100022,625,1
214,2,18100023,625,1
215,2,18100024,625,1
216,2,18100027,625,1
217,2,18100028,625,1
218,2,18100041,625,1
219,2,18100060,625,1
220,2,18100062,625,1
221,2,18100065,625,1
222,2,18100068,625,1
223,2,18100073,625,1
224,2,17100038,3333,1
225,2,18100066,3333,1
226,2,19100058,3333,1
227,2,19100162,3333,1
228,2,19100092,3333,1
229,2,19100165,3333,1
230,3,19100031,624,1
231,3,19100034,624,1
232,3,19100043,624,1
233,3,19100048,624,1
234,3,19100052,624,1
235,3,19100053,624,1
236,3,19100056,624,1
237,3,19100093,624,1
238,3,19100094,624,1
239,3,19100097,624,1
240,3,19100102,624,1
241,3,19100103,624,1
242,3,19100114,624,1
243,3,19100115,624,1
244,3,19100116,624,1
245,3,19100119,624,1
246,3,19100127,624,1
247,3,19100137,624,1
248,3,19100143,624,1
249,3,19100149,624,1
250,3,19100157,624,1
251,3,19100177,624,1
252,3,19100182,624,1
253,3,19100184,624,1
254,3,19100191,624,1
255,3,19100196,624,1
256,3,19100217,624,1
257,3,19100221,624,1
258,3,19100231,624,1
259,3,19100235,624,1
260,3,19100238,624,1
261,3,19100246,624,1
262,3,19100022,475,1
263,3,19100026,475,1
264,3,19100027,475,1
265,3,19100062,475,1
266,3,19100068,475,1
267,3,19100077,475,1
268,3,19100080,475,1
269,3,19100090,475,1
270,3,19100098,475,1
271,3,19100120,475,1
272,3,19100124,475,1
273,3,19100128,475,1
274,3,19100129,475,1
275,3,19100130,475,1
276,3,19100131,475,1
277,3,19100133,475,1
278,3,19100142,475,1
279,3,19100152,475,1
280,3,19100156,475,1
281,3,19100164,475,1
282,3,19100166,475,1
283,3,19100168,475,1
284,3,19100172,475,1
285,3,19100176,475,1
286,3,19100181,475,1
287,3,19100186,475,1
288,3,19100188,475,1
289,3,19100192,475,1
290,3,19100193,475,1
291,3,19100195,475,1
292,3,19100199,475,1
293,3,19100205,475,1
294,3,19100206,475,1
295,3,19100207,475,1
296,3,19100209,475,1
297,3,19100210,475,1
298,3,19100212,475,1
299,3,19100219,475,1
300,3,19100229,475,1
301,3,19100239,475,1
302,3,19100242,475,1
303,3,19100247,475,1
304,3,19100152,1111,1
305,3,19100193,1111,1
306,3,19100219,1111,1
307,3,19100206,1111,1
308,3,19100209,1111,1
309,3,19100175,1111,1
310,3,19100245,1111,1
311,3,19100248,1111,1
312,3,19100244,1111,1
313,3,19100180,1111,1
314,3,19100200,1111,1
315,3,19100246,1111,1
316,3,19100056,1111,1
317,3,19100182,1111,1
318,3,19100191,1111,1
319,3,19100221,1111,1
320,3,19100238,1111,1
321,3,19100247,1111,1
322,3,18100040,5000,1
323,3,18100022,5000,1
324,3,19100024,5000,1
325,3,19100028,5000,1
326,4,17100003,2500,1
327,4,17100011,2500,1
328,4,17100021,2500,1
329,4,19100035,2500,1
330,4,19100002,500,1
331,4,19100009,500,1
332,4,19100015,500,1
333,4,19100020,500,1
334,4,19100028,500,1
335,4,19100029,500,1
336,4,19100030,500,1
337,4,19100039,500,1
338,4,19100047,500,1
339,4,19100055,500,1
340,4,19100057,500,1
341,4,19100096,500,1
342,4,19100118,500,1
343,4,19100135,500,1
344,4,19100138,500,1
345,4,19100139,500,1
346,4,19100150,500,1
347,4,19100153,500,1
348,4,19100165,500,1
349,4,19100174,500,1
350,4,17100004,625,1
351,4,18100009,625,1
352,4,18100010,625,1
353,4,18100011,625,1
354,4,18100017,625,1
355,4,18100022,625,1
356,4,18100023,625,1
357,4,18100024,625,1
358,4,18100027,625,1
359,4,18100028,625,1
360,4,18100041,625,1
361,4,18100060,625,1
362,4,18100062,625,1
363,4,18100065,625,1
364,4,18100068,625,1
365,4,18100073,625,1
366,4,19100022,237,1
367,4,19100026,237,1
368,4,19100027,237,1
369,4,19100062,237,1
370,4,19100068,237,1
371,4,19100077,237,1
372,4,19100080,237,1
373,4,19100090,237,1
374,4,19100098,237,1
375,4,19100120,237,1
376,4,19100124,237,1
377,4,19100128,237,1
378,4,19100129,237,1
379,4,19100130,237,1
380,4,19100131,237,1
381,4,19100133,237,1
382,4,19100142,237,1
383,4,19100152,237,1
384,4,19100156,237,1
385,4,19100164,237,1
386,4,19100166,237,1
387,4,19100168,237,1
388,4,19100172,237,1
389,4,19100176,237,1
390,4,19100181,237,1
391,4,19100186,237,1
392,4,19100188,237,1
393,4,19100192,237,1
394,4,19100193,237,1
395,4,19100195,237,1
396,4,19100199,237,1
397,4,19100205,237,1
398,4,19100206,237,1
399,4,19100207,237,1
400,4,19100209,237,1
401,4,19100210,237,1
402,4,19100212,237,1
403,4,19100219,237,1
404,4,19100229,237,1
405,4,19100239,237,1
406,4,19100242,237,1
407,4,19100247,237,1
408,4,19100114,2857,1
409,4,19100178,2857,1
410,4,19100040,2857,1
411,4,19100046,2857,1
412,4,19100076,2857,1
413,4,19100191,2857,1
414,4,19100034,2857,1
415,5,17100038,1666,1
416,5,18100066,1666,1
417,5,19100058,1666,1
418,5,19100162,1666,1
419,5,19100092,1666,1
420,5,19100165,1666,1
421,5,19100152,555,1
422,5,19100193,555,1
423,5,19100219,555,1
424,5,19100206,555,1
425,5,19100209,555,1
426,5,19100175,555,1
427,5,19100245,555,1
428,5,19100248,555,1
429,5,19100244,555,1
430,5,19100180,555,1
431,5,19100200,555,1
432,5,19100246,555,1
433,5,19100056,555,1
434,5,19100182,555,1
435,5,19100191,555,1
436,5,19100221,555,1
437,5,19100238,555,1
438,5,19100247,555,1
439,5,18100040,2500,1
440,5,18100022,2500,1
441,5,19100024,2500,1
442,5,19100028,2500,1
443,5,19100114,1428,1
444,5,19100178,1428,1
445,5,19100040,1428,1
446,5,19100046,1428,1
447,5,19100076,1428,1
448,5,19100191,1428,1
449,5,19100034,1428,1
450,6,11100017,2666,1
451,6,13100007,2666,1
452,6,14100005,2666,1
453,6,16100009,2666,1
454,6,16100014,0,1
455,6,13100004,2666,1
456,6,15100007,2666,1
457,6,15100008,2666,1
458,6,16100008,2666,1
459,6,17100029,774,1
460,6,18100063,774,1
461,6,18100069,774,1
462,6,18100045,774,1
463,6,19100063,0,1
464,6,19100099,774,1
465,6,19100125,774,1
466,6,19100087,774,1
467,6,19100109,774,1
468,6,19100110,774,1
469,6,19100141,774,1
470,6,19100147,774,1
471,6,19100187,774,1
472,6,19100218,774,1
473,6,19100211,774,1
474,6,19100215,774,1
475,6,19100132,774,1
476,6,19100159,774,1
477,6,19100171,774,1
478,6,19100190,774,1
479,6,19100194,774,1
480,6,19100220,774,1
481,6,17100010,774,1
482,6,17100015,774,1
483,6,17100025,774,1
484,6,17100012,774,1
485,6,17100031,774,1
486,6,17100009,774,1
487,6,17100033,774,1
488,6,17100023,774,1
489,6,17100037,774,1
490,6,18100036,8001,1
491,6,18100038,8001,1
492,6,18100032,8001,1
493,6,18100039,8001,1
494,6,18100042,8001,1
495,6,18100043,8001,1
496,6,18100021,8001,1
497,6,18100046,0,1
498,6,18100006,8000,1
499,6,19100025,4801,1
500,6,19100005,4801,1
501,6,19100004,4801,1
502,6,19100018,4801,1
503,6,19100033,4801,1
504,6,19100010,4801,1
505,6,19100091,4801,1
506,6,19100154,4801,1
507,6,19100012,4801,1
508,6,19100008,4801,1
509,6,19100121,5538,1
510,6,19100201,5538,1
511,6,19100204,5538,1
512,6,19100095,5538,1
513,6,19100179,5538,1
514,6,19100122,5538,1
515,6,19100169,5538,1
516,6,19100249,5538,1
517,6,19100101,5538,1
518,6,19100038,5538,1
519,6,19100088,5538,1
520,6,19100155,5538,1
521,6,19100170,5538,1
522,6,11100022,8000,1
523,6,15100005,8000,1
524,6,16100003,8000,1
525,6,17100005,727,1
526,6,17100017,727,1
527,6,11100032,727,1
528,6,17100022,727,1
529,6,17100034,727,1
530,6,10100005,727,1
531,6,18100023,727,1
532,6,18100073,727,1
533,6,18100061,727,1
534,6,19100013,727,1
535,6,19100007,727,1
536,6,19100050,727,1
537,6,19100065,0,1
538,6,19100131,727,1
539,6,19100133,727,1
540,6,19100172,727,1
541,6,19100176,727,1
542,6,19100181,727,1
543,6,19100186,727,1
544,6,19100188,727,1
545,6,19100199,727,1
546,6,19100212,727,1
547,6,19100207,727,1
548,6,19100205,727,1
549,6,19100210,727,1
550,6,19100206,727,1
551,6,19100242,727,1
552,6,19100078,0,1
553,6,19100108,727,1
554,6,19100148,727,1
555,6,19100136,727,1
556,6,19100214,727,1
557,6,19100213,727,1
558,6,17100004,7200,1
559,6,18100010,7200,1
560,6,18100017,7200,1
561,6,18100024,7200,1
562,6,18100027,7200,1
563,6,18100028,7200,1
564,6,18100054,0,1
565,6,18100011,7200,1
566,6,18100065,7200,1
567,6,18100047,0,1
568,6,19100036,3000,1
569,6,19100042,3000,1
570,6,19100051,3001,1
571,6,19100019,0,1
572,6,19100067,3001,1
573,6,19100085,3001,1
574,6,19100089,3001,1
575,6,19100105,3001,1
576,6,19100104,3001,1
577,6,19100106,3001,1
578,6,19100117,3001,1
579,6,19100140,3001,1
580,6,19100144,3001,1
581,6,19100145,3001,1
582,6,19100160,3001,1
583,6,19100197,3001,1
584,6,19100027,6545,1
585,6,19100090,6545,1
586,6,19100098,6545,1
587,6,19100022,6545,1
588,6,19100026,6545,1
589,6,19100077,6545,1
590,6,19100128,6545,1
591,6,19100156,6545,1
592,6,19100166,6545,1
593,6,19100195,6545,1
594,6,19100151,6545,1
595,6,19100092,12000,1
596,6,19100061,0,1
597,6,19100165,12000,1
598,6,19100206,12000,1
599,6,19100175,12000,1
600,6,19100245,12000,1
601,6,19100180,12000,1
602,6,19100250,12000,1
603,6,19100216,12000,1
604,6,19100238,12000,1
605,6,17100038,9600,1
606,6,18100066,9600,1
607,6,19100058,9600,1
608,6,19100162,9600,1
609,6,19100082,0,1
610,6,19100130,4800,1
611,6,19100152,4800,1
612,6,19100193,4800,1
613,6,19100212,4800,1
614,6,19100219,4800,1
615,6,19100209,4800,1
616,6,19100248,4800,1
617,6,19100081,0,1
618,6,19100086,4800,1
619,6,19100244,4800,1
620,6,19100200,4800,1
621,6,19100056,4800,1
622,6,19100182,4800,1
623,6,19100191,4800,1
624,6,19100221,4800,1
625,6,11100006,1263,1
626,6,18100044,1263,1
627,6,19100069,0,1
628,6,19100208,1263,1
629,6,19100066,0,1
630,6,19100015,1263,1
631,6,19100096,1263,1
632,6,19100135,1263,1
633,6,19100158,1263,1
634,6,19100116,1263,1
635,6,19100190,1263,1
636,6,19100194,1263,1
637,6,19100220,1263,1
638,6,19100126,1263,1
639,6,19100127,1263,1
640,6,19100163,1263,1
641,6,19100173,1263,1
642,6,19100177,1263,1
643,6,19100235,1263,1
644,6,17100003,6000,1
645,6,17100011,6000,1
646,6,17100021,6000,1
647,6,19100035,6000,1
648,6,18100049,0,1
649,6,18100003,14400,1
650,6,18100020,14400,1
651,6,18100004,14400,1
652,6,18100067,14400,1
653,6,19100161,3200,1
654,6,19100025,3200,1
655,6,19100002,3200,1
656,6,19100020,3200,1
657,6,19100039,3200,1
658,6,19100055,3200,1
659,6,19100057,3200,1
660,6,19100075,0,1
661,6,19100029,3200,1
662,6,19100030,3200,1
663,6,19100118,3200,1
664,6,19100139,3200,1
665,6,19100138,3201,1
666,6,19100150,3201,1
667,6,19100153,3201,1
668,6,19100168,4000,1
669,6,19100073,0,1
670,6,19100121,4000,1
671,6,19100201,4000,1
672,6,19100204,4000,1
673,6,19100031,4000,1
674,6,19100043,4000,1
675,6,19100048,4000,1
676,6,19100052,4000,1
677,6,19100053,4000,1
678,6,19100094,4000,1
679,6,19100102,4000,1
680,6,19100115,4000,1
681,6,19100137,4000,1
682,6,19100149,4000,1
683,6,19100196,4000,1
684,6,19100217,4000,1
685,6,19100203,4000,1
686,6,18100009,1666,1
687,6,18100022,1666,1
688,6,18100041,1666,1
689,6,18100060,1666,1
690,6,19100040,1666,1
691,6,19100120,1667,1
692,6,18100005,1000,1
693,6,18100007,1000,1
694,6,18100026,1000,1
695,6,18100033,1000,1
696,6,18100040,1000,1
697,6,19100001,1000,1
698,6,19100017,1000,1
699,6,19100045,1000,1
700,6,19100114,1000,1
701,6,19100178,1001,1
702,6,18100001,2000,1
703,6,18100030,2000,1
704,6,19100024,2000,1
705,6,19100046,2000,1
706,6,19100076,2001,1
707,6,19100009,2000,1
708,6,19100028,2000,1
709,6,19100034,2000,1
710,6,19100093,2000,1
711,6,19100119,2001,1
712,7,11100017,26,1
713,7,13100007,26,1
714,7,14100005,26,1
715,7,16100009,26,1
716,7,16100014,0,1
717,7,13100004,26,1
718,7,15100007,26,1
719,7,15100008,26,1
720,7,16100008,26,1
721,7,17100029,15,1
722,7,18100063,15,1
723,7,18100069,15,1
724,7,18100045,15,1
725,7,19100063,0,1
726,7,19100099,15,1
727,7,19100125,15,1
728,7,19100087,15,1
729,7,19100109,15,1
730,7,19100110,15,1
731,7,19100141,15,1
732,7,19100147,15,1
733,7,19100187,15,1
734,7,19100218,15,1
735,7,19100211,15,1
736,7,19100215,15,1
737,7,19100132,15,1
738,7,19100159,15,1
739,7,19100171,15,1
740,7,19100190,15,1
741,7,19100194,15,1
742,7,19100220,15,1
743,7,17100010,15,1
744,7,17100015,15,1
745,7,17100025,15,1
746,7,17100012,15,1
747,7,17100031,15,1
748,7,17100009,15,1
749,7,17100033,15,1
750,7,17100023,15,1
751,7,17100037,15,1
752,7,18100036,80,1
753,7,18100038,80,1
754,7,18100032,80,1
755,7,18100039,80,1
756,7,18100042,80,1
757,7,18100043,80,1
758,7,18100021,80,1
759,7,18100046,0,1
760,7,18100006,80,1
761,7,19100025,48,1
762,7,19100005,48,1
763,7,19100004,48,1
764,7,19100018,48,1
765,7,19100033,48,1
766,7,19100010,48,1
767,7,19100091,48,1
768,7,19100154,48,1
769,7,19100012,48,1
770,7,19100008,48,1
771,7,19100121,55,1
772,7,19100201,55,1
773,7,19100204,55,1
774,7,19100095,55,1
775,7,19100179,55,1
776,7,19100122,55,1
777,7,19100169,55,1
778,7,19100249,55,1
779,7,19100101,55,1
780,7,19100038,55,1
781,7,19100088,55,1
782,7,19100155,55,1
783,7,19100170,55,1
784,7,11100022,80,1
785,7,15100005,80,1
786,7,16100003,80,1
787,7,17100005,15,1
788,7,17100017,15,1
789,7,11100032,15,1
790,7,17100022,15,1
791,7,17100034,15,1
792,7,10100005,15,1
793,7,18100023,15,1
794,7,18100073,15,1
795,7,18100061,15,1
796,7,19100013,15,1
797,7,19100007,15,1
798,7,19100050,15,1
799,7,19100065,0,1
800,7,19100131,15,1
801,7,19100133,15,1
802,7,19100172,15,1
803,7,19100176,15,1
804,7,19100181,15,1
805,7,19100186,15,1
806,7,19100188,15,1
807,7,19100199,15,1
808,7,19100212,15,1
809,7,19100207,15,1
810,7,19100205,15,1
811,7,19100210,15,1
812,7,19100206,15,1
813,7,19100242,15,1
814,7,19100078,0,1
815,7,19100108,15,1
816,7,19100148,15,1
817,7,19100136,15,1
818,7,19100214,15,1
819,7,19100213,15,1
820,7,17100004,72,1
821,7,18100010,72,1
822,7,18100017,72,1
823,7,18100024,72,1
824,7,18100027,72,1
825,7,18100028,72,1
826,7,18100054,0,1
827,7,18100011,72,1
828,7,18100065,72,1
829,7,18100047,0,1
830,7,19100036,30,1
831,7,19100042,30,1
832,7,19100051,30,1
833,7,19100019,0,1
834,7,19100067,30,1
835,7,19100085,30,1
836,7,19100089,30,1
837,7,19100105,30,1
838,7,19100104,30,1
839,7,19100106,30,1
840,7,19100117,30,1
841,7,19100140,30,1
842,7,19100144,30,1
843,7,19100145,30,1
844,7,19100160,30,1
845,7,19100197,30,1
846,7,19100027,65,1
847,7,19100090,65,1
848,7,19100098,65,1
849,7,19100022,65,1
850,7,19100026,65,1
851,7,19100077,65,1
852,7,19100128,65,1
853,7,19100156,65,1
854,7,19100166,65,1
855,7,19100195,65,1
856,7,19100151,65,1
857,7,19100092,120,1
858,7,19100061,0,1
859,7,19100165,120,1
860,7,19100206,120,1
861,7,19100175,120,1
862,7,19100245,120,1
863,7,19100180,120,1
864,7,19100250,120,1
865,7,19100216,120,1
866,7,19100238,120,1
867,7,17100038,96,1
868,7,18100066,96,1
869,7,19100058,96,1
870,7,19100162,96,1
871,7,19100082,0,1
872,7,19100130,48,1
873,7,19100152,48,1
874,7,19100193,48,1
875,7,19100212,48,1
876,7,19100219,48,1
877,7,19100209,48,1
878,7,19100248,48,1
879,7,19100081,0,1
880,7,19100086,48,1
881,7,19100244,48,1
882,7,19100200,48,1
883,7,19100056,48,1
884,7,19100182,48,1
885,7,19100191,48,1
886,7,19100221,48,1
887,7,11100006,12,1
888,7,18100044,12,1
889,7,19100069,0,1
890,7,19100208,12,1
891,7,19100066,0,1
892,7,19100015,12,1
893,7,19100096,12,1
894,7,19100135,12,1
895,7,19100158,12,1
896,7,19100116,12,1
897,7,19100190,12,1
898,7,19100194,12,1
899,7,19100220,12,1
900,7,19100126,12,1
901,7,19100127,12,1
902,7,19100163,12,1
903,7,19100173,12,1
904,7,19100177,12,1
905,7,19100235,12,1
906,7,17100003,60,1
907,7,17100011,60,1
908,7,17100021,60,1
909,7,19100035,60,1
910,7,18100049,0,1
911,7,18100003,144,1
912,7,18100020,144,1
913,7,18100004,144,1
914,7,18100067,144,1
915,7,19100161,32,1
916,7,19100025,32,1
917,7,19100002,32,1
918,7,19100020,32,1
919,7,19100039,32,1
920,7,19100055,32,1
921,7,19100057,32,1
922,7,19100075,0,1
923,7,19100029,32,1
924,7,19100030,32,1
925,7,19100118,32,1
926,7,19100139,32,1
927,7,19100138,32,1
928,7,19100150,32,1
929,7,19100153,32,1
930,7,19100168,40,1
931,7,19100073,0,1
932,7,19100121,40,1
933,7,19100201,40,1
934,7,19100204,40,1
935,7,19100031,40,1
936,7,19100043,40,1
937,7,19100048,40,1
938,7,19100052,40,1
939,7,19100053,40,1
940,7,19100094,40,1
941,7,19100102,40,1
942,7,19100115,40,1
943,7,19100137,40,1
944,7,19100149,40,1
945,7,19100196,40,1
946,7,19100217,40,1
947,7,19100203,40,1
948,7,18100009,16,1
949,7,18100022,16,1
950,7,18100041,16,1
951,7,18100060,16,1
952,7,19100040,16,1
953,7,19100120,16,1
954,7,18100005,10,1
955,7,18100007,10,1
956,7,18100026,10,1
957,7,18100033,10,1
958,7,18100040,10,1
959,7,19100001,10,1
960,7,19100017,10,1
961,7,19100045,10,1
962,7,19100114,10,1
963,7,19100178,10,1
964,7,18100001,20,1
965,7,18100030,20,1
966,7,19100024,20,1
967,7,19100046,20,1
968,7,19100076,20,1
969,7,19100009,20,1
970,7,19100028,20,1
971,7,19100034,20,1
972,7,19100093,20,1
973,7,19100119,20,1
974,7,19100101,473,1
975,7,19100154,473,1
976,7,18100038,473,1
977,7,19100209,473,1
978,7,19100244,473,1
979,7,19100200,473,1
980,7,19100106,473,1
981,7,19100089,473,1
982,7,19100019,0,1
983,8,11100017,26,1
984,8,13100007,26,1
985,8,14100005,26,1
986,8,16100009,26,1
987,8,16100014,0,1
988,8,13100004,26,1
989,8,15100007,26,1
990,8,15100008,26,1
991,8,16100008,26,1
992,8,17100029,15,1
993,8,18100063,15,1
994,8,18100069,15,1
995,8,18100045,15,1
996,8,19100063,0,1
997,8,19100099,15,1
998,8,19100125,15,1
999,8,19100087,15,1
1000,8,19100109,15,1
1001,8,19100110,15,1
1002,8,19100141,15,1
1003,8,19100147,15,1
1004,8,19100187,15,1
1005,8,19100218,15,1
1006,8,19100211,15,1
1007,8,19100215,15,1
1008,8,19100132,15,1
1009,8,19100159,15,1
1010,8,19100171,15,1
1011,8,19100190,15,1
1012,8,19100194,15,1
1013,8,19100220,15,1
1014,8,17100010,15,1
1015,8,17100015,15,1
1016,8,17100025,15,1
1017,8,17100012,15,1
1018,8,17100031,15,1
1019,8,17100009,15,1
1020,8,17100033,15,1
1021,8,17100023,15,1
1022,8,17100037,15,1
1023,8,18100036,80,1
1024,8,18100038,80,1
1025,8,18100032,80,1
1026,8,18100039,80,1
1027,8,18100042,80,1
1028,8,18100043,80,1
1029,8,18100021,80,1
1030,8,18100046,0,1
1031,8,18100006,80,1
1032,8,19100025,48,1
1033,8,19100005,48,1
1034,8,19100004,48,1
1035,8,19100018,48,1
1036,8,19100033,48,1
1037,8,19100010,48,1
1038,8,19100091,48,1
1039,8,19100154,48,1
1040,8,19100012,48,1
1041,8,19100008,48,1
1042,8,19100121,55,1
1043,8,19100201,55,1
1044,8,19100204,55,1
1045,8,19100095,55,1
1046,8,19100179,55,1
1047,8,19100122,55,1
1048,8,19100169,55,1
1049,8,19100249,55,1
1050,8,19100101,55,1
1051,8,19100038,55,1
1052,8,19100088,55,1
1053,8,19100155,55,1
1054,8,19100170,55,1
1055,8,11100022,80,1
1056,8,15100005,80,1
1057,8,16100003,80,1
1058,8,17100005,15,1
1059,8,17100017,15,1
1060,8,11100032,15,1
1061,8,17100022,15,1
1062,8,17100034,15,1
1063,8,10100005,15,1
1064,8,18100023,15,1
1065,8,18100073,15,1
1066,8,18100061,15,1
1067,8,19100013,15,1
1068,8,19100007,15,1
1069,8,19100050,15,1
1070,8,19100065,0,1
1071,8,19100131,15,1
1072,8,19100133,15,1
1073,8,19100172,15,1
1074,8,19100176,15,1
1075,8,19100181,15,1
1076,8,19100186,15,1
1077,8,19100188,15,1
1078,8,19100199,15,1
1079,8,19100212,15,1
1080,8,19100207,15,1
1081,8,19100205,15,1
1082,8,19100210,15,1
1083,8,19100206,15,1
1084,8,19100242,15,1
1085,8,19100078,0,1
1086,8,19100108,15,1
1087,8,19100148,15,1
1088,8,19100136,15,1
1089,8,19100214,15,1
1090,8,19100213,15,1
1091,8,17100004,72,1
1092,8,18100010,72,1
1093,8,18100017,72,1
1094,8,18100024,72,1
1095,8,18100027,72,1
1096,8,18100028,72,1
1097,8,18100054,0,1
1098,8,18100011,72,1
1099,8,18100065,72,1
1100,8,18100047,0,1
1101,8,19100036,30,1
1102,8,19100042,30,1
1103,8,19100051,30,1
1104,8,19100019,0,1
1105,8,19100067,30,1
1106,8,19100085,30,1
1107,8,19100089,30,1
1108,8,19100105,30,1
1109,8,19100104,30,1
1110,8,19100106,30,1
1111,8,19100117,30,1
1112,8,19100140,30,1
1113,8,19100144,30,1
1114,8,19100145,30,1
1115,8,19100160,30,1
1116,8,19100197,30,1
1117,8,19100027,65,1
1118,8,19100090,65,1
1119,8,19100098,65,1
1120,8,19100022,65,1
1121,8,19100026,65,1
1122,8,19100077,65,1
