ID,动作名,动作时间,动作时间波动值,结束等待时间,结束时间波动值,归位,移动方向,移动距离,移动波动值,波动衰减,偏移角度随机值,振动X,振动Y,振频,开始变色颜色,变色,开始变色透明,变色透明,人物开始透明度,人物透明度,变色过程,跳起高度,跳起波动值,跳动类型,默认朝向（1，正面2，左3，右4，背面）,转身,转身频率,表情,表情应用对象（1，只有队长0，全体队员）,后续动作
10000030,振击受伤III,100,50,50,,,,,,,,6,6,50,,0xffff00,,0,,1,1,,,,,,,,,10000031
10000031,振击受伤IV,200,0,,,,3,5,,,,7,7,50,,0xff0000,,0.6,,1,1,,,,,,,,,20000002
10000032,毒受伤,100,50,50,,,,,,,,6,6,50,,0x18981e,,1,,1,1,,,,,,,,,10000033
10000033,毒受伤I,100,50,50,,,,,,,,6,6,50,,0x18981e,,0,,1,1,,,,,,,,,10000034
10000034,毒受伤II,100,50,50,,,,,,,,6,6,50,,0x18981e,,1,,1,1,,,,,,,,,10000035
10000035,毒受伤III,100,50,50,,,,,,,,6,6,50,,0x18981e,,0,,1,1,,,,,,,,,10000036
10000036,毒受伤IV,200,0,,,,3,5,,,,7,7,50,,0xff0000,,0.6,,1,1,,,,,,,,,20000002
10000037,连斩受伤,100,0,50,,,2,10,5,,,6,6,50,,0xff0000,,0.8,,1,1,,,,,,,,,10000038
10000038,连斩受伤I,100,0,50,,,,,,,,6,6,50,,0xff0000,,0,,1,1,,,,,,,,,10000039
10000039,连斩受伤II,100,0,50,,,2,10,5,,,6,6,50,,0xff0000,,0.8,,1,1,,,,,,,,,10000040
10000040,连斩受伤III,100,0,50,,,,,,,,6,6,50,,0xff0000,,0,,1,1,,,,,,,,,10000041
10000041,连斩受伤IV,200,0,300,,,4,20,5,,,7,7,50,,0xff0000,,0.6,,1,1,50,10,2,,1,50,,,20000002
10000042,必杀斩受伤,60,0,100,,,3,20,,0.1,,6,6,50,,0xff0000,,0.8,,1,2,30,10,2,,,,,,10000043
10000043,必杀斩受伤I,100,0,50,,,,,,,,6,6,50,,0xff0000,,0,,1,1,,,,,,,,,10000044
10000044,必杀斩受伤II,60,0,50,,,3,11,5,0.1,,6,6,50,,0xff0000,,0.8,,1,1,,,,,,,,,10000045
10000045,必杀斩受伤III,100,0,50,,,,,,,,6,6,50,,0xff0000,,0,,1,1,,,,,,,,,10000046
10000046,必杀斩受伤IV,60,0,300,,,3,20,5,,,7,7,50,,0xff0000,,0.6,,1,1,,,,,,,,,20000002
10000047,连刺受伤,80,50,50,,,,,,,,6,6,50,,0xffff00,,0.8,,1,1,,,,,,,,,10000048
10000048,连刺受伤I,90,50,50,,,,,,,,6,6,50,,0xffff00,,0,,1,1,,,,,,,,,10000049
10000049,连刺受伤II,100,50,50,,,,,,,,6,6,50,,0xffff00,,0.8,,1,1,,,,,,,,,10000050
10000050,连刺受伤III,110,50,50,,,,,,,,6,6,50,,0xffff00,,0,,1,1,,,,,,,,,10000051
10000051,连刺受伤IV,120,50,50,,,,,,,,6,6,50,,0xffff00,,1,,1,1,,,,,,,,,10000052
10000052,连刺受伤V,130,50,50,,,,,,,,6,6,50,,0xffff00,,0,,1,1,,,,,,,,,10000053
10000053,连刺受伤VI,200,0,,,,3,5,,,,7,7,50,,0xff0000,,0.6,,1,1,,,,,,,,,20000002
10000054,大爆破受伤,50,30,20,,,,,,,,6,6,50,,0xffff00,,0.8,,1,1,,,,,,,,,10000055
10000055,大爆破受伤I,50,30,20,,,,,,,,6,6,50,,0xffff00,,0,,1,1,,,,,,,,,10000056
10000056,大爆破受伤II,50,30,20,,,,,,,,6,6,50,,0xffff00,,0.8,,1,1,,,,,,,,,10000057
10000057,大爆破受伤III,50,30,20,,,,,,,,6,6,50,,0xffff00,,0,,1,1,,,,,,,,,10000058
10000058,大爆破受伤IV,50,30,20,,,,,,,,6,6,50,,0xffff00,,1,,1,1,,,,,,,,,10000059
10000059,大爆破受伤V,130,50,50,,,,,,,,6,6,50,,0xffff00,,0,,1,1,,,,,,,,,10000019
20000001,归位,100,,200,,1,,,,,,,,,,0xffffff,,0,1,1,2,,,,1,,,,,
20000002,受伤归位,250,50,200,,1,,,,,,,,,0xff0000,0xff0000,0.6,0,1,1,2,,,,1,,,,,
20000003,躲闪归位,250,50,200,,1,,,,,,,,,0xffffff,0xffffff,0.6,0,1,1,2,,,,1,,,,,
30000001,死亡,600,,200,,,,,,,,5,5,50,,,,,1,1,2,,,,,,,,,30000002
30000002,死亡2,1000,200,700,,1,,,,,,,,,,0x666666,,0.8,1,1,2,,,,,,,,,30000003
30000003,死亡3,2500,400,200,,,,,,,,,,,0x666666,0x666666,0.8,0.8,1,0,2,60,25,1,,,,,,
40000001,胜利,800,,900,,,,,,,,,,,,,,,,1,1,,,,,,,Happy,1,40000002
40000002,胜利2,600,80,100,,,,,,,,,,,,,,,,1,1,50,15,2,,1,100,,,40000003
40000003,胜利3,600,80,100,,,,,,,,,,,,,,,,1,1,40,20,2,,1,100,,,40000003
40000003,胜利4,600,80,150,,,,,,,,,,,,,,,,1,1,40,10,2,,1,100,,,
