ID,地点名,收益ID,关卡类型,战斗场景,场景音乐,默认开启,描述,场景怪物列表,图标,首掉频率,首次掉落组,随后频率,地点掉落组,事件1探索时间,事件1,宝箱掉落,场景类型
100015,3-5,3,5,ether,boss,,坂田银时,19000032|18000010|18000026|18000027|18000023|18000009|19000041|18000032|17000013|18000011|18000022|17000027|17000026|17000025|22000001|18000034|19000022|19000026,icon/maze/ether,60,300100015,3600,200100015,60,1000015,1800,4
100016,4-1,4,1,forest,mining,,猿飞菖蒲,12000001|12000002|12000003|12000004|12000005|12000006|12000007|12000008,icon/maze/forest,60,110000001,3600,110000001,50,1000016,,7
100017,4-2,4,2,forest,mining,,服部半藏,12000001|12000002|12000003|12000004|12000005|12000006|12000007|12000008,icon/maze/forest,80,110000002,3600,110000002,50,1000017,,7
100018,4-3,4,3,forest,city,,宇智波·鼬,12000001|12000002|12000003|12000004|12000005|12000006|12000007|12000008,icon/maze/forest,90,110100019,3600,110100019,50,1000018,,7
100019,4-4,4,4,forest,field,,佐助,12000001|12000002|12000003|12000004|12000005|12000006|12000007|12000008,icon/maze/forest,100,110100020,14400,110100020,50,1000019,,7
100020,4-5,4,5,forest,boss,,鸣人,12000001|12000002|12000003|12000004|12000005|12000006|12000007|12000008,icon/maze/forest,120,300100020,3600,200100020,150,1000020,1800,7
100021,5-1,5,1,angel,mining,,鲁路修,14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005,icon/maze/angel,160,110000001,3600,110000001,60,1000021,,2
100022,5-2,5,2,angel,city,,C.C,14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005,icon/maze/angel,180,110000002,3600,110000002,70,1000022,,2
100023,5-3,5,3,angel,field,,魔化信长,14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005,icon/maze/angel,200,110100024,3600,110100024,80,1000023,,2
100024,5-4,5,4,angel,field,,魔神撒旦,14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005,icon/maze/angel,240,110100025,14400,110100025,90,1000024,,2
100025,5-5,5,5,angel,boss,,鲁路修,14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005,icon/maze/angel,300,300100025,3600,200100025,300,1000025,1800,2
100026,6-1,6,1,plain,city,,珊璞,13000011|15000012|13000017,icon/maze/plain,360,110000001,3600,110000001,120,1000026,,14
100027,6-2,6,2,plain,field,,天道茜,13000011|15000012|13000017,icon/maze/plain,420,110000002,3600,110000002,120,1000027,,14
100028,6-3,6,3,plain,mining,,响良牙,12000001|12000002|12000003|12000004|12000005|12000006|12000007|12000008,icon/maze/plain,480,110100029,3600,110100029,120,1000028,,14
100029,6-4,6,4,plain,field,,乱马·女,12000001|12000002|12000003|12000004|12000005|12000006|12000007|12000008,icon/maze/plain,540,110100030,14400,110100030,120,1000029,,14
100030,6-5,6,5,plain,boss,,乱马·男,12000001|12000002|12000003|12000004|12000005|12000006|12000007|12000008,icon/maze/plain,600,300100030,3600,200100030,600,1000030,1800,14
100031,7-1,7,1,oasis,city,,佐佐木小次郎,10000002|10000005|11000004|11000007,icon/maze/oasis,720,110000001,3600,110000001,120,1000031,,12
100032,7-2,7,2,oasis,field,,宫本武藏,10000002|10000005|11000004|11000007,icon/maze/oasis,840,110000002,3600,110000002,120,1000032,,12
100033,7-3,7,3,oasis,field,,柳生十兵卫,10000002|10000005|11000004|11000007,icon/maze/oasis,960,110100034,3600,110100034,120,1000033,,12
100034,7-4,7,4,oasis,mining,,服部半藏,10000002|10000005|11000004|11000007,icon/maze/oasis,1080,110100035,14400,110100035,120,1000034,,12
100035,7-5,7,5,oasis,boss,,宁宁,10000002|10000005|11000004|11000007,icon/maze/oasis,1200,300100035,3600,200100035,1200,1000035,1800,12
100036,7-1,51,1,oasis,mining,,佐佐木小次郎,10000002|10000005|11000004|11000007,icon/maze/oasis,1200,110000001,3600,110000001,120,1000036,,12
100037,7-2,51,2,oasis,mining,,宫本武藏,10000002|10000005|11000004|11000007,icon/maze/oasis,1200,110000002,3600,110000002,120,1000037,,12
100038,7-3,51,3,oasis,field,,柳生十兵卫,10000002|10000005|11000004|11000007,icon/maze/oasis,1200,110200034,3600,110200034,120,1000038,,12
100039,7-4,51,4,oasis,field,,服部半藏,10000002|10000005|11000004|11000007,icon/maze/oasis,1200,110200035,14400,110200035,120,1000039,,12
100040,7-5,51,5,oasis,boss,,宁宁,10000002|10000005|11000004|11000007,icon/maze/oasis,1200,300200035,3600,200200035,1200,1000040,1800,12
100041,8-1,8,1,path,field,,竹中半兵卫,10000002|10000005|11000001|11000002|11000003,icon/maze/path,1200,110000001,3600,110000001,120,1000041,,13
100042,8-2,8,2,path,city,,武田信玄,10000002|10000005|11000001|11000002|11000003,icon/maze/path,1200,110000002,3600,110000002,120,1000042,,13
100043,8-3,8,3,path,field,,织田信长,10000002|10000005|11000001|11000002|11000003,icon/maze/path,1200,110100039,3600,110100039,120,1000043,,13
100044,8-4,8,4,path,field,,丰臣秀吉,10000002|10000005|11000001|11000002|11000003,icon/maze/path,1200,110100040,14400,110100040,120,1000044,,13
100045,8-5,8,5,path,boss,,德川家康,10000002|10000005|11000001|11000002|11000003,icon/maze/path,1200,300100040,3600,200100040,1200,1000045,1800,13
100046,8-1,52,1,path,field,,竹中半兵卫,10000002|10000005|11000004|11000007,icon/maze/path,1200,110000001,3600,110000001,120,1000046,,13
100047,8-2,52,2,path,city,,武田信玄,10000002|10000005|11000001|11000002|11000003,icon/maze/path,1200,110000002,3600,110000002,120,1000047,,13
100048,8-3,52,3,path,field,,织田信长,10000002|10000005|11000001|11000002|11000003,icon/maze/path,1200,110200039,3600,110200039,120,1000048,,13
100049,8-4,52,4,path,field,,丰臣秀吉,10000002|10000005|11000001|11000002|11000003,icon/maze/path,1200,110200040,14400,110200040,120,1000049,,13
100050,8-5,52,5,path,boss,,德川家康,10000002|10000005|11000001|11000002|11000003,icon/maze/path,1200,300200040,3600,200200040,1200,1000050,1800,13
100051,9-1,9,1,volcano,field,,佐佐木小次郎,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/volcano,1200,110000001,3600,110000001,120,1000051,,19
100052,9-2,9,2,volcano,mining,,美狄亚,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/volcano,1200,110000002,3600,110000002,120,1000052,,19
100053,9-3,9,3,volcano,field,,海格利斯,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/volcano,1200,110100044,3600,110100044,120,1000053,,19
100054,9-4,9,4,volcano,mining,,美杜莎,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/volcano,1200,110100045,14400,110100045,120,1000054,,19
100055,9-5,9,5,volcano,boss,,Saber,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/volcano,1200,300100045,3600,200100045,1200,1000055,1800,19
100056,9-1,53,1,volcano,field,,佐佐木小次郎,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/volcano,1200,110000001,3600,110000001,120,1000056,,19
100057,9-2,53,2,volcano,mining,,美狄亚,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/volcano,1200,110000002,3600,110000002,120,1000057,,19
100058,9-3,53,3,volcano,field,,海格利斯,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/volcano,1200,110200044,3600,110200044,120,1000058,,19
100059,9-4,53,4,volcano,mining,,美杜莎,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/volcano,1200,110200045,14400,110200045,120,1000059,,19
100060,9-5,53,5,volcano,boss,,Saber,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/volcano,1200,300200045,3600,200200045,1200,1000060,1800,19
100061,10-1,10,1,temple,mining,,哈桑萨巴赫,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/temple,1200,110000001,3600,110000001,120,1000061,,17
100062,10-2,10,2,temple,city,,迪卢木多,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/temple,1200,110000002,3600,110000002,120,1000062,,17
100063,10-3,10,3,temple,field,,吉尔伽美什,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/temple,1200,110100049,3600,110100049,120,1000063,,17
100064,10-4,10,4,temple,field,,卫宫士郎,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/temple,1200,110100050,14400,110100050,120,1000064,,17
100065,10-5,10,5,temple,boss,,SaberLily,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/temple,1200,300100050,3600,200100050,1200,1000065,1800,17
100066,10-1,54,1,temple,mining,,哈桑萨巴赫,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/temple,1200,110000001,3600,110000001,120,1000066,,17
100067,10-2,54,2,temple,city,,迪卢木多,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/temple,1200,110000002,3600,110000002,120,1000067,,17
100068,10-3,54,3,temple,field,,吉尔伽美什,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/temple,1200,110200049,3600,110200049,120,1000068,,17
100069,10-4,54,4,temple,field,,卫宫士郎,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/temple,1200,110200050,14400,110200050,120,1000069,,17
100070,10-5,54,5,temple,boss,,SaberLily,15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,icon/maze/temple,1200,300200050,3600,200200050,1200,1000070,1800,17
100071,11-1,11,1,iceberg,mining,,亚瑟·戴恩,11000004|11000005|11000006|11000007|11000008,icon/maze/iceberg,1200,110000001,3600,110000001,120,1000071,,8
100072,11-2,11,2,iceberg,field,,卓戈卡奥,11000004|11000005|11000006|11000007|11000008,icon/maze/iceberg,1200,110000002,3600,110000002,120,1000072,,8
100073,11-3,11,3,iceberg,city,,丹妮莉丝,11000004|11000005|11000006|11000007|11000008,icon/maze/iceberg,1200,110100054,3600,110100054,120,1000073,,8
100074,11-4,11,4,iceberg,mining,,比尔博巴金斯,19000030,icon/maze/iceberg,1200,110100055,14400,110100055,120,1000074,,8
100075,11-5,11,5,iceberg,boss,,戒灵王,19000030,icon/maze/iceberg,1200,300100055,3600,200100055,1200,1000075,1800,8
100076,11-1,55,1,iceberg,mining,,亚瑟·戴恩,11000004|11000005|11000006|11000007|11000008,icon/maze/iceberg,1200,110000001,3600,110000001,120,1000076,,8
100077,11-2,55,2,iceberg,field,,卓戈卡奥,11000004|11000005|11000006|11000007|11000008,icon/maze/iceberg,1200,110000002,3600,110000002,120,1000077,,8
100078,11-3,55,3,iceberg,city,,丹妮莉丝,11000004|11000005|11000006|11000007|11000008,icon/maze/iceberg,1200,110200054,3600,110200054,120,1000078,,8
100079,11-4,55,4,iceberg,mining,,比尔博巴金斯,19000030,icon/maze/iceberg,1200,110200055,14400,110200055,120,1000079,,8
100080,11-5,55,5,iceberg,boss,,戒灵王,19000030,icon/maze/iceberg,1200,300200055,3600,200200055,1200,1000080,1800,8
100081,12-1,12,1,aircity,mining,,不起眼的青年,11000025|11000036,icon/maze/aircity,1200,110000001,3600,110000001,120,1000081,,1
100082,12-2,12,2,aircity,field,,京阶,11000025|11000036,icon/maze/aircity,1200,110000002,3600,110000002,120,1000082,,1
100083,12-3,12,3,aircity,city,,蕾见不二子,11000025|11000036,icon/maze/aircity,1200,110100059,3600,110100059,120,1000083,,1
100084,12-4,12,4,aircity,mining,,觉醒的薰,11000025|11000036,icon/maze/aircity,1200,110100060,14400,110100060,120,1000084,,1
100085,12-5,12,5,aircity,boss,,御坂美琴,11000025|11000036,icon/maze/aircity,1200,300100060,3600,200100060,1200,1000085,1800,1
100086,12-1,56,1,aircity,mining,,不起眼的青年,11000025|11000036,icon/maze/aircity,1200,110000001,3600,110000001,120,1000086,,1
100087,12-2,56,2,aircity,field,,京阶,11000025|11000036,icon/maze/aircity,1200,110000002,3600,110000002,120,1000087,,1
100088,12-3,56,3,aircity,city,,蕾见不二子,11000025|11000036,icon/maze/aircity,1200,110200059,3600,110200059,120,1000088,,1
100089,12-4,56,4,aircity,mining,,觉醒的薰,11000025|11000036,icon/maze/aircity,1200,110200060,14400,110200060,120,1000089,,1
100090,12-5,56,5,aircity,boss,,御坂美琴,11000025|11000036,icon/maze/aircity,1200,300200060,3600,200200060,1200,1000090,1800,1
100091,13-1,13,1,relic,field,,,16000009|17000023|13000011|13000012,icon/maze/relic,1200,110000001,3600,110000001,120,1000091,,15
100092,13-2,13,2,relic,mining,,,16000009|17000023|13000011|13000012,icon/maze/relic,1200,110000002,3600,110000002,120,1000092,,15
100093,13-3,13,3,relic,city,,,19000011|17000023|13000011|13000012,icon/maze/relic,1200,110100064,3600,110100064,120,1000093,,15
100094,13-4,13,4,relic,field,,,19000039|19000033|13000011|13000012,icon/maze/relic,1200,110100065,14400,110100065,120,1000094,,15
100095,13-5,13,5,relic,boss,,,19000039|19000033|13000011|13000012,icon/maze/relic,1200,300100065,3600,200100065,1200,1000095,,15
100096,13-1,57,1,relic,field,,,16000009|17000023|13000011|13000012,icon/maze/relic,1200,110000001,3600,110000001,120,1000096,,15
100097,13-2,57,2,relic,mining,,,16000009|17000023|13000011|13000012,icon/maze/relic,1200,110000002,3600,110000002,120,1000097,,15
100098,13-3,57,3,relic,city,,,19000011|17000023|13000011|13000012,icon/maze/relic,1200,110200064,3600,110200064,120,1000098,,15
100099,13-4,57,4,relic,field,,,19000039|19000033|13000011|13000012,icon/maze/relic,1200,110200065,14400,110200065,120,1000099,,15
100100,13-5,57,5,relic,boss,,,19000039|19000033|13000011|13000012,icon/maze/relic,1200,300200065,3600,200200065,1200,1000100,,15
100101,13-1,95,1,relic,field,,,16000009|17000023|13000011|13000012,icon/maze/relic,1200,110000001,3600,110000001,120,1000101,,15
100102,13-2,95,2,relic,mining,,,16000009|17000023|13000011|13000012,icon/maze/relic,1200,110000002,3600,110000002,120,1000102,,15
100103,13-3,95,3,relic,city,,,19000011|17000023|13000011|13000012,icon/maze/relic,1200,110300064,3600,110300064,120,1000103,,15
100104,13-4,95,4,relic,field,,,19000039|19000033|13000011|13000012,icon/maze/relic,1200,110300065,14400,110300065,120,1000104,,15
100105,13-5,95,5,relic,boss,,,19000039|19000033|13000011|13000012,icon/maze/relic,1200,300300065,3600,200300065,1200,1000105,,15
100106,14-1,14,1,fight,mining,,爵士凯,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110000001,3600,110000001,120,1000106,,6
100107,14-2,14,2,fight,field,,特里斯坦,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110000002,3600,110000002,120,1000107,,6
100108,14-3,14,3,fight,field,,高文,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110100069,3600,110100069,120,1000108,,6
100109,14-4,14,4,fight,mining,,兰斯洛特,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110100070,14400,110100070,120,1000109,,6
100110,14-5,14,5,fight,boss,,真·亚瑟,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,300100070,3600,200100070,1200,1000110,1800,6
100111,14-1,58,1,fight,mining,,爵士凯,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110000001,3600,110000001,120,1000111,,6
100112,14-2,58,2,fight,field,,特里斯坦,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110000002,3600,110000002,120,1000112,,6
100113,14-3,58,3,fight,field,,高文,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110200069,3600,110200069,120,1000113,,6
100114,14-4,58,4,fight,mining,,兰斯洛特,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110200070,14400,110200070,120,1000114,,6
100115,14-5,58,5,fight,boss,,真·亚瑟,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,300200070,3600,200200070,1200,1000115,1800,6
100116,14-1,96,1,fight,mining,,爵士凯,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110000001,3600,110000001,120,1000116,,6
100117,14-2,96,2,fight,field,,特里斯坦,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110000002,3600,110000002,120,1000117,,6
100118,14-3,96,3,fight,field,,高文,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110300069,3600,110300069,120,1000118,,6
100119,14-4,96,4,fight,mining,,兰斯洛特,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,110300070,14400,110300070,120,1000119,,6
100120,14-5,96,5,fight,boss,,真·亚瑟,17000010|18000007|11000001|18000005|11000003|18000006,icon/maze/fight,1200,300300070,3600,200300070,1200,1000120,1800,6
100121,15-1,15,1,ruins,field,,巨人,55000001,icon/maze/ruins,1200,110000001,3600,110000001,120,1000121,,11
100122,15-2,15,2,ruins,mining,,艾伦,55000001,icon/maze/ruins,1200,110000002,3600,110000002,120,1000122,,11
100123,15-3,15,3,ruins,mining,,三笠,55000001,icon/maze/ruins,1200,110100074,3600,110100074,120,1000123,,11
100124,15-4,15,4,ruins,field,,兵长利威尔,55000001,icon/maze/ruins,1200,110100075,14400,110100075,120,1000124,,11
100125,15-5,15,5,ruins,boss,,,55000001,icon/maze/ruins,1200,300100075,3600,200100075,1200,1000125,1800,11
100126,15-1,59,1,ruins,field,,巨人,55000001,icon/maze/ruins,1200,110000001,3600,110000001,120,1000126,,11
100127,15-2,59,2,ruins,mining,,艾伦,55000001,icon/maze/ruins,1200,110000002,3600,110000002,120,1000127,,11
100128,15-3,59,3,ruins,mining,,三笠,55000001,icon/maze/ruins,1200,110200074,3600,110200074,120,1000128,,11
100129,15-4,59,4,ruins,field,,兵长利威尔,55000001,icon/maze/ruins,1200,110200075,14400,110200075,120,1000129,,11
100130,15-5,59,5,ruins,boss,,,55000001,icon/maze/ruins,1200,300200075,3600,200200075,1200,1000130,1800,11
100131,15-1,97,1,ruins,field,,巨人,55000001,icon/maze/ruins,1200,110000001,3600,110000001,120,1000131,,11
100132,15-2,97,2,ruins,mining,,艾伦,55000001,icon/maze/ruins,1200,110000002,3600,110000002,120,1000132,,11
100133,15-3,97,3,ruins,mining,,三笠,55000001,icon/maze/ruins,1200,110300074,3600,110300074,120,1000133,,11
100134,15-4,97,4,ruins,field,,兵长利威尔,55000001,icon/maze/ruins,1200,110300075,14400,110300075,120,1000134,,11
100135,15-5,97,5,ruins,boss,,,55000001,icon/maze/ruins,1200,300300075,3600,200300075,1200,1000135,1800,11
100136,16-1,16,1,forest,field,,,12000005|12000006|12000007|12000008,icon/maze/forest,1200,110000001,3600,110000001,120,1000136,,7
100137,16-2,16,2,forest,mining,,,12000008,icon/maze/forest,1200,110000002,3600,110000002,120,1000137,,7
100138,16-3,16,3,forest,field,,,19000080|20000003|19000040|19000048|20000006,icon/maze/forest,1200,110100079,3600,110100079,120,1000138,,7
100139,16-4,16,4,forest,city,,,19000080|20000003|19000040|19000048|20000006,icon/maze/forest,1200,110100080,14400,110100080,120,1000139,,7
100140,16-5,16,5,forest,boss,,,19000080|20000003|19000040|19000048|20000006,icon/maze/forest,1200,300100080,3600,200100080,1200,1000140,,7
100141,16-1,60,1,forest,field,,,12000005|12000006|12000007|12000008,icon/maze/forest,1200,110000001,3600,110000001,120,1000141,,7
100142,16-2,60,2,forest,mining,,,12000008,icon/maze/forest,1200,110000002,3600,110000002,120,1000142,,7
100143,16-3,60,3,forest,field,,,19000080|20000003|19000040|19000048|20000006,icon/maze/forest,1200,110200079,3600,110200079,120,1000143,,7
100144,16-4,60,4,forest,city,,,19000080|20000003|19000040|19000048|20000006,icon/maze/forest,1200,110200080,14400,110200080,120,1000144,,7
100145,16-5,60,5,forest,boss,,,19000080|20000003|19000040|19000048|20000006,icon/maze/forest,1200,300200080,3600,200200080,1200,1000145,,7
100146,16-1,98,1,forest,field,,,12000005|12000006|12000007|12000008,icon/maze/forest,1200,110000001,3600,110000001,120,1000146,,7
100147,16-2,98,2,forest,mining,,,12000008,icon/maze/forest,1200,110000002,3600,110000002,120,1000147,,7
100148,16-3,98,3,forest,field,,,19000080|20000003|19000040|19000048|20000006,icon/maze/forest,1200,110300079,3600,110300079,120,1000148,,7
100149,16-4,98,4,forest,city,,,19000080|20000003|19000040|19000048|20000006,icon/maze/forest,1200,110300080,14400,110300080,120,1000149,,7
100150,16-5,98,5,forest,boss,,,19000080|20000003|19000040|19000048|20000006,icon/maze/forest,1200,300300080,3600,200300080,1200,1000150,,7
100151,17-1,17,1,mountain,field,,扫地僧,19000035|19000052|19000053,icon/maze/mountain,1200,110000001,3600,110000001,120,1000151,,9
100152,17-2,17,2,mountain,field,,夫子,19000035|19000052|19000053,icon/maze/mountain,1200,110000002,3600,110000002,120,1000152,,9
100153,17-3,17,3,mountain,mining,,老子,19000035|19000052|19000053,icon/maze/mountain,1200,110100084,3600,110100084,120,1000153,,9
100154,17-4,17,4,mountain,mining,,逗13,19000035|19000052|19000053,icon/maze/mountain,1200,110100085,14400,110100085,120,1000154,,9
100155,17-5,17,5,mountain,boss,,猴子,19000035|19000052|19000053,icon/maze/mountain,1200,300100085,3600,200100085,1200,1000155,1800,9
100156,17-1,61,1,mountain,field,,扫地僧,19000035|19000052|19000053,icon/maze/mountain,1200,110000001,3600,110000001,120,1000156,,9
100157,17-2,61,2,mountain,field,,夫子,19000035|19000052|19000053,icon/maze/mountain,1200,110000002,3600,110000002,120,1000157,,9
100158,17-3,61,3,mountain,mining,,老子,19000035|19000052|19000053,icon/maze/mountain,1200,110200084,3600,110200084,120,1000158,,9
100159,17-4,61,4,mountain,mining,,逗13,19000035|19000052|19000053,icon/maze/mountain,1200,110200085,14400,110200085,120,1000159,,9
100160,17-5,61,5,mountain,boss,,猴子,19000035|19000052|19000053,icon/maze/mountain,1200,300200085,3600,200200085,1200,1000160,1800,9
100161,17-1,99,1,mountain,field,,扫地僧,19000035|19000052|19000053,icon/maze/mountain,1200,110000001,3600,110000001,120,1000161,,9
100162,17-2,99,2,mountain,field,,夫子,19000035|19000052|19000053,icon/maze/mountain,1200,110000002,3600,110000002,120,1000162,,9
100163,17-3,99,3,mountain,mining,,老子,19000035|19000052|19000053,icon/maze/mountain,1200,110300084,3600,110300084,120,1000163,,9
100164,17-4,99,4,mountain,mining,,逗13,19000035|19000052|19000053,icon/maze/mountain,1200,110300085,14400,110300085,120,1000164,,9
100165,17-5,99,5,mountain,boss,,猴子,19000035|19000052|19000053,icon/maze/mountain,1200,300300085,3600,200300085,1200,1000165,1800,9
100166,18-1,18,1,aircity,mining,,,17000008|17000009|17000008|17000010,icon/maze/aircity,1200,110000001,3600,110000001,120,1000166,,1
100167,18-2,18,2,aircity,mining,,,17000008|17000009|17000008|17000010,icon/maze/aircity,1200,110000002,3600,110000002,120,1000167,,1
100168,18-3,18,3,aircity,field,,,17000008|17000009,icon/maze/aircity,1200,110100089,3600,110100089,120,1000168,,1
100169,18-4,18,4,aircity,city,,,17000008|17000009,icon/maze/aircity,1200,110100090,14400,110100090,120,1000169,,1
100170,18-5,18,5,aircity,boss,,,17000008|17000009|17000008|17000010,icon/maze/aircity,1200,300100090,3600,200100090,1200,1000170,,1
100171,18-1,62,1,aircity,mining,,,17000008|17000009|17000008|17000010,icon/maze/aircity,1200,110000001,3600,110000001,120,1000171,,1
100172,18-2,62,2,aircity,mining,,,17000008|17000009|17000008|17000010,icon/maze/aircity,1200,110000002,3600,110000002,120,1000172,,1
100173,18-3,62,3,aircity,field,,,17000008|17000009,icon/maze/aircity,1200,110200089,3600,110200089,120,1000173,,1
100174,18-4,62,4,aircity,city,,,17000008|17000009,icon/maze/aircity,1200,110200090,14400,110200090,120,1000174,,1
100175,18-5,62,5,aircity,boss,,,17000008|17000009|17000008|17000010,icon/maze/aircity,1200,300200090,3600,200200090,1200,1000175,,1
100176,18-1,100,1,aircity,mining,,,17000008|17000009|17000008|17000010,icon/maze/aircity,1200,110000001,3600,110000001,120,1000176,,1
100177,18-2,100,2,aircity,mining,,,17000008|17000009|17000008|17000010,icon/maze/aircity,1200,110000002,3600,110000002,120,1000177,,1
100178,18-3,100,3,aircity,field,,,17000008|17000009,icon/maze/aircity,1200,110300089,3600,110300089,120,1000178,,1
100179,18-4,100,4,aircity,city,,,17000008|17000009,icon/maze/aircity,1200,110300090,14400,110300090,120,1000179,,1
100180,18-5,100,5,aircity,boss,,,17000008|17000009|17000008|17000010,icon/maze/aircity,1200,300300090,3600,200300090,1200,1000180,,1
100181,19-1,19,1,cave,mining,,三师弟,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110000001,3600,110000001,120,1000181,,3
100182,19-2,19,2,cave,field,,唐三,13000001|13000001|13000002|13000002|13000005|13000005,icon/maze/cave,1200,110000002,3600,110000002,120,1000182,,3
