ID,佣兵ID,宝具等级,消耗资源,消耗个数,战力提升,先攻提升,防御提升,闪避提升,王者提升
130,19000013,10,57,47,,2,1,0,0
131,19000014,1,57,3,5,,,,
132,19000014,2,57,4,5,,,,
133,19000014,3,57,6,5,,,,
134,19000014,4,57,9,5,,,,
135,19000014,5,57,13,,1,1,0,0
136,19000014,6,57,18,5,,,,
137,19000014,7,57,24,5,,,,
138,19000014,8,57,31,5,,,,
139,19000014,9,57,39,5,,,,
140,19000014,10,57,47,,1,1,1,0
141,19000015,1,57,3,5,,,,
142,19000015,2,57,4,5,,,,
143,19000015,3,57,6,5,,,,
144,19000015,4,57,9,5,,,,
145,19000015,5,57,13,,0,1,0,1
146,19000015,6,57,18,5,,,,
147,19000015,7,57,24,5,,,,
148,19000015,8,57,31,5,,,,
149,19000015,9,57,39,5,,,,
150,19000015,10,57,47,,1,2,0,0
151,19000016,1,57,3,5,,,,
152,19000016,2,57,4,5,,,,
153,19000016,3,57,6,5,,,,
154,19000016,4,57,9,5,,,,
155,19000016,5,57,13,,1,1,0,0
156,19000016,6,57,18,5,,,,
157,19000016,7,57,24,5,,,,
158,19000016,8,57,31,5,,,,
159,19000016,9,57,39,5,,,,
160,19000016,10,57,47,,1,1,1,0
161,19000017,1,57,3,5,,,,
162,19000017,2,57,4,5,,,,
163,19000017,3,57,6,5,,,,
164,19000017,4,57,9,5,,,,
165,19000017,5,57,13,,0,0,1,1
166,19000017,6,57,18,5,,,,
167,19000017,7,57,24,5,,,,
168,19000017,8,57,31,5,,,,
169,19000017,9,57,39,5,,,,
170,19000017,10,57,47,,0,1,2,0
171,19000018,1,57,3,5,,,,
172,19000018,2,57,4,5,,,,
173,19000018,3,57,6,5,,,,
174,19000018,4,57,9,5,,,,
175,19000018,5,57,13,,0,0,1,1
176,19000018,6,57,18,5,,,,
177,19000018,7,57,24,5,,,,
178,19000018,8,57,31,5,,,,
179,19000018,9,57,39,5,,,,
180,19000018,10,57,47,,0,1,2,0
181,19000019,1,57,3,5,,,,
182,19000019,2,57,4,5,,,,
183,19000019,3,57,6,5,,,,
184,19000019,4,57,9,5,,,,
185,19000019,5,57,13,,1,0,0,1
186,19000019,6,57,18,5,,,,
187,19000019,7,57,24,5,,,,
188,19000019,8,57,31,5,,,,
189,19000019,9,57,39,5,,,,
190,19000019,10,57,47,,2,1,0,0
191,19000020,1,57,3,5,,,,
192,19000020,2,57,4,5,,,,
193,19000020,3,57,6,5,,,,
194,19000020,4,57,9,5,,,,
195,19000020,5,57,13,,0,1,0,1
196,19000020,6,57,18,5,,,,
197,19000020,7,57,24,5,,,,
198,19000020,8,57,31,5,,,,
199,19000020,9,57,39,5,,,,
200,19000020,10,57,47,,1,2,0,0
201,19000021,1,57,3,5,,,,
202,19000021,2,57,4,5,,,,
203,19000021,3,57,6,5,,,,
204,19000021,4,57,9,5,,,,
205,19000021,5,57,13,,1,1,0,0
206,19000021,6,57,18,5,,,,
207,19000021,7,57,24,5,,,,
208,19000021,8,57,31,5,,,,
209,19000021,9,57,39,5,,,,
210,19000021,10,57,47,,1,1,1,0
211,19000022,1,57,3,5,,,,
212,19000022,2,57,4,5,,,,
213,19000022,3,57,6,5,,,,
214,19000022,4,57,9,5,,,,
215,19000022,5,57,13,,1,0,0,1
216,19000022,6,57,18,5,,,,
217,19000022,7,57,24,5,,,,
218,19000022,8,57,31,5,,,,
219,19000022,9,57,39,5,,,,
220,19000022,10,57,47,,2,1,1,0
221,19000023,1,57,3,5,,,,
222,19000023,2,57,4,5,,,,
223,19000023,3,57,6,5,,,,
224,19000023,4,57,9,5,,,,
225,19000023,5,57,13,,1,1,1,0
226,19000023,6,57,18,5,,,,
227,19000023,7,57,24,5,,,,
228,19000023,8,57,31,5,,,,
229,19000023,9,57,39,5,,,,
230,19000023,10,57,47,,1,1,0,1
231,19000024,1,57,3,5,,,,
232,19000024,2,57,4,5,,,,
233,19000024,3,57,6,5,,,,
234,19000024,4,57,9,5,,,,
235,19000024,5,57,13,,0,0,1,1
236,19000024,6,57,18,5,,,,
237,19000024,7,57,24,5,,,,
238,19000024,8,57,31,5,,,,
239,19000024,9,57,39,5,,,,
240,19000024,10,57,47,,0,1,2,0
241,19000025,1,57,3,5,,,,
242,19000025,2,57,4,5,,,,
243,19000025,3,57,6,5,,,,
244,19000025,4,57,9,5,,,,
245,19000025,5,57,13,,1,1,0,0
246,19000025,6,57,18,5,,,,
247,19000025,7,57,24,5,,,,
248,19000025,8,57,31,5,,,,
249,19000025,9,57,39,5,,,,
250,19000025,10,57,47,,1,1,1,0
251,19000026,1,57,3,5,,,,
252,19000026,2,57,4,5,,,,
253,19000026,3,57,6,5,,,,
254,19000026,4,57,9,5,,,,
255,19000026,5,57,13,,1,0,0,1
256,19000026,6,57,18,5,,,,
257,19000026,7,57,24,5,,,,
258,19000026,8,57,31,5,,,,
259,19000026,9,57,39,5,,,,
260,19000026,10,57,47,,2,1,1,0
261,19000027,1,57,3,5,,,,
262,19000027,2,57,4,5,,,,
263,19000027,3,57,6,5,,,,
264,19000027,4,57,9,5,,,,
265,19000027,5,57,13,,1,0,0,1
266,19000027,6,57,18,5,,,,
267,19000027,7,57,24,5,,,,
268,19000027,8,57,31,5,,,,
269,19000027,9,57,39,5,,,,
270,19000027,10,57,47,,2,1,1,0
271,19000028,1,57,3,5,,,,
272,19000028,2,57,4,5,,,,
273,19000028,3,57,6,5,,,,
274,19000028,4,57,9,5,,,,
275,19000028,5,57,13,,0,1,0,1
276,19000028,6,57,18,5,,,,
277,19000028,7,57,24,5,,,,
278,19000028,8,57,31,5,,,,
279,19000028,9,57,39,5,,,,
280,19000028,10,57,47,,1,2,0,0
281,19000029,1,57,3,5,,,,
282,19000029,2,57,4,5,,,,
283,19000029,3,57,6,5,,,,
284,19000029,4,57,9,5,,,,
285,19000029,5,57,13,,0,1,0,1
286,19000029,6,57,18,5,,,,
287,19000029,7,57,24,5,,,,
288,19000029,8,57,31,5,,,,
289,19000029,9,57,39,5,,,,
290,19000029,10,57,47,,1,2,0,0
291,19000030,1,57,3,5,,,,
292,19000030,2,57,4,5,,,,
293,19000030,3,57,6,5,,,,
294,19000030,4,57,9,5,,,,
295,19000030,5,57,13,,0,1,0,1
296,19000030,6,57,18,5,,,,
297,19000030,7,57,24,5,,,,
298,19000030,8,57,31,5,,,,
299,19000030,9,57,39,5,,,,
300,19000030,10,57,47,,1,2,0,0
301,19000031,1,57,3,5,,,,
302,19000031,2,57,4,5,,,,
303,19000031,3,57,6,5,,,,
304,19000031,4,57,9,5,,,,
305,19000031,5,57,13,,0,1,0,1
306,19000031,6,57,18,5,,,,
307,19000031,7,57,24,5,,,,
308,19000031,8,57,31,5,,,,
309,19000031,9,57,39,5,,,,
310,19000031,10,57,47,,2,1,1,0
311,19000032,1,57,3,5,,,,
312,19000032,2,57,4,5,,,,
313,19000032,3,57,6,5,,,,
314,19000032,4,57,9,5,,,,
315,19000032,5,57,13,,1,0,0,1
316,19000032,6,57,18,5,,,,
317,19000032,7,57,24,5,,,,
318,19000032,8,57,31,5,,,,
319,19000032,9,57,39,5,,,,
320,19000032,10,57,47,,2,1,1,0
321,19000033,1,57,3,5,,,,
322,19000033,2,57,4,5,,,,
323,19000033,3,57,6,5,,,,
324,19000033,4,57,9,5,,,,
325,19000033,5,57,13,,0,0,1,1
326,19000033,6,57,18,5,,,,
327,19000033,7,57,24,5,,,,
328,19000033,8,57,31,5,,,,
329,19000033,9,57,39,5,,,,
330,19000033,10,57,47,,0,1,2,0
331,19000034,1,57,3,5,,,,
332,19000034,2,57,4,5,,,,
333,19000034,3,57,6,5,,,,
334,19000034,4,57,9,5,,,,
335,19000034,5,57,13,,0,1,0,1
336,19000034,6,57,18,5,,,,
337,19000034,7,57,24,5,,,,
338,19000034,8,57,31,5,,,,
339,19000034,9,57,39,5,,,,
340,19000034,10,57,47,,2,1,1,0
341,19000035,1,57,3,5,,,,
342,19000035,2,57,4,5,,,,
343,19000035,3,57,6,5,,,,
344,19000035,4,57,9,5,,,,
345,19000035,5,57,13,,0,1,0,1
346,19000035,6,57,18,5,,,,
347,19000035,7,57,24,5,,,,
348,19000035,8,57,31,5,,,,
349,19000035,9,57,39,5,,,,
350,19000035,10,57,47,,1,2,0,0
351,19000036,1,57,3,5,,,,
352,19000036,2,57,4,5,,,,
353,19000036,3,57,6,5,,,,
354,19000036,4,57,9,5,,,,
355,19000036,5,57,13,,1,0,0,1
356,19000036,6,57,18,5,,,,
357,19000036,7,57,24,5,,,,
358,19000036,8,57,31,5,,,,
359,19000036,9,57,39,5,,,,
360,19000036,10,57,47,,2,1,0,0
361,19000037,1,57,3,5,,,,
362,19000037,2,57,4,5,,,,
363,19000037,3,57,6,5,,,,
364,19000037,4,57,9,5,,,,
365,19000037,5,57,13,,0,0,1,1
366,19000037,6,57,18,5,,,,
367,19000037,7,57,24,5,,,,
368,19000037,8,57,31,5,,,,
369,19000037,9,57,39,5,,,,
370,19000037,10,57,47,,0,1,2,0
371,19000038,1,57,3,5,,,,
372,19000038,2,57,4,5,,,,
373,19000038,3,57,6,5,,,,
374,19000038,4,57,9,5,,,,
375,19000038,5,57,13,,0,0,1,1
376,19000038,6,57,18,5,,,,
377,19000038,7,57,24,5,,,,
378,19000038,8,57,31,5,,,,
379,19000038,9,57,39,5,,,,
380,19000038,10,57,47,,2,1,1,0
381,19000039,1,57,3,5,,,,
382,19000039,2,57,4,5,,,,
383,19000039,3,57,6,5,,,,
384,19000039,4,57,9,5,,,,
385,19000039,5,57,13,,0,1,0,1
386,19000039,6,57,18,5,,,,
387,19000039,7,57,24,5,,,,
388,19000039,8,57,31,5,,,,
389,19000039,9,57,39,5,,,,
390,19000039,10,57,47,,1,2,0,0
391,19000040,1,57,3,5,,,,
392,19000040,2,57,4,5,,,,
393,19000040,3,57,6,5,,,,
394,19000040,4,57,9,5,,,,
395,19000040,5,57,13,,1,0,0,1
396,19000040,6,57,18,5,,,,
397,19000040,7,57,24,5,,,,
398,19000040,8,57,31,5,,,,
399,19000040,9,57,39,5,,,,
400,19000040,10,57,47,,2,1,1,0
401,19000041,1,57,3,5,,,,
402,19000041,2,57,4,5,,,,
403,19000041,3,57,6,5,,,,
404,19000041,4,57,9,5,,,,
405,19000041,5,57,13,,1,1,1,0
406,19000041,6,57,18,5,,,,
407,19000041,7,57,24,5,,,,
408,19000041,8,57,31,5,,,,
409,19000041,9,57,39,5,,,,
410,19000041,10,57,47,,1,1,0,1
411,19000042,1,57,3,5,,,,
412,19000042,2,57,4,5,,,,
413,19000042,3,57,6,5,,,,
414,19000042,4,57,9,5,,,,
415,19000042,5,57,13,,1,0,0,1
416,19000042,6,57,18,5,,,,
417,19000042,7,57,24,5,,,,
418,19000042,8,57,31,5,,,,
419,19000042,9,57,39,5,,,,
420,19000042,10,57,47,,2,1,0,0
421,19000043,1,57,3,5,,,,
422,19000043,2,57,4,5,,,,
423,19000043,3,57,6,5,,,,
424,19000043,4,57,9,5,,,,
425,19000043,5,57,13,,0,1,0,1
426,19000043,6,57,18,5,,,,
427,19000043,7,57,24,5,,,,
428,19000043,8,57,31,5,,,,
429,19000043,9,57,39,5,,,,
430,19000043,10,57,47,,0,3,1,0
431,19000044,1,57,3,5,,,,
432,19000044,2,57,4,5,,,,
433,19000044,3,57,6,5,,,,
434,19000044,4,57,9,5,,,,
435,19000044,5,57,13,,1,1,1,0
436,19000044,6,57,18,5,,,,
437,19000044,7,57,24,5,,,,
438,19000044,8,57,31,5,,,,
439,19000044,9,57,39,5,,,,
440,19000044,10,57,47,,1,1,0,1
441,19000045,1,57,3,5,,,,
442,19000045,2,57,4,5,,,,
443,19000045,3,57,6,5,,,,
444,19000045,4,57,9,5,,,,
445,19000045,5,57,13,,0,0,1,1
446,19000045,6,57,18,5,,,,
447,19000045,7,57,24,5,,,,
448,19000045,8,57,31,5,,,,
449,19000045,9,57,39,5,,,,
450,19000045,10,57,47,,0,1,2,0
451,19000046,1,57,3,5,,,,
452,19000046,2,57,4,5,,,,
453,19000046,3,57,6,5,,,,
454,19000046,4,57,9,5,,,,
455,19000046,5,57,13,,0,0,1,1
456,19000046,6,57,18,5,,,,
457,19000046,7,57,24,5,,,,
458,19000046,8,57,31,5,,,,
459,19000046,9,57,39,5,,,,
460,19000046,10,57,47,,2,1,1,0
461,19000047,1,57,3,5,,,,
462,19000047,2,57,4,5,,,,
463,19000047,3,57,6,5,,,,
464,19000047,4,57,9,5,,,,
465,19000047,5,57,13,,0,1,0,1
466,19000047,6,57,18,5,,,,
467,19000047,7,57,24,5,,,,
468,19000047,8,57,31,5,,,,
469,19000047,9,57,39,5,,,,
470,19000047,10,57,47,,1,2,0,0
471,19000048,1,57,3,5,,,,
472,19000048,2,57,4,5,,,,
473,19000048,3,57,6,5,,,,
474,19000048,4,57,9,5,,,,
475,19000048,5,57,13,,0,1,0,1
476,19000048,6,57,18,5,,,,
477,19000048,7,57,24,5,,,,
478,19000048,8,57,31,5,,,,
479,19000048,9,57,39,5,,,,
480,19000048,10,57,47,,2,1,1,0
481,19000049,1,57,3,5,,,,
482,19000049,2,57,4,5,,,,
483,19000049,3,57,6,5,,,,
484,19000049,4,57,9,5,,,,
485,19000049,5,57,13,,1,1,0,0
486,19000049,6,57,18,5,,,,
487,19000049,7,57,24,5,,,,
488,19000049,8,57,31,5,,,,
489,19000049,9,57,39,5,,,,
490,19000049,10,57,47,,1,1,1,0
491,19000050,1,57,3,5,,,,
492,19000050,2,57,4,5,,,,
493,19000050,3,57,6,5,,,,
494,19000050,4,57,9,5,,,,
495,19000050,5,57,13,,1,1,0,0
496,19000050,6,57,18,5,,,,
497,19000050,7,57,24,5,,,,
498,19000050,8,57,31,5,,,,
499,19000050,9,57,39,5,,,,
500,19000050,10,57,47,,1,1,1,0
501,19000051,1,57,3,5,,,,
502,19000051,2,57,4,5,,,,
503,19000051,3,57,6,5,,,,
504,19000051,4,57,9,5,,,,
505,19000051,5,57,13,,1,0,0,1
506,19000051,6,57,18,5,,,,
507,19000051,7,57,24,5,,,,
508,19000051,8,57,31,5,,,,
509,19000051,9,57,39,5,,,,
510,19000051,10,57,47,,2,1,0,0
511,19000052,1,57,3,5,,,,
512,19000052,2,57,4,5,,,,
513,19000052,3,57,6,5,,,,
514,19000052,4,57,9,5,,,,
515,19000052,5,57,13,,0,1,0,1
516,19000052,6,57,18,5,,,,
517,19000052,7,57,24,5,,,,
518,19000052,8,57,31,5,,,,
519,19000052,9,57,39,5,,,,
520,19000052,10,57,47,,2,1,1,0
521,19000053,1,57,3,5,,,,
522,19000053,2,57,4,5,,,,
523,19000053,3,57,6,5,,,,
524,19000053,4,57,9,5,,,,
525,19000053,5,57,13,,0,1,0,1
526,19000053,6,57,18,5,,,,
527,19000053,7,57,24,5,,,,
528,19000053,8,57,31,5,,,,
529,19000053,9,57,39,5,,,,
530,19000053,10,57,47,,2,1,1,0
531,19000054,1,57,3,5,,,,
532,19000054,2,57,4,5,,,,
533,19000054,3,57,6,5,,,,
534,19000054,4,57,9,5,,,,
535,19000054,5,57,13,,1,1,0,0
536,19000054,6,57,18,5,,,,
537,19000054,7,57,24,5,,,,
538,19000054,8,57,31,5,,,,
539,19000054,9,57,39,5,,,,
540,19000054,10,57,47,,1,1,1,0
541,19000055,1,57,3,5,,,,
542,19000055,2,57,4,5,,,,
543,19000055,3,57,6,5,,,,
544,19000055,4,57,9,5,,,,
545,19000055,5,57,13,,0,1,0,1
546,19000055,6,57,18,5,,,,
547,19000055,7,57,24,5,,,,
548,19000055,8,57,31,5,,,,
549,19000055,9,57,39,5,,,,
550,19000055,10,57,47,,1,2,0,0
551,19000056,1,57,3,5,,,,
552,19000056,2,57,4,5,,,,
553,19000056,3,57,6,5,,,,
554,19000056,4,57,9,5,,,,
555,19000056,5,57,13,,0,1,0,1
556,19000056,6,57,18,5,,,,
557,19000056,7,57,24,5,,,,
558,19000056,8,57,31,5,,,,
559,19000056,9,57,39,5,,,,
560,19000056,10,57,47,,2,1,1,0
561,19000057,1,57,3,5,,,,
562,19000057,2,57,4,5,,,,
563,19000057,3,57,6,5,,,,
564,19000057,4,57,9,5,,,,
565,19000057,5,57,13,,0,1,0,1
566,19000057,6,57,18,5,,,,
567,19000057,7,57,24,5,,,,
568,19000057,8,57,31,5,,,,
569,19000057,9,57,39,5,,,,
570,19000057,10,57,47,,1,2,0,0
571,19000058,1,57,3,5,,,,
572,19000058,2,57,4,5,,,,
573,19000058,3,57,6,5,,,,
574,19000058,4,57,9,5,,,,
575,19000058,5,57,13,,1,1,0,0
576,19000058,6,57,18,5,,,,
577,19000058,7,57,24,5,,,,
578,19000058,8,57,31,5,,,,
579,19000058,9,57,39,5,,,,
580,19000058,10,57,47,,1,1,1,0
581,19000059,1,57,3,5,,,,
582,19000059,2,57,4,5,,,,
583,19000059,3,57,6,5,,,,
584,19000059,4,57,9,5,,,,
585,19000059,5,57,13,,1,0,0,1
586,19000059,6,57,18,5,,,,
587,19000059,7,57,24,5,,,,
588,19000059,8,57,31,5,,,,
589,19000059,9,57,39,5,,,,
590,19000059,10,57,47,,4,0,0,0
591,19000060,1,57,3,5,,,,
592,19000060,2,57,4,5,,,,
593,19000060,3,57,6,5,,,,
594,19000060,4,57,9,5,,,,
595,19000060,5,57,13,,1,1,1,0
596,19000060,6,57,18,5,,,,
597,19000060,7,57,24,5,,,,
598,19000060,8,57,31,5,,,,
599,19000060,9,57,39,5,,,,
600,19000060,10,57,47,,1,1,0,1
601,19000061,1,57,3,5,,,,
602,19000061,2,57,4,5,,,,
603,19000061,3,57,6,5,,,,
604,19000061,4,57,9,5,,,,
605,19000061,5,57,13,,0,1,0,1
606,19000061,6,57,18,5,,,,
607,19000061,7,57,24,5,,,,
608,19000061,8,57,31,5,,,,
609,19000061,9,57,39,5,,,,
610,19000061,10,57,47,,1,2,0,0
611,19000062,1,57,3,5,,,,
612,19000062,2,57,4,5,,,,
613,19000062,3,57,6,5,,,,
614,19000062,4,57,9,5,,,,
615,19000062,5,57,13,,1,0,0,1
616,19000062,6,57,18,5,,,,
617,19000062,7,57,24,5,,,,
618,19000062,8,57,31,5,,,,
619,19000062,9,57,39,5,,,,
620,19000062,10,57,47,,2,1,1,0
621,19000063,1,57,3,5,,,,
622,19000063,2,57,4,5,,,,
623,19000063,3,57,6,5,,,,
624,19000063,4,57,9,5,,,,
625,19000063,5,57,13,,1,1,0,0
626,19000063,6,57,18,5,,,,
627,19000063,7,57,24,5,,,,
628,19000063,8,57,31,5,,,,
629,19000063,9,57,39,5,,,,
630,19000063,10,57,47,,1,1,1,0
631,19000064,1,57,3,5,,,,
632,19000064,2,57,4,5,,,,
633,19000064,3,57,6,5,,,,
634,19000064,4,57,9,5,,,,
635,19000064,5,57,13,,0,0,1,1
636,19000064,6,57,18,5,,,,
637,19000064,7,57,24,5,,,,
638,19000064,8,57,31,5,,,,
639,19000064,9,57,39,5,,,,
640,19000064,10,57,47,,2,1,1,0
641,19000065,1,57,3,5,,,,
642,19000065,2,57,4,5,,,,
643,19000065,3,57,6,5,,,,
644,19000065,4,57,9,5,,,,
645,19000065,5,57,13,,1,0,0,1
646,19000065,6,57,18,5,,,,
647,19000065,7,57,24,5,,,,
648,19000065,8,57,31,5,,,,
649,19000065,9,57,39,5,,,,
650,19000065,10,57,47,,2,1,1,0
651,19000066,1,57,3,5,,,,
652,19000066,2,57,4,5,,,,
653,19000066,3,57,6,5,,,,
654,19000066,4,57,9,5,,,,
655,19000066,5,57,13,,1,1,0,0
656,19000066,6,57,18,5,,,,
657,19000066,7,57,24,5,,,,
658,19000066,8,57,31,5,,,,
659,19000066,9,57,39,5,,,,
660,19000066,10,57,47,,1,1,1,0
661,19000067,1,57,3,5,,,,
662,19000067,2,57,4,5,,,,
663,19000067,3,57,6,5,,,,
664,19000067,4,57,9,5,,,,
665,19000067,5,57,13,,1,0,0,1
666,19000067,6,57,18,5,,,,
667,19000067,7,57,24,5,,,,
668,19000067,8,57,31,5,,,,
669,19000067,9,57,39,5,,,,
670,19000067,10,57,47,,2,1,0,0
671,19000068,1,57,3,5,,,,
672,19000068,2,57,4,5,,,,
673,19000068,3,57,6,5,,,,
674,19000068,4,57,9,5,,,,
675,19000068,5,57,13,,1,0,0,1
676,19000068,6,57,18,5,,,,
677,19000068,7,57,24,5,,,,
678,19000068,8,57,31,5,,,,
679,19000068,9,57,39,5,,,,
680,19000068,10,57,47,,2,1,1,0
681,19000069,1,57,3,5,,,,
682,19000069,2,57,4,5,,,,
683,19000069,3,57,6,5,,,,
684,19000069,4,57,9,5,,,,
685,19000069,5,57,13,,1,1,0,0
686,19000069,6,57,18,5,,,,
687,19000069,7,57,24,5,,,,
688,19000069,8,57,31,5,,,,
689,19000069,9,57,39,5,,,,
690,19000069,10,57,47,,1,1,1,0
691,19000070,1,57,3,5,,,,
692,19000070,2,57,4,5,,,,
693,19000070,3,57,6,5,,,,
694,19000070,4,57,9,5,,,,
695,19000070,5,57,13,,1,1,0,0
696,19000070,6,57,18,5,,,,
697,19000070,7,57,24,5,,,,
698,19000070,8,57,31,5,,,,
699,19000070,9,57,39,5,,,,
700,19000070,10,57,47,,1,1,1,0
701,19000071,1,57,3,5,,,,
702,19000071,2,57,4,5,,,,
703,19000071,3,57,6,5,,,,
704,19000071,4,57,9,5,,,,
705,19000071,5,57,13,,1,1,0,0
706,19000071,6,57,18,5,,,,
707,19000071,7,57,24,5,,,,
708,19000071,8,57,31,5,,,,
709,19000071,9,57,39,5,,,,
710,19000071,10,57,47,,1,1,1,0
711,19000072,1,57,3,5,,,,
712,19000072,2,57,4,5,,,,
713,19000072,3,57,6,5,,,,
714,19000072,4,57,9,5,,,,
715,19000072,5,57,13,,0,0,1,1
716,19000072,6,57,18,5,,,,
717,19000072,7,57,24,5,,,,
718,19000072,8,57,31,5,,,,
719,19000072,9,57,39,5,,,,
720,19000072,10,57,47,,2,1,1,0
721,19000073,1,57,3,5,,,,
722,19000073,2,57,4,5,,,,
723,19000073,3,57,6,5,,,,
724,19000073,4,57,9,5,,,,
725,19000073,5,57,13,,1,1,1,0
726,19000073,6,57,18,5,,,,
727,19000073,7,57,24,5,,,,
728,19000073,8,57,31,5,,,,
729,19000073,9,57,39,5,,,,
730,19000073,10,57,47,,1,1,0,1
731,19000074,1,57,3,5,,,,
732,19000074,2,57,4,5,,,,
733,19000074,3,57,6,5,,,,
734,19000074,4,57,9,5,,,,
735,19000074,5,57,13,,1,1,1,0
736,19000074,6,57,18,5,,,,
737,19000074,7,57,24,5,,,,
738,19000074,8,57,31,5,,,,
739,19000074,9,57,39,5,,,,
740,19000074,10,57,47,,1,1,0,1
741,19000075,1,57,3,5,,,,
742,19000075,2,57,4,5,,,,
743,19000075,3,57,6,5,,,,
