ID,祈祷转化参数,炼金转化参数,灵魂碎片,灵魂碎片,灵魂碎片
258,2896,2896,80,160,400
259,2908,2908,80,160,400
260,2920,2920,80,160,400
261,2932,2932,80,160,400
262,2944,2944,80,160,400
263,2956,2956,80,160,400
264,2968,2968,80,160,400
265,2980,2980,80,160,400
266,2992,2992,80,160,400
267,3004,3004,80,160,400
268,3016,3016,80,160,400
269,3028,3028,80,160,400
270,3040,3040,80,160,400
271,3052,3052,80,160,400
272,3064,3064,80,160,400
273,3076,3076,80,160,400
274,3088,3088,80,160,400
275,3100,3100,80,160,400
276,3112,3112,80,160,400
277,3124,3124,80,160,400
278,3136,3136,80,160,400
279,3148,3148,80,160,400
280,3160,3160,80,160,400
281,3172,3172,80,160,400
282,3184,3184,80,160,400
283,3196,3196,80,160,400
284,3208,3208,80,160,400
285,3220,3220,80,160,400
286,3232,3232,80,160,400
287,3244,3244,80,160,400
288,3256,3256,80,160,400
289,3268,3268,80,160,400
290,3280,3280,80,160,400
291,3292,3292,80,160,400
292,3304,3304,80,160,400
293,3316,3316,80,160,400
294,3328,3328,80,160,400
295,3340,3340,80,160,400
296,3352,3352,80,160,400
297,3364,3364,80,160,400
298,3376,3376,80,160,400
299,3388,3388,80,160,400
300,3400,3400,80,160,400
301,3412,3412,90,180,450
302,3424,3424,90,180,450
303,3436,3436,90,180,450
304,3448,3448,90,180,450
305,3460,3460,90,180,450
306,3472,3472,90,180,450
307,3484,3484,90,180,450
308,3496,3496,90,180,450
309,3508,3508,90,180,450
310,3520,3520,90,180,450
311,3532,3532,90,180,450
312,3544,3544,90,180,450
313,3556,3556,90,180,450
314,3568,3568,90,180,450
315,3580,3580,90,180,450
316,3592,3592,90,180,450
317,3604,3604,90,180,450
318,3616,3616,90,180,450
319,3628,3628,90,180,450
320,3640,3640,90,180,450
321,3652,3652,90,180,450
322,3664,3664,90,180,450
323,3676,3676,90,180,450
324,3688,3688,90,180,450
325,3700,3700,90,180,450
326,3712,3712,90,180,450
327,3724,3724,90,180,450
328,3736,3736,90,180,450
329,3748,3748,90,180,450
330,3760,3760,90,180,450
331,3772,3772,90,180,450
332,3784,3784,90,180,450
333,3796,3796,90,180,450
334,3808,3808,90,180,450
335,3820,3820,90,180,450
336,3832,3832,90,180,450
337,3844,3844,90,180,450
338,3856,3856,90,180,450
339,3868,3868,90,180,450
340,3880,3880,90,180,450
341,3892,3892,90,180,450
342,3904,3904,90,180,450
343,3916,3916,90,180,450
344,3928,3928,90,180,450
345,3940,3940,90,180,450
346,3952,3952,90,180,450
347,3964,3964,90,180,450
348,3976,3976,90,180,450
349,3988,3988,90,180,450
350,4000,4000,90,180,450
351,4012,4012,90,180,450
352,4024,4024,90,180,450
353,4036,4036,90,180,450
354,4048,4048,90,180,450
355,4060,4060,90,180,450
356,4072,4072,90,180,450
357,4084,4084,90,180,450
358,4096,4096,90,180,450
359,4108,4108,90,180,450
360,4120,4120,90,180,450
361,4132,4132,90,180,450
362,4144,4144,90,180,450
363,4156,4156,90,180,450
364,4168,4168,90,180,450
365,4180,4180,90,180,450
366,4192,4192,100,200,500
367,4204,4204,100,200,500
368,4216,4216,100,200,500
369,4228,4228,100,200,500
370,4240,4240,100,200,500
371,4252,4252,100,200,500
372,4264,4264,100,200,500
373,4276,4276,100,200,500
374,4288,4288,100,200,500
375,4300,4300,100,200,500
376,4312,4312,100,200,500
377,4324,4324,100,200,500
378,4336,4336,100,200,500
379,4348,4348,100,200,500
380,4360,4360,100,200,500
381,4372,4372,100,200,500
382,4384,4384,100,200,500
383,4396,4396,100,200,500
384,4408,4408,100,200,500
385,4420,4420,100,200,500
386,4432,4432,100,200,500
387,4444,4444,100,200,500
388,4456,4456,100,200,500
389,4468,4468,100,200,500
390,4480,4480,100,200,500
391,4492,4492,100,200,500
392,4504,4504,100,200,500
393,4516,4516,100,200,500
394,4528,4528,100,200,500
395,4540,4540,100,200,500
396,4552,4552,100,200,500
397,4564,4564,100,200,500
398,4576,4576,100,200,500
399,4588,4588,100,200,500
400,4600,4600,100,200,500
401,4612,4612,100,200,500
402,4624,4624,100,200,500
403,4636,4636,100,200,500
404,4648,4648,100,200,500
405,4660,4660,100,200,500
406,4672,4672,100,200,500
407,4684,4684,100,200,500
408,4696,4696,100,200,500
409,4708,4708,100,200,500
410,4720,4720,100,200,500
411,4732,4732,100,200,500
412,4744,4744,100,200,500
413,4756,4756,100,200,500
414,4768,4768,100,200,500
415,4780,4780,100,200,500
416,4792,4792,100,200,500
417,4804,4804,100,200,500
418,4816,4816,100,200,500
419,4828,4828,100,200,500
420,4840,4840,100,200,500
421,4852,4852,100,200,500
422,4864,4864,100,200,500
423,4876,4876,100,200,500
424,4888,4888,100,200,500
425,4900,4900,100,200,500
426,4912,4912,100,200,500
427,4924,4924,100,200,500
428,4936,4936,100,200,500
429,4948,4948,100,200,500
430,4960,4960,100,200,500
431,4972,4972,100,200,500
432,4984,4984,100,200,500
433,4996,4996,100,200,500
434,5008,5008,100,200,500
435,5020,5020,100,200,500
436,5032,5032,100,200,500
437,5044,5044,100,200,500
438,5056,5056,100,200,500
439,5068,5068,100,200,500
440,5080,5080,100,200,500
441,5092,5092,100,200,500
442,5104,5104,100,200,500
443,5116,5116,100,200,500
444,5128,5128,100,200,500
445,5140,5140,100,200,500
446,5152,5152,100,200,500
447,5164,5164,100,200,500
448,5176,5176,100,200,500
449,5188,5188,100,200,500
450,5200,5200,100,200,500
451,5212,5212,100,200,500
452,5224,5224,100,200,500
453,5236,5236,100,200,500
454,5248,5248,100,200,500
455,5260,5260,100,200,500
456,5272,5272,100,200,500
457,5284,5284,100,200,500
458,5296,5296,100,200,500
459,5308,5308,100,200,500
460,5320,5320,100,200,500
461,5332,5332,100,200,500
462,5344,5344,100,200,500
463,5356,5356,100,200,500
464,5368,5368,100,200,500
465,5380,5380,100,200,500
466,5392,5392,100,200,500
467,5404,5404,100,200,500
468,5416,5416,100,200,500
469,5428,5428,100,200,500
470,5440,5440,100,200,500
471,5452,5452,100,200,500
472,5464,5464,100,200,500
473,5476,5476,100,200,500
474,5488,5488,100,200,500
475,5500,5500,100,200,500
476,5512,5512,100,200,500
477,5524,5524,100,200,500
478,5536,5536,100,200,500
479,5548,5548,100,200,500
480,5560,5560,100,200,500
481,5572,5572,100,200,500
482,5584,5584,100,200,500
483,5596,5596,100,200,500
484,5608,5608,100,200,500
485,5620,5620,100,200,500
486,5632,5632,100,200,500
487,5644,5644,100,200,500
488,5656,5656,100,200,500
489,5668,5668,100,200,500
490,5680,5680,100,200,500
491,5692,5692,100,200,500
492,5704,5704,100,200,500
493,5716,5716,100,200,500
494,5728,5728,100,200,500
495,5740,5740,100,200,500
496,5752,5752,100,200,500
497,5764,5764,100,200,500
498,5776,5776,100,200,500
499,5788,5788,100,200,500
500,5800,5800,100,200,500
501,5812,5812,100,200,500
502,5824,5824,100,200,500
503,5836,5836,100,200,500
504,5848,5848,100,200,500
505,5860,5860,100,200,500
506,5872,5872,100,200,500
507,5884,5884,100,200,500
508,5896,5896,100,200,500
509,5908,5908,100,200,500
510,5920,5920,100,200,500
511,5932,5932,100,200,500
512,5944,5944,100,200,500
513,5956,5956,100,200,500
514,5968,5968,100,200,500
515,5980,5980,100,200,500
516,5992,5992,100,200,500
517,6004,6004,100,200,500
518,6016,6016,100,200,500
519,6028,6028,100,200,500
520,6040,6040,100,200,500
521,6052,6052,100,200,500
522,6064,6064,100,200,500
523,6076,6076,100,200,500
524,6088,6088,100,200,500
525,6100,6100,100,200,500
526,6112,6112,100,200,500
527,6124,6124,100,200,500
528,6136,6136,100,200,500
529,6148,6148,100,200,500
530,6160,6160,100,200,500
531,6172,6172,100,200,500
532,6184,6184,100,200,500
533,6196,6196,100,200,500
534,6208,6208,100,200,500
535,6220,6220,100,200,500
536,6232,6232,100,200,500
537,6244,6244,100,200,500
538,6256,6256,100,200,500
539,6268,6268,100,200,500
540,6280,6280,100,200,500
541,6292,6292,100,200,500
542,6304,6304,100,200,500
543,6316,6316,100,200,500
544,6328,6328,100,200,500
545,6340,6340,100,200,500
546,6352,6352,100,200,500
547,6364,6364,100,200,500
548,6376,6376,100,200,500
549,6388,6388,100,200,500
550,6400,6400,100,200,500
551,6412,6412,100,200,500
552,6424,6424,100,200,500
553,6436,6436,100,200,500
554,6448,6448,100,200,500
555,6460,6460,100,200,500
556,6472,6472,100,200,500
557,6484,6484,100,200,500
558,6496,6496,100,200,500
559,6508,6508,100,200,500
560,6520,6520,100,200,500
561,6532,6532,100,200,500
562,6544,6544,100,200,500
563,6556,6556,100,200,500
564,6568,6568,100,200,500
565,6580,6580,100,200,500
566,6592,6592,100,200,500
567,6604,6604,100,200,500
568,6616,6616,100,200,500
569,6628,6628,100,200,500
570,6640,6640,100,200,500
571,6652,6652,100,200,500
572,6664,6664,100,200,500
573,6676,6676,100,200,500
574,6688,6688,100,200,500
575,6700,6700,100,200,500
576,6712,6712,100,200,500
577,6724,6724,100,200,500
578,6736,6736,100,200,500
579,6748,6748,100,200,500
580,6760,6760,100,200,500
581,6772,6772,100,200,500
582,6784,6784,100,200,500
583,6796,6796,100,200,500
584,6808,6808,100,200,500
585,6820,6820,100,200,500
586,6832,6832,100,200,500
587,6844,6844,100,200,500
588,6856,6856,100,200,500
589,6868,6868,100,200,500
590,6880,6880,100,200,500
591,6892,6892,100,200,500
592,6904,6904,100,200,500
593,6916,6916,100,200,500
594,6928,6928,100,200,500
595,6940,6940,100,200,500
596,6952,6952,100,200,500
597,6964,6964,100,200,500
598,6976,6976,100,200,500
599,6988,6988,100,200,500
600,7000,7000,100,200,500
601,7012,7012,100,200,500
602,7024,7024,100,200,500
603,7036,7036,100,200,500
604,7048,7048,100,200,500
605,7060,7060,100,200,500
606,7072,7072,100,200,500
607,7084,7084,100,200,500
608,7096,7096,100,200,500
609,7108,7108,100,200,500
610,7120,7120,100,200,500
611,7132,7132,100,200,500
612,7144,7144,100,200,500
613,7156,7156,100,200,500
614,7168,7168,100,200,500
615,7180,7180,100,200,500
616,7192,7192,100,200,500
617,7204,7204,100,200,500
618,7216,7216,100,200,500
619,7228,7228,100,200,500
620,7240,7240,100,200,500
621,7252,7252,100,200,500
622,7264,7264,100,200,500
623,7276,7276,100,200,500
624,7288,7288,100,200,500
625,7300,7300,100,200,500
626,7312,7312,100,200,500
627,7324,7324,100,200,500
628,7336,7336,100,200,500
629,7348,7348,100,200,500
630,7360,7360,100,200,500
631,7372,7372,100,200,500
632,7384,7384,100,200,500
633,7396,7396,100,200,500
634,7408,7408,100,200,500
635,7420,7420,100,200,500
636,7432,7432,100,200,500
637,7444,7444,100,200,500
638,7456,7456,100,200,500
639,7468,7468,100,200,500
640,7480,7480,100,200,500
641,7492,7492,100,200,500
642,7504,7504,100,200,500
643,7516,7516,100,200,500
644,7528,7528,100,200,500
645,7540,7540,100,200,500
646,7552,7552,100,200,500
647,7564,7564,100,200,500
648,7576,7576,100,200,500
649,7588,7588,100,200,500
650,7600,7600,100,200,500
651,7612,7612,100,200,500
652,7624,7624,100,200,500
653,7636,7636,100,200,500
654,7648,7648,100,200,500
655,7660,7660,100,200,500
656,7672,7672,100,200,500
657,7684,7684,100,200,500
658,7696,7696,100,200,500
659,7708,7708,100,200,500
660,7720,7720,100,200,500
661,7732,7732,100,200,500
662,7744,7744,100,200,500
663,7756,7756,100,200,500
664,7768,7768,100,200,500
665,7780,7780,100,200,500
666,7792,7792,100,200,500
667,7804,7804,100,200,500
668,7816,7816,100,200,500
669,7828,7828,100,200,500
670,7840,7840,100,200,500
671,7852,7852,100,200,500
672,7864,7864,100,200,500
673,7876,7876,100,200,500
674,7888,7888,100,200,500
675,7900,7900,100,200,500
676,7912,7912,100,200,500
677,7924,7924,100,200,500
678,7936,7936,100,200,500
679,7948,7948,100,200,500
680,7960,7960,100,200,500
681,7972,7972,100,200,500
682,7984,7984,100,200,500
683,7996,7996,100,200,500
684,8008,8008,100,200,500
685,8020,8020,100,200,500
686,8032,8032,100,200,500
687,8044,8044,100,200,500
688,8056,8056,100,200,500
689,8068,8068,100,200,500
690,8080,8080,100,200,500
691,8092,8092,100,200,500
692,8104,8104,100,200,500
693,8116,8116,100,200,500
694,8128,8128,100,200,500
695,8140,8140,100,200,500
696,8152,8152,100,200,500
697,8164,8164,100,200,500
698,8176,8176,100,200,500
699,8188,8188,100,200,500
700,8200,8200,100,200,500
701,8212,8212,100,200,500
702,8224,8224,100,200,500
703,8236,8236,100,200,500
704,8248,8248,100,200,500
705,8260,8260,100,200,500
706,8272,8272,100,200,500
707,8284,8284,100,200,500
708,8296,8296,100,200,500
709,8308,8308,100,200,500
710,8320,8320,100,200,500
711,8332,8332,100,200,500
712,8344,8344,100,200,500
713,8356,8356,100,200,500
714,8368,8368,100,200,500
715,8380,8380,100,200,500
716,8392,8392,100,200,500
717,8404,8404,100,200,500
718,8416,8416,100,200,500
719,8428,8428,100,200,500
720,8440,8440,100,200,500
721,8452,8452,100,200,500
722,8464,8464,100,200,500
723,8476,8476,100,200,500
724,8488,8488,100,200,500
725,8500,8500,100,200,500
726,8512,8512,100,200,500
727,8524,8524,100,200,500
728,8536,8536,100,200,500
729,8548,8548,100,200,500
730,8560,8560,100,200,500
731,8572,8572,100,200,500
732,8584,8584,100,200,500
