ID,技能名,描述,战斗回合高于X时,战斗回合低于X时,己方战力高于X%时,己方战力低于X%时,敌方战力高于X%时,敌方战力低于X%时,上回合是否击中（1击中2未命中3敌方命中4敌方未命中）,敌我血量高低判断（1.我方高于敌方2.我方低于敌方3我方等于敌方）,Y发动概率,次数限制,技能效果,Z参数,参数2,命中生效,己方四维变化,敌方四维变化,修改回合数,虚弱,无法闪避,无视防御,封印技能效果,封印回合,封印x概率以上,封印x概率以下,动画id,增加四维先攻,增加四维防御,增加四维闪避,增加四维王者
1100025,大乱舞（弃用）,合体技,,,,,,,,,5,1,2,160,,,,,,,1,,,,,,186,0,0,0,0
1100026,分裂激光,怪物技能,,,,,,,,,40,15,2,160,,,,,,,1,,,,,,150,0,0,0,0
1100027,核爆,怪物技能,10,,,,,,,,100,1,2,1000,,,,,,,1,,,,,,63,0,0,0,0
1100028,永恒虚无,怪物技能,,,,,,,,,20,1,2,150,,,,,,,1,,,,,,180,0,0,0,0
1100029,英勇的隐藏者,2%概率造成暴击，暴击时造成185%的伤害且对方无法闪避。闪避等级提高5。,,,,,,,,,2,15,2,185,,,,,,,1,,,,,,133,0,0,0,0
1100030,箭幕齐射,2%概率造成暴击，暴击时造成400%的伤害且对方无法闪避。,,,,,,,,,2,1,2,400,,,,,,,1,,,,,,134,0,0,0,0
1100031,时间停止,1%概率造成暴击，暴击时造成195%的伤害且对方无法闪避。,,,,,,,,,1,1,2,195,,,,,,,1,,,,,,108,0,0,0,0
1100032,闪烁之光,5%概率造成暴击，暴击时造成200%的伤害且对方无法闪避。,,,,,,,,,5,15,2,200,,,,,,,1,,,,,,123,0,0,0,0
1100033,世界大战,合体技,10,,,,,,,,30,15,2,350,,,,,,,1,,,,,,76,0,0,0,0
1100034,真·世界大战,合体技,13,,,,,,,,100,1,2,550,,,,,,,1,,,,,,77,0,0,0,0
1100035,普通突击,怪物技能,,,,,,,,,100,99,3,900,,,,,,,,,,,,,142,0,0,0,0
1100036,大地逆流,怪物技能,,,,,,,,,50,15,2,2500,,,,,,,1,,,,,,143,0,0,0,0
1100037,时间突袭,怪物技能,,,,,,,,,100,2,2,330,,,,,,,1,,,,,,123,0,0,0,0
1100038,灭世之刃,怪物技能,,,,,,,,,90,99,2,300,,,,,,,1,,,,,,136,0,0,0,0
1100039,石中剑,5%概率造成暴击，暴击时造成220%的伤害且对方无法闪避。,,,,,,,,,5,15,2,220,,,,,,,1,,,,,,6,0,0,0,0
1100040,后颈肉猛击（弃用）,用力砍击敌人的后颈，造成巨大伤害。17%概率造成暴击，暴击时造成155%的伤害且对方无法闪避。,,,,,,,,,17,15,2,155,,,,,,,1,,,,,,186,0,0,0,0
1100041,紧箍咒,这个技能对敌人似乎没有什么效果……,,,,,,,,,0,111,2,100,,,,,,,1,,,,,,186,0,0,0,0
1100042,紫青剑气,3%概率造成暴击，暴击时造成240%的伤害且对方无法闪避。,,,,,,,,,3,15,2,240,,,,,,,1,,,,,,53,0,0,0,0
1100043,刀狩令（弃用）,敌方战力低于75%时，3%概率造成暴击，暴击时造成230%的伤害且对方无法闪避。此攻击击中敌人时，敌人的下一次攻击只会造成1点伤害。,,,,,,75,,,3,15,2,230,,1,,,,1,1,,,,,,96,0,0,0,0
1100044,电磁炮,2%概率造成暴击，暴击时造成444%的伤害且对方无法闪避。先攻等级提高12,,,,,,,,,2,1,2,444,,,,,,,1,,,,,,98,0,0,0,0
1100045,真·大神无双,17%概率造成暴击，暴击时造成175%的伤害且对方无法闪避。王者等级提高10。,,,,,,,,,17,15,2,175,,,,,,,1,,,,,,153,0,0,0,0
1100046,龙破斩,当己方战力低于80%时，7%概率造成暴击，暴击时造成170%的伤害且对方无法闪避。你每拥有25先攻等级增加1王者等级，至多增加6。,,,,80,,,,,7,15,2,170,,,,,,,1,,,,,,123,0,0,0,0
1100047,爪牙之击,4%概率造成暴击，暴击时造成200%的伤害且对方无法闪避。,,,,,,,,,4,15,2,200,,,,,,,1,,,,,,158,0,0,0,0
1100048,灼热焚烧,怪物技能,,,,,,,,,60,25,2,150,,,,,,,1,,,,,,192,0,0,0,0
1100049,风暴碎裂击,怪物技能,,,,,,,,,60,25,2,150,,,,,,,1,,,,,,169,0,0,0,0
1100050,葵花三连,8%概率造成暴击，暴击时造成160%的伤害且对方无法闪避。若上回合击中敌人，则造成200%的伤害。,2,,,,,,2,,8,15,2,160,,,,,,,1,,,,,,135,0,0,0,0
1100051,葵花三连X,,2,,,,,,1,,8,15,2,200,,,,,,,1,,,,,,135,0,0,0,0
1100052,巨石轰爆,100%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,100,15,2,150,,,,,,,1,,,,,,123,0,0,0,0
1100053,巨龙震动,怪物技能,2,,,,,,4,,50,20,2,170,,,,,,,1,,,,,,136,0,0,0,0
1100054,拂晓神剑,5%概率造成暴击，暴击时造成190%的伤害且对方无法闪避。先攻等级提高6。,,,,,,,,,5,15,2,190,,,,,,,1,,,,,,65,0,0,0,0
1100055,大神无双,10%概率造成暴击，暴击时造成160%的伤害且对方无法闪避。,,,,,,,,,10,15,2,160,,,,,,,1,,,,,,153,0,0,0,0
1100056,破胆怒啸,敌方战力低于65%时，3%概率造成暴击，暴击时造成200%的伤害且对方无法闪避。,,,,,,65,,,3,15,2,200,,,,,,,1,,,,,,153,0,0,0,0
1100057,冲破银河,4%概率造成暴击，暴击时造成220%的伤害且对方无法闪避。,,,,,,,,,4,15,2,220,,,,,,,1,,,,,,6,0,0,0,0
1100058,少年强则国强,10%概率造成暴击，暴击时造成155%的伤害且对方无法闪避。,,,,,,,,,10,15,2,155,,,,,,,1,,,,,,65,0,0,0,0
1100059,亩产一千八,战斗回合低于6回时，5%概率造成暴击，暴击时造成350%的伤害且对方无法闪避。,,6,,,,,,,5,1,2,350,,,,,,,1,,,,,,6,0,0,0,0
1100060,不流失不浪费,10%概率造成暴击，暴击时造成180%的伤害且对方无法闪避。,,,,,,,,,10,4,2,180,,,,,,,1,,,,,,136,0,0,0,0
1100061,金坷垃,4%概率造成暴击，暴击时造成210%的伤害且对方无法闪避。先攻等级提高3，王者等级提高1。,,,,,,,,,4,15,2,210,,,,,,,1,,,,,,6,0,0,0,0
1100062,三千世界,3%概率造成暴击，暴击时造成180%的伤害且对方无法闪避。先攻等级提高3。,,,,,,,,,3,15,2,180,,,,,,,1,,,,,,136,0,0,0,0
1100063,合法抢劫,3%概率造成暴击，暴击时造成300%的伤害且对方无法闪避。先攻等级提高8。,,,,,,,,,3,1,2,300,,,,,,,1,,,,,,98,0,0,0,0
1100064,夺命尖刺,50%概率造成暴击，暴击时造成175%的伤害且对方无法闪避。,,,,,,,,,50,30,2,175,,,,,,,1,,,,,,192,0,0,0,0
1100065,火焰龙车,若上回合未击中敌人，100%概率造成暴击，暴击时造成300%的伤害且对方无法闪避。,2,,,,,,2,,100,5,2,300,,,,,,,1,,,,,,22,0,0,0,0
1100066,决斗,若上一回合未被敌方击中，100%概率造成暴击，暴击时造成400%的伤害且对方无法闪避。（该技能无法被封印）,2,,,,,,4,,110,5,2,400,,,,,,,1,,,,,,22,0,0,0,0
1100067,神武血刃斩,15%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,15,6,2,150,,,,,,,1,,,,,,123,0,0,0,0
1100068,虎手龙卷,6%概率造成暴击，暴击时造成230%的伤害且对方无法闪避。,,,,,,,,,6,6,2,230,,,,,,,1,,,,,,64,0,0,0,0
1100069,火稚,7%概率造成暴击，暴击时造成200%的伤害且对方无法闪避。,,,,,,,,,7,10,2,200,,,,,,,1,,,,,,22,0,0,0,0
1100070,无式,,,,,20,,,,,1,1,2,360,,,,,,,1,,,,,,22,0,0,0,0
1100071,炒菜,4%概率造成暴击，暴击时造成250%的伤害且对方无法闪避。,,,,,,,,,4,10,2,250,,,,,,,1,,,,,,136,0,0,0,0
1100072,千纸鹤,8%概率造成暴击，暴击时造成190%的伤害且对方无法闪避。,,,,,,,,,8,10,2,190,,,,,,,1,,,,,,98,0,0,0,0
1100073,真.炒菜,4%概率造成暴击，暴击时造成260%的伤害且对方无法闪避。己方战力低于5%时，15%概率触发梦月，造成一次500%的暴击伤害且对方无法闪避。,,,5,,,,,,4,10,2,260,,,,,,,1,,,,,,65,0,0,0,0
1100074,梦月,,,,,5,,,,,15,2,2,500,,,,,,,1,,,,,,153,0,0,0,0
1100075,永夜,3%概率造成暴击，暴击时造成350%的伤害且对方无法闪避。己方战力低于15%时，10%概率触发白天，造成一次600%的暴击伤害且对方无法闪避。先攻等级提高8。,,,15,,,,,,3,5,2,350,,,,,,,1,,,,,,153,0,0,0,0
1100076,白天,,,,,15,,,,,10,1,2,600,,,,,,,1,,,,,,6,0,0,0,0
1100077,三神器,己方战力低于30%时，3%概率造成暴击，暴击时造成300%的伤害且对方无法闪避。,,,,30,,,,,3,3,2,300,,,,,,,1,,,,,,65,0,0,0,0
1100078,魅族之光,3%概率造成暴击，暴击时造成240%的伤害且对方无法闪避。,,,,,,,,,3,15,2,240,,,,,,,1,,,,,,22,0,0,0,0
1100079,夜色突袭,12%概率造成暴击，暴击时造成160%的伤害且对方无法闪避。先攻等级提高6。,,,,,,,,,12,15,2,160,,,,,,,1,,,,,,6,0,0,0,0
1100080,皮蛋光波,1%概率造成暴击，暴击时造成550%的伤害且对方无法闪避。,,,,,,,,,1,1,2,550,,,,,,,1,,,,,,64,0,0,0,0
1100081,熊孩子,4%概率造成暴击，暴击时造成100%的伤害且对方无法闪避。此攻击击中敌人时，敌人的下一次攻击只会造成1点伤害，并且敌人发动概率低于10%的技能被封印1回合。,,,,,,,,,4,1,2,100,,1,,,,1,1,,,1,,10,123,0,0,0,0
1100082,吃蜜饯,己方战力高于50%时，10%概率造成暴击，暴击时造成190%的伤害且对方无法闪避。己方战力低于50%时，2%概率造成暴击，暴击时造成400%的伤害且对方无法闪避。,,,50,,,,,,10,4,2,190,,,,,,,1,,,,,,153,0,0,0,0
1100083,吃蜜饯.怒,,,,,50,,,,,2,4,2,400,,,,,,,1,,,,,,153,0,0,0,0
1100084,认真一拳,若上一回合未被敌方击中，5%概率造成暴击，暴击时造成400%的伤害且对方无法闪避。王者等级提高4。,1,,,,,,4,,5,15,2,400,,,,,,,1,,,,,,98,0,0,0,0
1100085,火烧炮,战斗回合低于7回时，3%概率发动，在攻击后恢复35%的总战力。战斗回合高于6回时，5%概率造成暴击，暴击时造成220%的伤害且对方无法闪避。王者等级提高2。,6,,,,,,,,5,15,2,220,,,,,,,1,,,,,,65,0,0,0,0
1100086,振翅,战斗回合低于4回时，15%概率造成暴击，暴击时造成170%的伤害且对方无法闪避。战斗回合高于3回时，15%概率造成103%的伤害。,,4,,,,,,,15,4,2,170,,,,,,,1,,,,,,22,0,0,0,0
1100087,自然之力,2%概率造成暴击，暴击时造成300%的伤害且对方无法闪避。先攻等级提高8点，王者等级提高2点。,,,,,,,,,2,15,2,300,,,,,,,1,,,,,,22,0,0,0,0
1100088,托马斯回旋,3%概率造成暴击，暴击时造成240%的伤害且对方无法闪避。每命中敌方一次，敌方闪避等级减少3。,,,,,,,,,3,15,2,240,,1,,0|0|-3|0,,,1,,,,,,22,0,0,0,0
1100089,暴力扣篮,5%概率造成暴击，暴击时造成200%的伤害且对方无法闪避。,,,,,,,,,5,15,2,200,,,,,,,1,,,,,,22,0,0,0,0
1100090,冷静射击,8%概率造成暴击，暴击时造成200%的伤害且对方无法闪避。,,,,,,,,,8,15,2,200,,,,,,,1,,,,,,65,0,0,0,0
1100091,燃烧箭簇,战斗回合低于4回时，5%概率造成暴击，暴击时造成250%的伤害且对方无法闪避，此攻击击中敌人时，敌人的下一次攻击只会造成1点伤害。,,4,,,,,,,5,15,2,250,,1,,,,1,1,,,,,,123,0,0,0,0
1100092,Moon Power,8%概率造成暴击，暴击时造成200%的伤害且对方无法闪避。,,,,,,,,,8,15,2,200,,,,,,,1,,,,,,65,0,0,0,0
1100093,万物归环,5%概率造成暴击，暴击时造成300%的伤害且对方无法闪避。击中敌人时，发动概率高于14%低于21%的技能被封印1回合。先攻等级提高10。,,,,,,,,,5,1,2,300,,1,,,,,1,,,1,14,21,123,0,0,0,0
1100094,屠龙.暴,己方战力高于10%时，3%概率触发一次150%伤害的纯粹攻击。己方战力低于10%时，5%概率造成暴击，暴击时造成400%的伤害且对方无法闪避。王者等级提高5。,,,,10,,,,,5,1,2,400,,,,,,,1,,,,,,6,0,0,0,0
1100095,冠军法国,4%概率造成暴击，暴击时造成30%或300%的伤害且对方无法闪避。,,,,,,,,,2,2,2,300,,,,,,,1,,,,,,64,0,0,0,0
1100096,小组法国,,,,,,,,,,2,2,2,30,,,,,,,1,,,,,,64,0,0,0,0
1100097,电梯球,6%概率造成暴击，暴击时造成250%的伤害且对方无法闪避。先攻等级提高6。,,,,,,,,,6,5,2,250,,,,,,,1,,,,,,98,0,0,0,0
1100098,破魔之箭,2%概率造成暴击，暴击时造成50%的伤害且对方无法闪避，同时该攻击无视防御。先攻等级提高10。（该技能受先攻加成）,,,,,,,,,2,1,2,50,,,,,,,1,1,,,,,153,0,0,0,0
1100099,光影交错,若上回合未击中敌人，5%概率造成暴击，暴击时造成333%的伤害且对方无法闪避。,2,,,,,,2,,5,5,2,333,,,,,,,1,,,,,,22,0,0,0,0
1100100,鬼之狂暴,若上一回合被敌方击中，12%概率造成暴击，暴击时造成220%的伤害且对方无法闪避。先攻等级提高10。,1,,,,,,3,,12,15,2,220,,,,,,,1,,,,,,98,0,0,0,0
1100101,黄金剧场.暴,,,,,20,,,,,3,1,2,420,,,,,,,1,,,,,,153,0,0,0,0
1100102,爽朗笑容,我方战力低于敌方战力并且回合数小于3时，10%概率造成暴击，暴击时造成300%的伤害且对方无法闪避。先攻等级提高10。,,3,,,,,,2,10,5,2,300,,,,,,,1,,,,,,64,0,0,0,0
1100103,无我,己方战力高于20%，10%概率造成暴击，暴击时造成200%的伤害且对方无法闪避。己方战力低于20%时，1%概率触发一次200%伤害的纯粹攻击。先攻等级提高10。,,,20,,,,,,10,6,2,200,,,,,,,1,,,,,,65,0,0,0,0
1100104,决战之时,战斗回合低于3回时，15%概率造成暴击，暴击时造成250%伤害且对方无法闪避，命中提高己方先攻等级40点。先攻等级提高8。,,3,,,,,,,15,1,2,250,,,40|0|0|0,,,,1,,,,,,22,0,0,0,0
1100105,王的宝库,己方血量高于25%时，1%概率造成5%暴击伤害，无视防御，命中后虚弱对方一回合；己方血量低于25%时，10%概率造成450%暴击伤害。先攻等级提高9。,,,25,,,,,,1,1,2,5,,1,,,,1,1,1,,,,,153,0,0,0,0
1100106,王的宝库,己方血量高于25%时，1%概率造成5%暴击伤害，无视防御，命中后虚弱对方一回合；己方血量低于25%时，10%概率造成450%暴击伤害。先攻等级提高9。,,,,25,,,,,10,1,2,450,,,,,,,1,,,,,,98,0,0,0,0
1100107,审判之剑,敌方血量高于50%时，13%概率造成140%纯粹伤害，并吸取本次伤害70%的战力，命中后封印概率高于14的技能一回合；己方血量低于40%时，8%概率造成300%的暴击伤害，命中后虚弱对方一回合。,,,,40,,,,,8,2,2,300,,1,,,,1,1,,,,,,22,0,0,0,0
1100108,无名之力,战斗回合低于9时，8%概率暴击，暴击造成200%伤害且无法闪避，命中敌人后王者等级提高10。,,9,,,,,,,8,5,2,200,,1,0|0|0|10,,,,1,,,,,,153,0,0,0,0
1100109,羽翼突袭,8%概率造成暴击，暴击时造成175%的伤害且对方无法闪避。王者等级提高4。,,,,,,,,,8,5,2,175,,,,,,,1,,,,,,98,0,0,0,0
1100110,南瓜爆破,5%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,5,5,2,150,,,,,,,1,,,,,,22,0,0,0,0
1100111,无限圣剑,回合数小于5的时候，8%概率造成200%暴击伤害，命中后封印纯粹技能一回合；回合数大于4的时候，12%概率造成150%暴击伤害。王者等级提高4.,,5,,,,,,,8,2,2,200,,1,,,,,1,,13,1,,,22,0,0,0,0
1100112,无限圣剑,回合数小于5的时候，8%概率造成200%暴击伤害，命中后封印纯粹技能一回合；回合数大于4的时候，12%概率造成150%暴击伤害。王者等级提高4.,4,,,,,,,,12,10,2,150,,,,,,,1,,,,,,98,0,0,0,0
1100113,欢乐祭典,回合数小于5，2%概率造成300%暴击伤害，命中后封印敌方技能1回合（部分怪物技能无法封印）。先攻等级提高10。,,5,,,,,,,2,1,2,300,,1,,,,,1,,,1,,101,65,0,0,0,0
1100114,吃我一矛,上回合击中敌方且敌方血量低于50%，10%概率发动一次250%的暴击伤害。先攻等级提高5。,,,,,,50,1,,10,2,2,250,,,,,,,1,,,,,,22,0,0,0,0
1100115,妖刀红缨,回合数小于5，6%概率造成150%暴击伤害。击中时，敌人下次攻击仅造成1点伤害，且敌人技能被封印1回合。先攻等级提高16。,,5,,,,,,,6,1,2,150,,1,,,,1,1,,,1,,101,22,0,0,0,0
1100116,致命残影,回合数小于3的时候，2%概率造成500%暴击伤害；回合数大于3的时候，5%概率造成300%暴击伤害。先攻等级提高10。,,3,,,,,,,2,1,2,500,,,,,,,1,,,,,,22,0,0,0,0
1100117,怪力格斗,敌方血量高于150%时，10%概率造成350%暴击伤害，命中后先攻等级提高40点。先攻等级提高10点。,,,,,150,,,,10,1,2,350,,1,40|0|0|0,,,,1,,,,,,22,0,0,0,0
1100118,致命残影,回合数小于3的时候，2%概率造成500%暴击伤害；回合数大于3的时候，5%概率造成300%暴击伤害。先攻等级提高10。,3,,,,,,,,5,6,2,300,,,,,,,1,,,,,,98,0,0,0,0
1100119,草莓日升,己方血量低于10%时，8%概率造成80%暴击伤害，命中后虚弱并封印对方一回合。先攻等级提高10。,,,,10,,,,,8,1,2,80,,1,,,,1,1,,,1,,101,153,0,0,0,0
1100120,极·恩赐圣剑,敌方战力低于40%时，35%概率造成暴击，暴击时造成250%的伤害且对方无法闪避。,,,,,,40,,,35,15,2,250,,,,,,,1,,,,,,32,0,0,0,0
1100121,无光之击·改,20%概率造成暴击，暴击时造成150%的伤害且对方无法闪避，先攻等级提高6。,,,,,,,,,20,15,2,150,,,,,,,1,,,,,,4,6,0,0,0
1100122,真·无光之击,20%概率造成暴击，暴击时造成155%的伤害且对方无法闪避，先攻等级提高9。,,,,,,,,,20,15,2,155,,,,,,,1,,,,,,4,9,0,0,0
1100123,极·无光之击,20%概率造成暴击，暴击时造成160%的伤害且对方无法闪避，先攻等级提高12。,,,,,,,,,20,15,2,160,,,,,,,1,,,,,,4,12,0,0,0
1100124,恩赐圣剑·改,敌方战力低于40%时，35%概率造成暴击，暴击时造成180%的伤害且对方无法闪避。,,,,,,40,,,35,15,2,180,,,,,,,1,,,,,,32,0,0,0,0
1100125,真·恩赐圣剑,敌方战力低于40%时，35%概率造成暴击，暴击时造成200%的伤害且对方无法闪避。,,,,,,40,,,35,15,2,200,,,,,,,1,,,,,,32,0,0,0,0
1100126,大阪之阵,战斗回合低于3回时，5%概率造成暴击，暴击时造成10%伤害且对方无法闪避，此攻击击中敌人时，敌人的下两次攻击只会造成1点伤害。先攻等级提高12。,,3,,,,,,,5,1,2,10,,1,,,,2,1,,,,,,98,0,0,0,0
1100127,极·灭世一刀斩,6%概率造成暴击，暴击时造成300%的伤害且对方无法闪避，先攻等级提高4，王者等级提高3。,,,,,,,,,6,15,2,300,,,,,,,1,,,,,,43,4,0,0,3
1100128,爆裂魔法,先攻等级提高10。10%概率造成暴击，暴击时造成200%的伤害且对方无法闪避，命中后己方先攻等级提高30，王者等级提高5，封印敌人根据己方总血量进行回复类技能一回合。,,,,,,,,,10,15,2,200,,1,30|0|0|5,,,,1,,10,1,,,153,0,0,0,0
1100129,过年,10%概率造成暴击，暴击时造成200%的伤害且对方无法闪避，1%概率造成暴击，暴击时造成550%的伤害且对方无法闪避。先攻等级提高12。,,,,,,,,,10,15,2,200,,,,,,,1,,,,,,98,0,0,0,0
1100130,过大年,,,,,,,,,,1,1,2,550,,,,,,,1,,,,,,98,0,0,0,0
1100131,天堂紫光,回合为1，10%概率发动“神圣之箭”，不可闪避，攻击后敌方回复敌方当前50%战力，敌方下次攻击造成1点伤害，封印所有技能，敌方防御等级下降100。回合大于1，3%概率造成420%暴击伤害。先攻等级提高14。,1,,,,,,,,3,1,2,420,,,,,,,1,,,,,,32,14,0,0,0
1100132,血刺,6%概率造成暴击，暴击时造成320%伤害且对方无法闪避。回合数低于5，5%概率触发一次性技能“精准定位”，造成10%纯粹伤害，命中后己方先攻提高40，封印敌方所有技能，敌人下次攻击仅造成1点伤害。,,,,,,,,,6,5,2,320,,,,,,,1,,,,,,153,0,0,0,0
1100133,高速移动,8%概率造成暴击，暴击时造成280%的伤害且对方无法闪避。1%概率发动技能“黑灵丸”造成暴击，暴击时造成480%的伤害且对方无法闪避（只发动一次）。先攻等级提高10,,,,,,,,,8,10,2,280,,,,,,,1,,,,,,153,10,0,0,0
1100134,黑灵丸,,,,,,,,,,1,1,2,480,,,,,,,1,,,,,,153,0,0,0,0
1100135,污秽之力,1%概率造成0%破防暴击的伤害且对方无法闪避，1%概率发动“污秽之手”造成160%纯粹伤害。先攻等级提高10，王者等级提高5。,,,,,,,,,1,1,2,0,,,,,,,1,1,,,,,153,10,0,0,5
1100136,体落,,1,3,,30,,,,,10,1,2,600,,,,,,,1,,,,,,22,0,0,0,0
1100137,送足扫,,1,,,,,,,,5,10,2,300,,,,,,,1,,,,,,32,0,0,0,0
1100138,联盟,回合数为1，1%概率，造成600%暴击，命中后敌方下次伤害为1，回合数大于1，15%概率，造成110%纯粹，恢复己方总战力20%，封印敌方“根据己方当前血量”恢复类技能2回合（1次）。先攻+10，王者+10。,,2,,,,,,,1,5,2,600,,1,,,,1,1,,,,,,153,0,0,0,0
1200001,致命射击,20%概率造成120%的伤害。,,,,,,,,,20,15,3,120,,,,,,,,,,,,,142,0,0,0,0
1200002,安魂曲,20%概率造成135%的伤害。,,,,,,,,,20,1,3,135,,,,,,,,,,,,,161,0,0,0,0
1200003,刃击,8%概率造成150%的伤害。,,,,,,,,,8,15,3,150,,,,,,,,,,,,,162,0,0,0,0
1200004,无畏打击（弃用）,4%概率造成200%的伤害。,,,,,,,,,4,15,3,200,,,,,,,,,,,,,150,0,0,0,0
1200005,火球术,30%概率造成130%的伤害。,,,,,,,,,30,1,3,130,,,,,,,,,,,,,148,0,0,0,0
1200006,闹脾气,不和她玩的话，就会生气哦！100%概率造成101%的伤害。,,,,,,,,,100,1,3,101,,,,,,,,,,,,,142,0,0,0,0
1200007,A之逆袭,4%概率造成180%的伤害。,,,,,,,,,4,15,3,180,,,,,,,,,,,,,142,0,0,0,0
1200008,久违的礼物,10%概率造成145%的伤害。大家都很想要啊！,,,,,,,,,10,15,3,145,,,,,,,,,,,,,142,0,0,0,0
1200009,怒火之吠,100%概率造成103%的伤害。,,,,,,,,,100,1,3,103,,,,,,,,,,,,,161,0,0,0,0
