ID,怪物组名,怪物构成,战斗力,英雄技能,先攻等级,防御等级,闪避等级,王者等级,备注
1000415,兰斯洛特,18000006,2400000,4000085,,100,0,,暴击同时封印玩家12%以下的技能
1000416,梅林,17000012,2250000,4000086,,150,100,,无视防御暴击同时封印玩家5%以下的技能
1000417,圣女贞德,19000010,2280000,4000087,,150,100,,无视防御暴击同时封印玩家6%以下的技能
1000418,人魔之子,18000008,2320000,4000088,,150,100,,无视防御暴击同时封印玩家8%以下的技能
1000419,关云长,18000009|18000010|18000026,2350000,4000089,,150,100,,无视防御暴击同时封印玩家10%以下的技能
1000420,兰斯洛特,18000006,2400000,4000090,,150,100,,无视防御暴击同时封印玩家12%以下的技能
1000421,大乔,17000025|17000026|17000027,2450000,1800008|1800008|1600006|1600006|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052,,,,,
1000422,至尊宝,18000041,2500000,,100,,,,
1000423,紫霞仙子,19000051,2550000,1100042|1100042|1100042|1100042|1100042|1100042|1100042|1100042|1100042|1100042|1100042|1100042,,,,,
1000424,小乔,17000026|17000025|17000027,2600000,1800008|1800008|1600006|1600006|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052|1200052,,,75,30,
1000425,花和尚鲁智深,18000025|18000024,2700000,1100017|1100017|1100017|1100017|1100017|1300013|1300013|1300013|1300013|1300013,,,,,
1000426,大乔,17000025|17000026|17000027,1200000,4000091,,,,,玩家初始总血量99%的伤害，同时封印15%以下的技能
1000427,至尊宝,18000041,1250000,4000092,,,,,玩家初始总血量95%的伤害，封印15%以下的技能
1000428,紫霞仙子,19000051,1300000,4000093,,,,,玩家初始总血量90%的伤害，封印15%以下的技能
1000429,小乔,17000026|17000025|17000027,1350000,4000094,,,,,玩家初始总血量85%的伤害，封印15%以下的技能
1000430,花和尚鲁智深,18000025|18000024,1400000,4000095,,,,,玩家初始总血量80%的伤害，封印15%以下的技能
1000431,大乔,17000025|17000026|17000027,1200000,4000091,,50,,,玩家初始总血量99%的伤害，同时封印15%以下的技能
1000432,至尊宝,18000041,1250000,4000092,,50,,,玩家初始总血量95%的伤害，封印15%以下的技能
1000433,紫霞仙子,19000051,1300000,4000093,,50,,,玩家初始总血量90%的伤害，封印15%以下的技能
1000434,小乔,17000026|17000025|17000027,1350000,4000094,,50,,,玩家初始总血量85%的伤害，封印15%以下的技能
1000435,花和尚鲁智深,18000025|18000024,1400000,4000095,,50,,,玩家初始总血量80%的伤害，封印15%以下的技能
1000436,蒙面刺客,13000003,2760000,1200011|1200011|1200011|1200011|1200011|1200011|1200011|1200011|1200011|1200011,,,,,
1000437,马超,18000026,2800000,,,50,,,
1000438,赵子龙,18000010,2850000,1100008|1100008|1100008|1100008|1100008|1100008|1100008|1100008,,,,,
1000439,吕奉先,18000011,2950000,1100055|1100055|1100055|1100055|1100055|1100055|1100055|1100055|1100055|1100055,,,,,
1000440,曹操,19000041,3000000,1600007|1600007|1600007|1600007|1600007|1600007|1600007|1600007|1600007|1600007,,,80,,
1000441,蒙面刺客,13000003,1000000000,4000097|4000096,600,10,,,前14回合每次攻击给予玩家初始总战力10%的伤害，并且玩家施放概率20%以下的技能封印至二十回合，同时超过15回合时，怪物放必杀
1000442,马超,18000026,1000000000,4000097|4000096,600,20,,,前14回合每次攻击给予玩家初始总战力10%的伤害，并且玩家施放概率20%以下的技能封印至二十回合，同时超过15回合时，怪物放必杀
1000443,赵子龙,18000010,1000000000,4000097|4000096,600,30,,,前14回合每次攻击给予玩家初始总战力10%的伤害，并且玩家施放概率20%以下的技能封印至二十回合，同时超过15回合时，怪物放必杀
1000444,吕奉先,18000011,1000000000,4000097|4000096,600,50,,,前14回合每次攻击给予玩家初始总战力10%的伤害，并且玩家施放概率20%以下的技能封印至二十回合，同时超过15回合时，怪物放必杀
1000445,曹操,19000041,1000000000,4000097|4000096,600,100,,,前14回合每次攻击给予玩家初始总战力10%的伤害，并且玩家施放概率20%以下的技能封印至二十回合，同时超过15回合时，怪物放必杀
1000446,蒙面刺客,13000003,1000000000,4000097|4000096,600,110,,,前14回合每次攻击给予玩家初始总战力10%的伤害，并且玩家施放概率20%以下的技能封印至二十回合，同时超过15回合时，怪物放必杀
1000447,马超,18000026,1000000000,4000097|4000096,600,120,,,前14回合每次攻击给予玩家初始总战力10%的伤害，并且玩家施放概率20%以下的技能封印至二十回合，同时超过15回合时，怪物放必杀
1000448,赵子龙,18000010,1000000000,4000097|4000096,600,130,,,前14回合每次攻击给予玩家初始总战力10%的伤害，并且玩家施放概率20%以下的技能封印至二十回合，同时超过15回合时，怪物放必杀
1000449,吕奉先,18000011,1000000000,4000097|4000096,600,150,,,前14回合每次攻击给予玩家初始总战力10%的伤害，并且玩家施放概率20%以下的技能封印至二十回合，同时超过15回合时，怪物放必杀
1000450,曹操,19000041,1000000000,4000097|4000096,600,200,,,前14回合每次攻击给予玩家初始总战力10%的伤害，并且玩家施放概率20%以下的技能封印至二十回合，同时超过15回合时，怪物放必杀
1000451,万年小学生,18000035,3030000,1300014|1300014|1300014|1300014|1300014,,,,,
1000452,佐佐木小次郎,17000002|17000002|17000002,3060000,,,,70,,
1000453,郭嘉,18000032,3090000,1900010|1900010|1900010|1900010|1900010|1900010|1900010|1900010|1900010|1900010,,,,,
1000454,人魔之子,18000008,3140000,1300005|1300005|1300005|1300005|1300005|1300005|1300005|1300005,,,,,
1000455,亚瑟·戴恩,19000027,3200000,1100054|1100054|1100054|1100054|1100054|1100054|1100054|1100054|1100054|1100054,60,,,,
1000456,万年小学生,18000035,1000000,4000098,300,,,,50%玩家总血量的伤害
1000457,佐佐木小次郎,17000002|17000002|17000002,1050000,4000099,300,,,,60%玩家总血量的伤害
1000458,郭嘉,18000032,1100000,4000100,300,,,,70%玩家总血量的伤害
1000459,人魔之子,18000008,1150000,4000101,300,,,,80%玩家总血量的伤害
1000460,亚瑟·戴恩,19000027,1250000,4000102,300,,,,90%玩家总血量的伤害
1000461,万年小学生,18000035,1000000,4000103,300,,,,100%玩家总血量的伤害
1000462,佐佐木小次郎,17000002|17000002|17000002,1050000,4000104,300,5,,,105%玩家总血量的伤害
1000463,郭嘉,18000032,1100000,4000105,300,10,,,110%玩家总血量的伤害
1000464,人魔之子,18000008,1150000,4000106,300,20,,,120%玩家总血量的伤害
1000465,亚瑟·戴恩,19000027,1250000,4000107,300,45,,,145%玩家总血量的伤害
1000466,三头恶犬,20000003,3150000,,,,,,
1000467,蛇型女妖,20000004,3200000,,,,,,
1000468,千女神,17000030,3250000,,,40,40,,
1000469,苍老师,18000038,3300000,1800013|1800013|1800013|1800013|1800013|1800013|1800013|1800013|1800013|1800013,,,,,
1000470,夜兔族少女,18000012,3400000,1300018|1300018|1300018|1300018|,,,,,
1000471,三头恶犬,20000003,1000000000,4000108,300,,,,50%玩家总血量的伤害
1000472,蛇型女妖,20000004,1000000000,4000109,300,,,,60%玩家总血量的伤害
1000473,千女神,17000030,1000000000,4000110,300,,,,70%玩家总血量的伤害
1000474,苍老师,18000038,1000000000,4000111,300,,,,80%玩家总血量的伤害
1000475,夜兔族少女,18000012,1000000000,4000112,300,,,,90%玩家总血量的伤害
1000476,三头恶犬,20000003,1000000000,4000113,300,,,,100%玩家总血量的伤害
1000477,蛇型女妖,20000004,1000000000,4000114,300,5,,,105%玩家总血量的伤害
1000478,千女神,17000030,1000000000,4000115,300,10,,,110%玩家总血量的伤害
1000479,苍老师,18000038,1000000000,4000116,300,20,,,120%玩家总血量的伤害
1000480,夜兔族少女,18000012,1000000000,4000117,300,45,,,145%玩家总血量的伤害
1000481,大天使米色尔,18000013|15000004,3400000,1200041|1200041|1200041|1200041|1200041|1200041|1200041|1200041|1200041|1200041,,,,,
1000482,卓戈卡奥,19000028,3450000,,,,,100,
1000483,丹妮莉丝,18000020|11000006|11000006|11000006|11000006,3500000,2200010|2200010|2200010|2200010|2200010|2200010|2200010|2200010|2200010|2200010,,,,50,
1000484,人魔之子,18000008,3600000,1300005|1300005|1300005|1300005|1300005|1300005|1300005|1300005,,,,,
1000485,魔化信长,19000023|14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005|11000002|11000001|11000003,3750000,1500008|1500008,,,,,
1000486,大天使米色尔,18000013|15000004,10000,4000118,600,9900,,,带虚弱的必中伤害，伤害值为敌方总血量10%
1000487,卓戈卡奥,19000028,10000,4000119,600,9900,,,带虚弱的必中伤害，伤害值为敌方总血量12%
1000488,丹妮莉丝,18000020|11000006|11000006|11000006|11000006,10000,4000120,600,9900,,,带虚弱的必中伤害，伤害值为敌方总血量14%
1000489,人魔之子,18000008,10000,4000121,600,9900,,,带虚弱的必中伤害，伤害值为敌方总血量16%
1000490,魔化信长,19000023|14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005|11000002|11000001|11000003,10000,4000122,600,9900,,,带虚弱的必中伤害，伤害值为敌方总血量20%
1000491,大天使米色尔,18000013|15000004,10000,4000123,600,9900,,,带虚弱的必中伤害，伤害值为敌方总血量21%
1000492,卓戈卡奥,19000028,10000,4000124,600,9900,,,带虚弱的必中伤害，伤害值为敌方总血量23%
1000493,丹妮莉丝,18000020|11000006|11000006|11000006|11000006,10000,4000125,600,9900,,,带虚弱的必中伤害，伤害值为敌方总血量25%
1000494,人魔之子,18000008,10000,4000126,600,9900,,,带虚弱的必中伤害，伤害值为敌方总血量27%
1000495,魔化信长,19000023|14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005|11000002|11000001|11000003,10000,4000127,600,9900,,,带虚弱的必中伤害，伤害值为敌方总血量30%
1000496,不起眼的青年,11000025,3800000,,,,,,
1000497,扫地僧,19000035,3850000,2200019|2200019|2200019|2200019|2200019|2200019|2200019|2200019,,,,,
1000498,夫子,19000052,3900000,2200026|2200026|2200026|2200026|2200026|2200026|2200026|2200026|2200026|2200026,,,,30,
1000499,老子,19000053,4000000,2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041,,,,30,
1000500,坂田金时,19000007,4150000,1300006|1300006|1300006|1300006|1300006,,,,,
1000501,不起眼的青年,11000025,3800000,4000128|4000129,600,,,,怪物自己首回合扣血99%，然后造成怪物自己损失血量100%的伤害
1000502,扫地僧,19000035,3850000,4000128|4000130,600,,,,怪物自己首回合扣血99%，然后造成怪物自己损失血量105%的伤害
1000503,夫子,19000052,3900000,4000128|4000131,600,,,,怪物自己首回合扣血99%，然后造成怪物自己损失血量110%的伤害
1000504,老子,19000053,4000000,4000128|4000132,600,,,,怪物自己首回合扣血99%，然后造成怪物自己损失血量125%的伤害
1000505,坂田金时,19000007,4150000,4000128|4000133,600,,,,怪物自己首回合扣血99%，然后造成怪物自己损失血量150%的伤害
1000506,不起眼的青年,11000025,3800000,4000128|4000129,600,,,50,怪物自己首回合扣血99%，然后造成怪物自己损失血量100%的伤害
1000507,扫地僧,19000035,3850000,4000128|4000130,600,,,50,怪物自己首回合扣血99%，然后造成怪物自己损失血量105%的伤害
1000508,夫子,19000052,3900000,4000128|4000131,600,,,50,怪物自己首回合扣血99%，然后造成怪物自己损失血量110%的伤害
1000509,老子,19000053,4000000,4000128|4000132,600,,,50,怪物自己首回合扣血99%，然后造成怪物自己损失血量125%的伤害
1000510,坂田金时,19000007,4150000,4000128|4000133,600,,,50,怪物自己首回合扣血99%，然后造成怪物自己损失血量150%的伤害
1000511,火山怒龙,11000033,4000000,1200044|1200044|1200044|1200044|1200044|1200044|1200044|1200044|1200044|1200044,,,,,
1000512,疾风怒龙,11000034,4050000,,100,,,,
1000513,冰封怒龙,11000035,4100000,,,100,,,
1000514,黑龙奥萨拉,18000018,4200000,1200047|1200047|1200047|1200047|1200047|1200047|1200047|1200047|1200047|1200047,,,,,
1000515,金龙阿雷撒,19000017,4350000,,,200,,,
1000516,火山怒龙,11000033,4000000,4000134|4000135,10,0,0,0,10回合前按玩家当前血量回复，10回合后放暴击
1000517,疾风怒龙,11000034,4050000,4000134|4000135,20,0,0,0,10回合前按玩家当前血量回复，10回合后放暴击
1000518,冰封怒龙,11000035,4100000,4000134|4000135,40,0,0,0,10回合前按玩家当前血量回复，10回合后放暴击
1000519,黑龙奥萨拉,18000018,4200000,4000134|4000135,80,0,0,0,10回合前按玩家当前血量回复，10回合后放暴击
1000520,金龙阿雷撒,19000017,4350000,4000134|4000135,160,0,0,0,10回合前按玩家当前血量回复，10回合后放暴击
1000521,火山怒龙,11000033,4000000,4000134|4000135,10,50,100,0,10回合前按玩家当前血量回复，10回合后放暴击
1000522,疾风怒龙,11000034,4050000,4000134|4000135,20,50,100,0,10回合前按玩家当前血量回复，10回合后放暴击
1000523,冰封怒龙,11000035,4100000,4000134|4000135,40,50,100,0,10回合前按玩家当前血量回复，10回合后放暴击
1000524,黑龙奥萨拉,18000018,4200000,4000134|4000135,80,50,100,0,10回合前按玩家当前血量回复，10回合后放暴击
1000525,金龙阿雷撒,19000017,4350000,4000134|4000135,160,50,100,0,10回合前按玩家当前血量回复，10回合后放暴击
1000526,魔化小女孩,14000002,4400000,1200014|1200014|1200014|1200015|1700004,,,,,
1000527,魔化小男孩,14000003,4450000,1200014|1200014|1200014|1200015|1700004,,,,,
1000528,魔化市民,14000001,4500000,1200014|1200014|1200014|1200015|1700004,,,,,
1000529,魔化罪恶铁匠,14000004,4550000,1200014|1200014|1200014|1200015|1700004,,,,,
1000530,魔化女祭司,14000005,4650000,1200014|1200014|1200014|1200015|1700004,,,,,
1000531,魔化小女孩,14000002,4400000,4000136|4000137,0,0,150,0,前10回合按玩家总血量回复，10回合后施放复制技能
1000532,魔化小男孩,14000003,4450000,4000136|4000137,0,0,150,0,前10回合按玩家总血量回复，10回合后施放复制技能
1000533,魔化市民,14000001,4500000,4000136|4000137,0,0,150,0,前10回合按玩家总血量回复，10回合后施放复制技能
1000534,魔化罪恶铁匠,14000004,4550000,4000136|4000137,0,0,150,0,前10回合按玩家总血量回复，10回合后施放复制技能
1000535,魔化女祭司,14000005,4650000,4000136|4000137,0,0,150,0,前10回合按玩家总血量回复，10回合后施放复制技能
1000536,魔化小女孩,14000002,4400000,4000136|4000137,20,200,150,0,前10回合按玩家总血量回复，10回合后施放复制技能
1000537,魔化小男孩,14000003,4450000,4000136|4000137,40,200,150,0,前10回合按玩家总血量回复，10回合后施放复制技能
1000538,魔化市民,14000001,4500000,4000136|4000137,80,200,150,0,前10回合按玩家总血量回复，10回合后施放复制技能
1000539,魔化罪恶铁匠,14000004,4550000,4000136|4000137,160,200,150,0,前10回合按玩家总血量回复，10回合后施放复制技能
1000540,魔化女祭司,14000005,4650000,4000136|4000137,320,200,150,0,前10回合按玩家总血量回复，10回合后施放复制技能
1000541,魔山格雷果,19000029,4500000,2200040|2200040|2200040|2200040|2200040|2200040|2200040|2200040|2200040|2200040,,50,,,
1000542,魔化吕布,19000019,4550000,1100045|1100045|1100045|1100045|1100045|1100045|1100045|1100045|1100045|1100045,,,,20,
1000543,魔化西德列,19000006,4600000,1200030|1200030|1200030|1200030|1200030|1200030|1200030|1200030|1200030|1200030,,,,,
1000544,魔化信长,19000023,4700000,1500008|1500008|1500008|1500008|1500008|1500008,,,,,
1000545,魔神撒旦,19000016,4850000,1400008|1400008|1400008,,,,,
1000546,魔山格雷果,19000029,1500000,4000138,30,,,,必杀技能
1000547,魔化吕布,19000019,1550000,4000138,35,,,,必杀技能
1000548,魔化西德列,19000006,1600000,4000138,40,,,,必杀技能
1000549,魔化信长,19000023,1650000,4000138,50,,,,必杀技能
1000550,魔神撒旦,19000016,1800000,4000138,60,,,,必杀技能
1000551,魔山格雷果,19000029,1500000,4000138,70,,,,必杀技能
1000552,魔化吕布,19000019,1550000,4000138,80,,,,必杀技能
1000553,魔化西德列,19000006,1600000,4000138,90,,,,必杀技能
1000554,魔化信长,19000023,1650000,4000138,100,,,,必杀技能
1000555,魔神撒旦,19000016,1800000,4000138,120,,,,必杀技能
1000556,魔化市民,14000001|14000002|14000003|14000004|14000005,5000000,1200014|1200014|1200014|1200015|1700004,,,,,
1000557,比尔博巴金丝,18000028|13000008|13000007,5050000,1100029|1100029|1100029|1100029|1100029|1100029|1100029|1100029|1100029|1100029,,,50,,
1000558,梅林,17000012|11000033|11000034|11000035,5100000,1900003|1900003|1900003|1900003|1900003|1900003|1900003|1900003|1900003|1900003|1200044|1200044|1200044|1200044,70,,50,,
1000559,美杜莎,18000003|15000011|15000012,5200000,2200005|2200005|2200005|2200005|2200005|2200005|2200005|2200005|2200005|2200005,50,,,,
1000560,洛基,17000003|15000001|15000003|15000002,5350000,2200003|2200003|2200003|2200003|2200003|2200003|2200003|2200003|2200003|2200003|1200016|1200016|1200016,,50,40,,
1000561,魔化市民,14000001|14000002|14000003|14000004|14000005,1000,4000139,600,,,,带虚弱的必中技能，造成玩家当前血量110%伤害，持续10回合
1000562,比尔博巴金丝,18000028|13000008|13000007,1000,4000140,600,,,,带虚弱的必中技能，造成玩家当前血量120%伤害，持续10回合
1000563,梅林,17000012|11000033|11000034|11000035,1000,4000141,600,,,,带虚弱的必中技能，造成玩家当前血量130%伤害，持续10回合
1000564,美杜莎,18000003|15000011|15000012,1000,4000142,600,,,,带虚弱的必中技能，造成玩家当前血量140%伤害，持续10回合
1000565,洛基,17000003|15000001|15000003|15000002,1000,4000143,600,,,,带虚弱的必中技能，造成玩家当前血量150%伤害，持续10回合
1000566,魔化市民,14000001|14000002|14000003|14000004|14000005,1000,4000144,600,,,,带虚弱的必中技能，造成玩家当前血量160%伤害，持续10回合
1000567,比尔博巴金丝,18000028|13000008|13000007,1000,4000145,600,,,,带虚弱的必中技能，造成玩家当前血量170%伤害，持续10回合
1000568,梅林,17000012|11000033|11000034|11000035,1000,4000146,600,,,,带虚弱的必中技能，造成玩家当前血量180%伤害，持续10回合
1000569,美杜莎,18000003|15000011|15000012,1000,4000147,600,,,,带虚弱的必中技能，造成玩家当前血量190%伤害，持续10回合
1000570,洛基,17000003|15000001|15000003|15000002,1000,4000148,600,,,,带虚弱的必中技能，造成玩家当前血量200%伤害，持续10回合
1000571,猫星人一堆,12000002|12000002|12000002|12000002,5400000,1700002|1700002,,,,,
1000572,汪星人一伙,12000001|12000001|12000001|12000001,5450000,1200009|1200009,,,,,
1000573,尼基塔米亚,19000003,5500000,1600004|1600004|1600004|1600004|1600004,,,,,
1000574,酒馆兔女郎,11000018|11000017|11000016|11000019,5600000,1700011|1700011|1700001|1200007|1200007|1200007|1200007|1200007|1200007|1200007,,,,,
1000575,唐三,19000047,5700000,,,,,,
1000576,猫星人一堆,12000002|12000002|12000002|12000002,1000000000,4000149|4000159,600,,,,带虚弱的必中技能，造成玩家当前血量110%伤害，持续10回合，之后造成玩家初始总血量100%的伤害
1000577,汪星人一伙,12000001|12000001|12000001|12000001,1000000000,4000150|4000159,600,,,,带虚弱的必中技能，造成玩家当前血量120%伤害，持续10回合，之后造成玩家初始总血量100%的伤害
1000578,尼基塔米亚,19000003,1000000000,4000151|4000159,600,,,,带虚弱的必中技能，造成玩家当前血量130%伤害，持续10回合，之后造成玩家初始总血量100%的伤害
1000579,酒馆兔女郎,11000018|11000017|11000016|11000019,1000000000,4000152|4000159,600,,,,带虚弱的必中技能，造成玩家当前血量140%伤害，持续10回合，之后造成玩家初始总血量100%的伤害
1000580,唐三,19000047,1000000000,4000153|4000159,600,,,,带虚弱的必中技能，造成玩家当前血量150%伤害，持续10回合，之后造成玩家初始总血量100%的伤害
1000581,猫星人一堆,12000002|12000002|12000002|12000002,1000000000,4000154|4000159,600,,,,带虚弱的必中技能，造成玩家当前血量160%伤害，持续10回合，之后造成玩家初始总血量100%的伤害
1000582,汪星人一伙,12000001|12000001|12000001|12000001,1000000000,4000155|4000159,600,,,,带虚弱的必中技能，造成玩家当前血量170%伤害，持续10回合，之后造成玩家初始总血量100%的伤害
1000583,尼基塔米亚,19000003,1000000000,4000156|4000159,600,,,,带虚弱的必中技能，造成玩家当前血量180%伤害，持续10回合，之后造成玩家初始总血量100%的伤害
1000584,酒馆兔女郎,11000018|11000017|11000016|11000019,1000000000,4000157|4000159,600,,,,带虚弱的必中技能，造成玩家当前血量190%伤害，持续10回合，之后造成玩家初始总血量100%的伤害
1000585,唐三,19000047,1000000000,4000158|4000159,600,,,,带虚弱的必中技能，造成玩家当前血量200%伤害，持续10回合，之后造成玩家初始总血量100%的伤害
1000586,持镰执行者,13000009,5600000,1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013|1200013,,,,,
1000587,佐佐木小次郎,17000002|18000001,5700000,,,,130,,
1000588,甄姬,18000034,5800000,,,,,40,
1000589,梦魇狂三,19000038,6000000,2100006|2100006|2100006|2100006|2100006|2100006|2100006|2100006|2100006|2100006,,,90,,
1000590,星美451,19000024|17000028|17000029,6200000,1900009|1900009|1900009|1900009|1900009|1900009|1900009|1900009|1900009|1900009,,,130,,
1000591,持镰执行者,13000009,5600000,4000160,,,9900,,血量低于50%，回合数低于6时必杀
1000592,佐佐木小次郎,17000002|18000001,5700000,4000161,,,9900,,血量低于60%，回合数低于6时必杀
1000593,甄姬,18000034,5800000,4000162,,,9900,,血量低于70%，回合数低于6时必杀
1000594,梦魇狂三,19000038,6000000,4000163,,,9900,,血量低于80%，回合数低于6时必杀
1000595,星美451,19000024|17000028|17000029,6200000,4000164,,,9900,,血量低于90%，回合数低于6时必杀
1000596,持镰执行者,13000009,5600000,4000165,20,,9900,,血量低于100%，回合数低于6时必杀
1000597,佐佐木小次郎,17000002|18000001,5700000,4000165,40,,9900,,血量低于100%，回合数低于6时必杀
1000598,甄姬,18000034,5800000,4000165,60,,9900,,血量低于100%，回合数低于6时必杀
1000599,梦魇狂三,19000038,6000000,4000165,80,,9900,,血量低于100%，回合数低于6时必杀
1000600,星美451,19000024|17000028|17000029,6200000,4000165,100,,9900,,血量低于100%，回合数低于6时必杀
1000601,拐杖老者,11000012,6100000,1900001|1900001|1900001|1900001|1900001|1900001|1900001|1900001|1900001|1900001,,,,,
1000602,女佣,11000014,6150000,,50,,,,
1000603,皇家女仆,11000020,6200000,,,70,,,
1000604,高文,18000005,6300000,,,130,,,
1000605,亚瑟,19000001,6450000,,,160,,,
1000606,拐杖老者,11000012,6100000,4000166|4000167,100,50,,,怪物血量低于初始总血量100%，回合数低于5时施放必杀，除此之外，回复怪物初始总血量30%的血量
1000607,女佣,11000014,6150000,4000166|4000167,90,50,,,怪物血量低于初始总血量100%，回合数低于5时施放必杀，除此之外，回复怪物初始总血量30%的血量
1000608,皇家女仆,11000020,6200000,4000166|4000167,80,50,,,怪物血量低于初始总血量100%，回合数低于5时施放必杀，除此之外，回复怪物初始总血量30%的血量
1000609,高文,18000005,6300000,4000166|4000167,70,50,,,怪物血量低于初始总血量100%，回合数低于5时施放必杀，除此之外，回复怪物初始总血量30%的血量
1000610,亚瑟,19000001,6450000,4000166|4000167,60,50,,,怪物血量低于初始总血量100%，回合数低于5时施放必杀，除此之外，回复怪物初始总血量30%的血量
1000611,拐杖老者,11000012,6100000,4000166|4000167,50,50,,,怪物血量低于初始总血量100%，回合数低于5时施放必杀，除此之外，回复怪物初始总血量30%的血量
1000612,女佣,11000014,6150000,4000166|4000167,40,50,,,怪物血量低于初始总血量100%，回合数低于5时施放必杀，除此之外，回复怪物初始总血量30%的血量
1000613,皇家女仆,11000020,6200000,4000166|4000167,30,50,,,怪物血量低于初始总血量100%，回合数低于5时施放必杀，除此之外，回复怪物初始总血量30%的血量
1000614,高文,18000005,6300000,4000166|4000167,20,50,,,怪物血量低于初始总血量100%，回合数低于5时施放必杀，除此之外，回复怪物初始总血量30%的血量
1000615,亚瑟,19000001,6450000,4000166|4000167,10,50,,,怪物血量低于初始总血量100%，回合数低于5时施放必杀，除此之外，回复怪物初始总血量30%的血量
1000616,机械工程兵A,17000028|17000029,6400000,1900009|1900009|1900009|1900009|1900009|1900009|1900009|1900009|1900009|1900009,,,,,
1000617,钢锻精英卫士,17000016|17000029|17000028,6500000,1900009|1900009|1900009|1900009|1900009|1900009|1900009|1900009|1900009|1900009,,70,,,
1000618,松平片米虎,16000013|17000014|16000012|17000024,6600000,1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1200048|1600003|1600003|1600003|1600003|1600003,,,40,,
1000619,黑衣少女,19000057,6750000,2200029|2200029|2200029|2200029|2200029|2200029|2200029|2200029|2200029|2200029,,,,,
1000620,电磁炮少女,19000059,6900000,1100044|1100044|1100044|1100044|1100044|1100044|1100044|1100044|1100044|1100044,120,,,,
1000621,机械工程兵A,17000028|17000029,6400000,4000168|4000169,,,,,如果玩家血量超过100%就施放必杀，上述条件未满足则给玩家造成怪物自己损失血量100%的伤害（此伤害无法闪避）
1000622,钢锻精英卫士,17000016|17000029|17000028,6500000,4000168|4000170,,,,,如果玩家血量超过100%就施放必杀，上述条件未满足则给玩家造成怪物自己损失血量120%的伤害（此伤害无法闪避）
1000623,松平片米虎,16000013|17000014|16000012|17000024,6600000,4000168|4000171,,,,,如果玩家血量超过100%就施放必杀，上述条件未满足则给玩家造成怪物自己损失血量140%的伤害（此伤害无法闪避）
1000624,黑衣少女,19000057,6750000,4000168|4000172,,,,,如果玩家血量超过100%就施放必杀，上述条件未满足则给玩家造成怪物自己损失血量160%的伤害（此伤害无法闪避）
1000625,电磁炮少女,19000059,6900000,4000168|4000173,,,,,如果玩家血量超过100%就施放必杀，上述条件未满足则给玩家造成怪物自己损失血量200%的伤害（此伤害无法闪避）
1000626,机械工程兵A,17000028|17000029,6400000,4000168|4000174,,,,,如果玩家血量超过100%就施放必杀，上述条件未满足则给玩家造成怪物自己损失血量100%的伤害（此伤害无法闪避，无视防御）
1000627,钢锻精英卫士,17000016|17000029|17000028,6500000,4000168|4000175,,,,,如果玩家血量超过100%就施放必杀，上述条件未满足则给玩家造成怪物自己损失血量120%的伤害（此伤害无法闪避，无视防御）
1000628,松平片米虎,16000013|17000014|16000012|17000024,6600000,4000168|4000176,,,,,如果玩家血量超过100%就施放必杀，上述条件未满足则给玩家造成怪物自己损失血量140%的伤害（此伤害无法闪避，无视防御）
1000629,黑衣少女,19000057,6750000,4000168|4000177,,,,,如果玩家血量超过100%就施放必杀，上述条件未满足则给玩家造成怪物自己损失血量160%的伤害（此伤害无法闪避，无视防御）
1000630,电磁炮少女,19000059,6900000,4000168|4000178,,,,,如果玩家血量超过100%就施放必杀，上述条件未满足则给玩家造成怪物自己损失血量200%的伤害（此伤害无法闪避，无视防御）
1000631,托比·托普兰,17000015,7000000,1800004|1800004|1800004|1800004|1800004|1800004|1800004|1800004|1800004|1800004,,,,,
1000632,伊斯力,19000021,7050000,1600005,,,,,
1000633,两仪shiki,19000044,7100000,1600009|1600009|1600009|1600009|1600009|1600009|1600009|1600009|1600009|1600009,,,,30,
1000634,服部半藏,17000006,7200000,1200023|1200023|1200023|1200023|1200023|1200023|1200023|1200023|1200023|1200023,,,,,
1000635,猴子,19000048,7300000,2200025|2200025|2200025|2200025|2200025|2200025|2200025|2200025|2200025|2200025,,,60,,
1000636,托比·托普兰,17000015,7000000,4000179,100,,,,使用复制技能
1000637,伊斯力,19000021,7050000,4000179,,100,,,使用复制技能
1000638,两仪shiki,19000044,7100000,4000179,,,100,,使用复制技能
1000639,服部半藏,17000006,7200000,4000179,,,,100,使用复制技能
1000640,猴子,19000048,7300000,4000179,100,100,100,10,使用复制技能
1000641,托比·托普兰,17000015,7000000,4000179,1000,,,50,使用复制技能
