ID,对应声望等级,邮件标题,内容,寄件人姓名,备注
101,3,来当战士吧,战士才是男人的浪漫啊，你能体会到那种刀刀烈火的感觉吗,卡勒特,
102,3,带飞,新人，看起来你才当上冒险者没多久啊，今天哥心情好，来，带你去骷髅洞逛逛，带你装B带你飞。,斯洛,
103,3,冒险真开心,冒险真开心啊，下次我们一起去冒险吧,Saki,
104,3,你算计我,身为新人，你就算计我，啊啊啊,某紫毛,
105,3,诅咒,我不是针对你，我是说在座的各位欧皇，都是混蛋。我要诅咒你们。,黑脸王子,
106,3,自寻死路,我在井里待了这么多年，如今我好不容易通过电视机爬出来，你们这群低级冒险者竟然想封印我，你们这是自寻死路,贞力丹,
107,3,年轻秘法,我偷偷告诉你我的年轻秘法。只需要穿一种特殊的裤子就能看起来特别年轻。那就是——纸。尿。裤。,八十一枝花,
108,3,大王叫我来巡山,大王叫我来巡山 小心提防猴子（我们那个佣兵） 大王叫我来巡山 伊儿哟来伊儿伊儿哟~,小钻风,
109,3,怨念,那个什么炮什么女有什么好……是金子总会发光，哪怕我现在受到冷落，总有一天你们将认识到我真正的地位！,匿名闪金佣兵,
110,3,破碎的友情,竞技场哪来那么多NPC……好多没有加好友按钮的对手，你仔细看看，其实是你的好友啊,又被好友断九胜,
111,3,激活码,从前锯齿南瓜捡到一只被遗弃的喵酱，细心照顾。现在这只名为『激活码』的喵酱，在木七七的大家庭里作威作福。,一群猫奴,
112,3,算术题,据说金币招募初始价格是6000，每次价格是翻倍的，那么如果有一键金币十连，需要消耗多少呢？,数学老师,
113,3,打码,文字和小人被打码了？不要慌。有的人码打在眼前，有的人码打在心里。,背锅组组长,
114,3,找朋友,寻找同好，暗号：Lebenslangerschicksalsschatz,美剧迷,
115,3,藏起来的佣兵,解雇的时候找不到佣兵？明明没有上阵？不要慌，去别的阵型看看。。。,教练,
116,3,传闻,想看大战五百回合的人可以歇歇了，两百回合是上限，不信你就试试。,过来人,
117,1,头条这件事,我救了鲁滨逊，上头条的是他不是我，这让我情何以堪。我可是有过三次环球航行的堂堂“皇家海军军官”好吗？,海盗学识家者,
118,1,海盗契约修正,海盗契约第十条：严格禁止对船长产生尊敬以上程度的其他情感。第十一条：暗恋也不行。,苦恼的船长,
119,1,求助,好苦恼，我们5人抢到了100金币，可是不知道怎么样才能让自己收益最多，有好的法子吗？,精明的小海盗,
120,1,晕船,出海以前我以为自己晕船，可是我错了；上陆地之后我以为我什么都不晕，直到我上了海盗船。,游乐园员工,
121,1,招聘启事,神秘而古老的职业，起源于公元前1000年船被发明的那一天，推崇自由与冒险，颠覆传统。期待你的加入。,幽灵船人事部,
122,2,谣言,绿皮船长，恐惧海盗，南海海盗，血帆袭击者，血帆海寇，南海水手，据说把这些集齐了会送你一个鹦鹉。,陆式传说,
123,2,吃货日记,今天吃了自助餐，“扶着墙进，扶着墙出”，好满足！感谢维京海盗，要不是他们，哪来自助餐这么棒的发明呢~,吃货小道,
124,2,所谓船首像,你若问我船上最美的是什么，那必须是船首像呀，这是一艘船的灵魂。,年轻的水手,
125,2,黑一点蛮好,为什么大家都不喜欢黑呢？我就挺喜欢的。有黑的就能见招拆招，接招吧~,甘宁,
126,2,珍贵的饮料,朗姆酒好，消毒驱寒忘烦恼。可以没有金币，但是不能没有朗姆酒。,嗜酒如命的船员,
127,3,换职业吧,我跟你说，起降场接待员是个好职业，可以每天看到不同地方的美女。,洛连特起降场接待员艾伦,
128,3,来喝酒吧,年轻的冒险家，要来和我喝酒吗,爱娜,
129,3,寻人启事,我的女儿久远离家出走了，希望有人见到能联系我，特点：无与伦比的优秀，有点活泼,胧,
130,3,雇佣书,现在我国真正和大和作战，如果可以，我想雇佣你去调查敌方的一个特殊小队。,贝纳威,
131,3,问路,请问Rabbit House该怎么走，我迷路了。,迷途的路人,
132,3,起名,捡到一只猫，你觉得起名加狗·德川家康·薛定谔如何，其实叫三味线也不错，五更琉璃也是个好名字，啊，好苦恼啊。,匿名,
133,3,打折,村口小卖部东西都好便宜，燃起了购物欲，想了一中午想不到自己缺什么。最后想通了，缺钱。,选择困难症患者,
134,3,旅行社广告,超值出国二日游旅行团等你加入~可选目的地有秦国、鲁国、齐国、蜀国、郑国、魏国、楚国、赵国、燕国、吴国等等。,新晋导游,
135,3,已跪,来，跟我念：出租车司机去医院搜查私自制造炸药种族主义组织，然后拿了蜂花护发素送给红鲤鱼与绿鲤鱼与驴。,范范范伪奇,
136,3,注意安全,楼上看台的观众们请注意，不要趴在栏杆上，如果掉到楼下贵宾席了，是要补票的……,话剧厅安保,
137,3,找错人,作者的脑洞可以再小一点吗？今天我终于找到了命中注定的七个男人，结果他们说他们是葫芦娃，跟我没关系。,遇难公主,
138,3,搭讪失败,前几天坐飞机，上机后发现旁边坐一美女，根据搭讪原则，我脱口问道：“你在哪儿下？”结果她怎么都不理我，为啥？,困惑的少年,
139,3,我的获奖经历,说起我大学时期的获奖经历，那可丰富了。别的不说，光是康帅傅的『再来一瓶』，就有十几次呢。,求职青年,
140,3,头发的故事,中午出去吃饭，在菜里吃出一根头发，这怎么能忍？头发都分叉了，也不知道好好保养。,辫子姑娘,
141,3,名字的故事,我姓鲁，名叫义天，取自义薄云天之意； 以前我觉得自已的名字还不错； 现在我恨我爸，取名咋这么不走心呢。,悲催少年鲁义天,
142,3,安全第一,大家总认为每次都是大师兄或者师傅被妖怪抓走，而我则很安全，其实不然。最安全的是白龙马呀！,三师弟,
143,3,just we,just we就是just we，既不伟大也不卑微！,神秘吉祥物,
144,3,偶像的作用,我喜欢曼联，因为他们有不服输和不放弃的精神——虽然这并没有影响我或者激励我。,小球迷,
145,3,疑惑,我一直很疑惑，82年发生了什么？为什么有那么多82年的拉菲呢？,初级品酒师,
146,3,亲妈,别人总担心被长辈问有没有对象，我妈就比较通情达理，每次都帮我解围说『别问了，他这样的肯定找不到对象』。,心塞的单身汪,
147,3,美人鱼,每次下决心要减肥的时候，都觉得自己像美人鱼一样。因为基本上过了7秒之后，我就把这事儿忘了。,圆润的少女,
148,3,我好慌,自从我开始玩朋友圈之后就有点慌——因为里面全是说不转不行啊！我只想好好休息非要我转。,苦恼的电风扇,
149,3,熊孩子的可怕,熊孩子有多可爱你知道不？想一想有一种路标，警告是『注意：前方学校路段』！,路人,
150,3,感谢班长,大学四年，我从班长身上学到了很多东西，因为每次考试他都会把答案写在身上。,感恩的学弟,
151,3,好好学习,小朋宇们，你们一定要好好学习，不然只能像我现在这样——靠脸吃饭。,自恋狂,
152,3,我要努力,等我毕业了，我一定要努力赚钱，否则别人会说『那个人除了长得美，一无是处』。,学姐的志向,
153,3,关于秘密,勇者有一个秘密，我可以告诉你，但是有一个条件。这个条件呢，是个秘密，我不能告诉你。,神秘人,
154,3,爱笑的人,村口有一家彩票投注站，好可怕，每次路过都听到一阵阵笑声。里面的人说，爱笑的人运气都不会太差。,村民王二锤,
155,3,钱的烦恼,你们都在烦恼怎么赚钱，而我则在烦恼怎么花钱——谁可以告诉我100块怎么用才能撑到下个月？,匿名求助者,
156,3,成长的烦恼,昨天晚上睡觉时觉得好开心，因为被子太短脚盖不住了，我！长！高！了！后来发现被子盖横了。,少年小道,
157,3,负二代,喂？喂！我是隔壁老王的儿子，我叫撕葱，我还有个弟弟，叫扒蒜~,撕葱少爷,
158,3,何为KTV,知道什么是KTV吗？就是K你一顿，踢你一脚，最后我再做个V的手势欧耶！！,K歌少女,
159,3,闲的蛋疼,没事就得瑟得瑟，反正闲着也是闲着! ,某骚年,
160,3,冬天啊冬天, 冬天最流氓了，总是喜欢对我冻手冻脚冻脸冻耳朵。 ,怕冷滴家伙,
161,3,口误,老板，珍珠奶茶不要茶！,奶茶mm,
162,3,碎碎念,Only~You！能伴我去西经！ Only~you！能杀妖和除魔！,唐僧,
163,3,我是叶良辰,再惹我，我就经济上封锁你，政治上孤立你，精神上折磨你，肉体上摧残你，生活中遗弃你，发动全国人民谴责你！,良辰,
164,3,读书的重要性,一日不读书，无人看得出；一周不读书，开始会爆粗；一月不读书，智商输给猪。 ,书呆子,
165,3,命运的邂逅,你知道苹果什么时候最光辉吗？其实，就是砸在牛顿头上的时候！ ,伪科学家,
166,3,感慨,怀才就像怀孕，时间久了才能让人看出来。,落第秀才,
167,3,逗你玩,六只狮子在下棋，五只猴子在吃梨，四只驴子追舒琪，三只老鼠拍三级，两只螃蟹打太极，一只小猪看信息~,毛逗逗,
168,3,择偶标准,我的择偶标准是：农妇、山泉、有点田，这个要求很高吗？很高吗？很高吗？,大龄未婚男,
169,3,小苹果儿,你是我的小呀小苹果，怎么爱你都不嫌多~,广场舞大妈,
170,3,我要点外卖,喂~喂！我要一个这么大的披萨，这么大的薯条，这么大的可乐！快点哦，我饿屎了！,淋婉鱼,
171,3,混血的定义,我妈A型血，我爸B型血，我是混血儿~,混血儿,
172,3,闹鬼啦,学校的教室、食堂、图书馆、自习室每天都会上演这样的鬼故事：一个同学指着一个空荡荡的座位说，这儿有人~ ,大学生小M,
173,3,苹果与乔布斯,今儿问顾客，乔布斯是谁啊？顾客说：就是卖苹果的。唉，看来水果生意不好做啊 ！！  ,卖苹果滴大婶,
174,3,如何补脑,都说核桃能补脑，被门夹过的核桃还能补脑吗？,脑力工作者,
175,3,拔河申遗,拔河是咱们思密达滴，火星也是咱们思密达滴！,思密达,
176,3,如何自我保护,"今天问了一个大师,在这么复杂险恶的世界,我一个弱女子该如何保护自己? 结果大师让我把妆卸了~",大霉女,
177,3,请叫我叔,我存在，你婶婶的脑海里，你的梦里，你的心里，你的歌声里~,猥琐大叔,
178,3,难吃的糖果,樟脑丸是我吃过的味道最古怪的糖果，不明白为什么还有人买？,秀逗小子,
179,3,睡过头了,砖家说早上醒来不要马上起床，要在床上静卧五分钟。今天照做，结果再次醒来都已经中午了。。。,懒惰骚年,
180,3,怪我咯,天哪！全村中9亿彩票，一个倒霉人没买，这个倒霉人就是我，求我心理阴影面积T。T,倒霉蛋,
181,3,勾搭教学,你过来，我有个恋爱想跟你谈一下！,霸道总裁,
182,3,癖好,我有一个好习惯，在生活很宽裕的时候，我会在大衣口袋或者书本的夹层里夹点钱~,格子菌,
183,3,瀑布汗,今天遇到一个奇怪的病人，我请他躺到床上，按了几下他的肚皮，问他有什么感觉？他回答我感觉有人在按他肚皮，囧！,无奈滴医生,
184,3,誓言,再睡一会儿就起床，再吃一顿就减肥，再看一集就学习，再买一件就收手，再玩一会儿再说吧！,小黄黄,
185,3,疑惑,从前有一个百发百中的猎人，一天他碰到一只大雁，于是他连开三枪，全部打在了大雁上，可是大雁还是继续向前飞，这是为什么呢？ ,小骚年,
186,3,名言,间歇性踌躇满志，持续性混吃等死。 ,局长,
187,3,行车吐槽,夜间开车的人都知道，最可恨的就是 对方开着远光灯，会车时也不变换。 ,老司机,
188,4,王♂之摔♂跤,少年，我很看好你，想和我来一场摔♂跤比赛吗？,比利海0顿,
189,4,有木有wifi,啊~果然人生就是要一瓶可乐，一包薯片，一个psv，一台连好网络的电脑的组合度过啊~,某干物妹,
190,4,梁非凡在哪,吔屎吧！梁非凡！,刘醒,
191,4,普通的disco,快来跟我一起点头，黑喂狗！普通的disco我们普通的摇,恶搞兔,
192,4,水果新闻,听说今天凤梨对着一个已经烂的发黑的凤梨告白啦！他说黑凤梨啊！,某匿名水果,
193,4,某水果有什么好,你说某水果手机有什么好的，值的割肾吗，值得吗，嘛……,某医院割肾病人,
194,4,萝莉大法好,世界上没有什么是一个萝莉解决不了的，如果真的有，就来两个萝莉！,铁拳无敌,
195,5,友情出金是一种什么样的体验？,从来都没有的体验(꒦໊ྀʚ꒦໊ི ),与你同行的冒险者,
196,5,少年，不来一发么,传说中收到这封信的人，十连都出了闪。,大桥未久,
197,5,背锅,作为一个合格的背锅侠我无时无刻在为一些不知名的东西背锅。,主导者ΩJreaj,
198,5,竞技场歪果仁的爱,如果竞技场里强者太多，和歪果仁来一场决斗吧！至少我还有1胜4胜的碎片！,李二蛋,
199,5,萌新先爆有三宝,五虎，紫霞，至尊宝！！！,车车,
200,5,只是运气不好而已,继续努力，下一次文森就会爆契约石。,孤独旅行,
201,5,真正的冒险家来信,传说冒险家的信件也可以入选官方邮箱？没有错，当你看到这封信的时候，就证明那位传说中的冒险家是存在的！梦想总是要有的，不然怎么叫冒险家！,灬北斗灬,
202,5,友情,我虐矿魔千万遍，矿魔待我如初恋。什么？这次boss又没给你契约石？那是你们交情不行。末日、泉神、文森三缺一，打电话叫我过去凑个人，先不聊了。,主导者Ω秒之红茶,
203,5,你的朋友很少怎么办,教你一个快速交到朋友的办法哟：【“我喜欢你，我们在一起吧”“对不起我们还是做朋友吧”】，看又交到一个朋友！,觉醒的熏,
204,5,主角光环,免费的主角才是最强的，以后你会懂的。别问我『以后』是多久。,麦苗,
205,5,流行病,听说很多人患上了一种叫做两个小时就要打开手机每天晚上都要撑到12点每个礼拜二都觉得有大事要发生的病，什么？你已经被传染了？,骑着电驴追跑车,
206,5,老顽皮的留言,谁言先爆缺王者？老顽皮跳起来就是一刀……,非洲古天乐,
207,5,策划小道,道多才，常有文表于世。然江郎有才尽之时。小道之文，为数不多也。今其三拜九叩，五体投地，求于余足下。余大善，特书文以励之。,奇鲁莉安,
208,5,来自异世界的冒险家,就算来到了挖矿世界，我桐傲天依旧开着无双。,kirito,
209,5,叔叔阿姨好,新年好，您孩子多大了？结婚了么？有女朋友么？买车了么？房子买好了么？！哦还在上学啊？成绩怎么样？留学么？！叔叔阿姨再见～,艾因兹贝,
210,5,要虔诚,是不是经常十连不出金？是不是经常boss处辣鸡？是不是经常被电磁炮轰趴？这是因为你不够虔诚～,艾因兹贝,
211,5,成名,想知道怎么从默默无闻的杂鱼变成众所周知的欧（qiu）皇（zhang）吗？来官方贴吧直播一发吧。,tomoyo,
212,5,玄不救命氪不改非,10连一直不出货？看着欧皇们晒脸各种羡慕？好好研读一下这本《玄学》吧，然后你就会发现。。。这并没有什么卯月╮(╯▽╰)╭,乐天π,
213,5,咸鱼翻身,冒险者，只有浸过咸咸的泪，浴过灼烫的火，才会真的成长，然后翻身，继续烤另一面。嗯，味道不错，来一串吗?,海贼御厨,
214,5,校长想和你谈谈,听说就是你抢了我的合战第一？晚上来我办公室，我们谈谈人♂生,校长,
215,5,酋长嘱咐,"非洲人参与话题活动是拿不到礼物的,不信你看我。",艾伦因贝尔,
216,5,勇者的使命,我想起那年夕阳下老勇者床底下那瓶八二年的雪碧。,无名氏,
217,5,都市传说,听说凌晨1点整抽卡能得到欧洲BUFF，至于你信不信，反正我是信了。,欧洲细作,
218,5,保证睡眠,健康的作息才是玩好游戏的保证，不要为了卡时间收菜而减少睡眠哦！,鱼肉丸子,
219,5,炮姐,没有一炮解决不了的敌人，如果有那就是两炮。,久零玖肆,
220,5,我是要成为欧皇的男人,闪金？那是什么？,帕伊西斯,
