ID,类型,返利天数,返利类型,子类型,返利数量,描述
74,3,12,2|2|2,2|42|3,1667|5|2000,
75,3,13,2|2|2,2|42|3,1667|5|2000,
76,3,14,2|2|2,2|42|3,1667|5|2000,
77,3,15,2|2|2,2|42|3,1667|5|2000,
78,3,16,2|2|2,2|42|3,1667|5|2000,
79,3,17,2|2|2,2|42|3,1667|5|2000,
80,3,18,2|2|2,2|42|3,1667|5|2000,
81,3,19,2|2|2,2|42|3,1667|5|2000,
82,3,20,2|2|2,2|42|3,1667|5|2000,
83,3,21,2|2|2,2|42|3,1667|5|2000,
84,3,22,2|2|2,2|42|3,1667|5|2000,
85,3,23,2|2|2,2|42|3,1667|5|2000,
86,3,24,2|2|2,2|42|3,1667|5|2000,
87,3,25,2|2|2,2|42|3,1667|5|2000,
88,3,26,2|2|2,2|42|3,1667|5|2000,
89,3,27,2|2|2,2|42|3,1667|5|2000,
90,3,28,2|2|2,2|42|3,1667|5|2000,
91,3,29,2|2|2,2|42|3,1667|5|2000,
92,3,30,2|2|2,2|42|3,1667|5|2000,
93,3,31,2|2|2,2|42|3,1667|5|2000,
94,4,1,2|8,2|19000142,500|1,投資后可獲得大量血鑽與小葉子
95,4,2,2|2,2|3,150|500,
96,4,3,2|2,2|3,150|500,
97,4,4,2|2,2|3,150|500,
98,4,5,2|2,2|3,150|500,
99,4,6,2|2,2|3,150|500,
100,4,7,2|2,2|3,150|500,
101,4,8,2|2,2|3,150|500,
102,4,9,2|2,2|3,150|500,
103,4,10,2|2,2|3,150|500,
104,4,11,2|2,2|3,150|500,
105,5,1,2|8,2|19000103,2500|1,投資后可獲得大量血鑽與妖姬
106,5,2,2|1,2|10000074,1000|1,
107,5,3,2|1,2|10000074,1000|1,
108,5,4,2|1,2|10000074,1000|1,
109,5,5,2|1,2|10000074,1000|1,
110,5,6,2|1,2|10000074,1000|1,
111,5,7,2|1,2|10000074,1000|1,
112,5,8,2|1,2|10000074,1000|1,
113,5,9,2|1,2|10000074,1000|1,
114,5,10,2|1,2|10000074,1000|1,
115,5,11,2|1,2|10000074,1000|1,
116,6,1,2|8,2|19000163,5000|1,投資后可獲得大量血鑽與齊格飛
117,6,2,2|1,2|10000075,2500|1,
118,6,3,2|1,2|10000075,2500|1,
119,6,4,2|1,2|10000075,2500|1,
120,6,5,2|1,2|10000075,2500|1,
121,6,6,2|1,2|10000075,2500|1,
122,6,7,2|1,2|10000075,2500|1,
123,6,8,2|1,2|10000075,2500|1,
124,6,9,2|1,2|10000075,2500|1,
125,6,10,2|1,2|10000075,2500|1,
126,6,11,2|1,2|10000075,2500|1,
