ID,资源名,品质,图标,描述,奖励id,使用限制（1，表示一天只能吃一次）,Key,自定义参数
34,生命精华,5,icon/resource/contract_res4.png,奇怪的药水，合成材料之一。传说是用82年的牛奶合成，来，压压惊。（可从矿区宝箱和高级boss中获得）,,,,
35,契约石,6,icon/resource/contract_stone.png,立于顶端的材料之一，用于二段契约，可从合战，矿区高级宝箱以及森文督姆的掉落中获得。,,,,
36,经验,5,icon/resource/exp_resource.png,经验，俗称exp，用于佣兵升级,,,,
37,友情点数,5,icon/resource/friend.png,,,,,
38,黏土钥匙,4,icon/resource/key1.png,土制钥匙。用于开矿区低级宝箱，可从黑市获得。其实人也是土捏出来的……,,,,
39,白银钥匙,5,icon/resource/key2.png,白银制作的独特钥匙。用于开矿区中级宝箱，可从黑市获得。白银是好东西。,,,,
40,恶魔钥匙,6,icon/resource/key3.png,恶魔残骸制作的高级钥匙。用于开矿区高端的宝箱，可从黑市获得。恶魔表示没有买卖就没有杀害。,,,,
41,合战赛点,1,icon/resource/gassen_point.png,赛点决定赛季排行，并可以赛季结束后兑换奖励,,,,
42,树木雕像,5,icon/resource/golem2.png,特殊资源，用于觉醒，获得途径：巨魔巢穴，黑市，高级魔铁杂兵。我种下一颗种子……,,,,
43,染色雕像,5,icon/resource/golem3.png,特殊资源，用于觉醒，获得途径：巨魔巢穴，高级魔铁杂兵。你以为这是红木做的，不，它只是多染了一层颜色,,,,
44,青空雕像,5,icon/resource/golem4.png,高级资源，用于觉醒，获得途径：巨魔巢穴。黑市,,,,
45,白色魂骨,1,icon/resource/soul01.png,解雇白色品质佣兵所获得的魂骨。,,,,
46,绿色魂骨,2,icon/resource/soul02.png,解雇绿色品质佣兵所获得的魂骨。,,,,
47,蓝色魂骨,3,icon/resource/soul03.png,解雇蓝色品质佣兵所获得的魂骨。,,,,
48,紫色魂骨,4,icon/resource/soul04.png,解雇紫色品质佣兵所获得的魂骨。,,,,
49,金色魂骨,5,icon/resource/soul05.png,解雇金色品质佣兵所获得的魂骨。,,,,
50,闪金魂骨,6,icon/resource/soul06.png,解雇闪金品质佣兵所获得的魂骨。,,,,
51,sth1,5,icon/resource/golem4.png,,,,,
52,sth2,5,icon/resource/golem4.png,,,,,
53,公会战积分,5,icon/entrust/icon_prestige.png,公会战积分,,,,
54,水晶,5,icon/resource/rune_stone.png,特殊资源，用于抽取符文。这是从矿山中新发现的神秘物质，有很好的附魔能力，符文制作者非常喜欢。,,,,
55,水晶包,6,icon/festival/crystal_box.png,内含1000水晶。,2016010101,,,
