ID,英雄名,碎片消耗,消耗契约石,1强所需灵魂石1,1强所需灵魂石数量1,1强所需灵魂石2,1强所需灵魂石数量2,1强所需灵魂石3,1强所需灵魂石数量3,1强先攻加成,1强防御加成,1强闪避加成,1强王者加成,契约等级,消耗魂骨,消耗魂骨2
17000006,服部半藏,300,3,,,,,,,4,0,0,0,0,47|24,46|50
17000007,历来米亚,300,3,,,,,,,0,2,2,0,0,47|24,46|50
17000008,达罗斯米亚,300,3,,,,,,,4,0,0,0,0,47|24,46|50
17000009,艾锐尔米亚,300,3,,,,,,,0,0,4,0,0,47|24,46|50
17000010,爵士凯,300,3,,,,,,,0,0,4,0,0,47|24,46|50
17000011,迪卢木多,300,3,,,,,,,4,0,0,0,0,47|24,46|50
17000012,梅林,300,3,,,,,,,4,0,0,0,0,47|24,46|50
17000013,马忠,300,3,,,,,,,0,4,0,0,0,47|24,46|50
17000014,土方岁三,300,3,,,,,,,0,4,0,0,0,47|24,46|50
17000015,托比·托普兰,300,3,,,,,,,2,0,2,0,0,47|24,46|50
17000016,钢锻精英卫士,300,3,,,,,,,4,0,0,0,0,47|24,46|50
17000017,破甲者比亚,300,3,,,,,,,0,0,4,0,0,47|24,46|50
17000018,早乙女.女,300,3,,,,,,,2,2,0,0,0,47|24,46|50
17000019,小茜,300,3,,,,,,,4,0,0,0,0,47|24,46|50
17000020,苍雷,300,3,,,,,,,0,0,4,0,0,47|24,46|50
17000021,沐志,300,3,,,,,,,0,0,4,0,0,47|24,46|50
17000022,珊噗,300,3,,,,,,,2,2,0,0,0,47|24,46|50
17000023,蕾见不二籽,300,3,,,,,,,4,0,0,0,0,47|24,46|50
17000024,德川家茂,300,3,,,,,,,4,0,0,0,0,47|24,46|50
17000025,大乔,300,3,,,,,,,2,2,0,0,0,47|24,46|50
17000026,小乔,300,3,,,,,,,4,0,0,0,0,47|24,46|50
17000027,黄月英,300,3,,,,,,,2,2,0,0,0,47|24,46|50
17000028,机械工程兵A,300,3,,,,,,,2,2,0,1,0,47|24,46|50
17000029,机械工程兵B,300,3,,,,,,,0,2,2,0,0,47|24,46|50
17000030,千女神,300,3,,,,,,,2,0,2,0,0,47|24,46|50
17000031,茶茶,300,3,,,,,,,4,0,0,0,0,47|24,46|50
17000032,阿初,300,3,,,,,,,4,0,0,0,0,47|24,46|50
17000033,阿江,300,3,,,,,,,2,2,0,0,0,47|24,46|50
17000034,少先队员,300,3,,,,,,,2,0,2,0,0,47|24,46|50
17000035,九鬼嘉隆,300,3,,,,,,,0,2,2,0,0,47|24,46|50
17000036,寒鸦号爱德华,300,3,,,,,,,0,2,2,0,0,47|24,46|50
17000037,黑萨姆,300,3,,,,,,,0,4,0,0,0,47|24,46|50
17000038,巴沙洛缪·罗伯茨,300,3,,,,,,,0,2,2,0,0,47|24,46|50
18000001,宫本武藏,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000002,哈桑萨巴赫,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000003,美杜莎,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000004,托尔,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000005,高文,600,3,,,,,,,0,2,2,0,0,48|18,47|40
18000006,兰斯洛特,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000007,特里斯坦,600,3,,,,,,,0,2,2,0,0,48|18,47|40
18000008,人魔之子,600,3,,,,,,,0,2,2,0,0,48|18,47|40
18000009,关云长,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000010,赵子龙,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000011,吕奉先,600,3,,,,,,,2,0,2,0,0,48|18,47|40
18000012,夜兔族少女,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000013,大天使米色尔,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000014,柳生十兵卫,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000015,早乙女.男,600,3,,,,,,,2,0,2,0,0,48|18,47|40
18000016,牙拳小p,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000017,路西法,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000018,黑龙奥萨拉,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000019,桂小五郎,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000020,丹妮莉丝,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000021,坂本龙马,600,3,,,,,,,0,2,2,0,0,48|18,47|40
18000022,貂蝉,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000023,张翼德,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000024,行者武松,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000025,花和尚鲁智深,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000026,马超,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000027,黄忠,600,3,,,,,,,2,0,2,0,0,48|18,47|40
18000028,比尔博巴金丝,600,3,,,,,,,2,0,2,0,0,48|18,47|40
18000029,都教授,600,3,,,,,,,2,0,2,0,0,48|18,47|40
18000030,口袋猫,600,3,,,,,,,2,0,2,0,0,48|18,47|40
18000031,奥巴马,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000032,郭嘉,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000033,金三胖,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000034,甄姬,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000035,万年小学生,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000036,奶茶妹,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000037,卫宫土郎,600,3,,,,,,,2,0,2,0,0,48|18,47|40
18000038,苍老师,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000039,爱伦,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000040,三师弟,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000041,至尊宝,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000042,吊车尾少年,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000043,宁宁,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000044,竹中半兵卫,600,3,,,,,,,2,0,2,0,0,48|18,47|40
18000045,黑田官兵卫,600,3,,,,,,,2,0,2,0,0,48|18,47|40
18000046,雷震子,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000047,挖掘鸡,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000048,焦作仁,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000049,斯巴达战士,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000050,斯巴达战士,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000051,斯巴达战士,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000052,斯巴达战士,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000053,快乐的羔羊,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000054,八神,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000055,草薙,600,3,,,,,,,2,0,2,0,0,48|18,47|40
18000056,库拉,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000057,扑姬,600,3,,,,,,,0,2,2,0,0,48|18,47|40
18000058,黄色顽石,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000059,喜鹊,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000060,金金,600,3,,,,,,,2,2,0,0,0,48|18,47|40
18000061,升天的扫地僧,600,3,,,,,,,0,2,2,0,0,48|18,47|40
18000062,找制杖的少女,600,3,,,,,,,2,0,2,0,0,48|18,47|40
18000063,迪西,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000064,鹦鹉,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000065,海贼猎人,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000066,罗当家,600,3,,,,,,,0,2,2,0,0,48|18,47|40
18000067,邦邦,600,3,,,,,,,0,0,0,2,0,48|18,47|40
18000068,黑足,600,3,,,,,,,4,0,0,0,0,48|18,47|40
18000069,鱼人骑,600,3,,,,,,,0,2,2,0,0,48|18,47|40
18000070,土匪,600,3,,,,,,,0,4,0,0,0,48|18,47|40
18000071,警察,600,3,,,,,,,0,0,4,0,0,48|18,47|40
18000072,虫狗,600,3,,,,,,,0,2,2,0,0,48|18,47|40
19000001,亚瑟,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000002,吉尔加美蛇,2500,3,,,,,,,0,0,4,1,2,49|12,48|30
19000003,尼基塔米亚,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000004,阿鲁克迪斯,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000005,觉醒的薰,2500,3,,,,,,,0,0,4,1,2,49|12,48|30
19000006,魔化西德列,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000007,坂田金时,2500,3,,,,,,,0,4,0,1,2,49|12,48|30
19000008,真·亚瑟,2500,3,,,,,,,0,0,4,1,2,49|12,48|30
19000009,织田信长,2500,3,,,,,,,2,0,2,1,2,49|12,48|30
19000010,圣女贞德,2500,3,,,,,,,0,3,4,1,2,49|12,48|30
19000011,众神之王宙斯,2500,3,,,,,,,2,0,2,1,2,49|12,48|30
19000012,盖亚,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000013,奎托斯,2500,3,,,,,,,2,2,0,1,2,49|12,48|30
19000014,大刑天,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000015,奥丁,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000016,魔神撒旦,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000017,金龙阿雷撒,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000018,圣龙纳多,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000020,高杉晋作,2500,3,,,,,,,2,0,2,1,2,49|12,48|30
19000021,伊斯力,2500,3,,,,,,,2,2,0,1,2,49|12,48|30
19000022,神关羽,5000,3,,,,,,,2,2,0,3,2,50|6,49|20
19000023,魔化信长,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000024,星美451,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000025,武田信玄,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000026,神张飞,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000027,亚瑟·戴恩,5000,3,,,,,,,0,0,4,3,2,50|6,49|20
19000028,卓戈卡奥,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000029,魔山格雷果,2500,3,,,,,,,2,0,2,1,2,49|12,48|30
19000030,纳兹古,2500,3,,,,,,,0,4,0,1,2,49|12,48|30
19000031,纳兹古王,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000032,蜀王刘备,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000033,披萨魔女,2500,3,,,,,,,0,0,4,1,2,49|12,48|30
19000034,普京,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000035,扫地僧,5000,3,,,,,,,0,0,4,3,2,50|6,49|20
19000036,亚丝娜,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000037,zero,2500,3,,,,,,,0,0,4,1,2,49|12,48|30
19000038,梦魇狂三,5000,3,,,,,,,0,0,4,3,2,50|6,49|20
19000039,甩葱少女,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000040,草泥马,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000041,曹操,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000042,SaberLily,2500,3,,,,,,,2,2,0,1,2,49|12,48|30
19000043,骑士王,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000044,两仪shiki,5000,3,,,,,,,0,0,4,3,2,50|6,49|20
19000045,三爷,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000046,死鱼眼兵长,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000047,唐三,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000048,猴子,5000,3,,,,,,,0,2,2,3,2,50|6,49|20
19000049,逗13,2500,3,,,,,,,2,2,0,1,2,49|12,48|30
19000050,黑哨,2500,3,,,,,,,2,0,2,1,2,49|12,48|30
19000051,紫霞仙子,2500,3,,,,,,,2,0,2,1,2,49|12,48|30
19000052,夫子,5000,3,,,,,,,0,2,2,3,2,50|6,49|20
19000053,老子,5000,3,,,,,,,0,2,2,3,2,50|6,49|20
19000054,二助子,2500,3,,,,,,,0,4,0,1,2,49|12,48|30
19000055,德川家康,2500,3,,,,,,,2,0,2,1,2,49|12,48|30
19000056,丰臣秀吉,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000057,黑衣少女,2500,3,,,,,,,2,2,0,1,2,49|12,48|30
19000058,末日主宰,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000059,电磁炮少女,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000060,朱雀,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000061,红茶学姐,2500,3,,,,,,,2,2,0,1,0,49|12,48|30
19000062,圆神,5000,3,,,,,,,2,0,2,3,0,50|6,49|20
19000063,晓美吼姆拉,2500,3,,,,,,,2,0,2,1,0,49|12,48|30
19000064,怒首领鸡,5000,3,,,,,,,2,2,0,3,0,50|6,49|20
19000065,盗贼克星,5000,3,,,,,,,4,0,0,3,0,50|6,49|20
19000066,炎发的讨伐者,2500,3,,,,,,,2,0,2,1,0,49|12,48|30
19000067,光滑的弟,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000068,庞麦郎,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000069,斯巴达守卫者,2500,3,,,,,,,0,4,0,1,0,49|12,48|30
19000070,斯巴达守卫者,2500,3,,,,,,,0,4,0,1,0,49|12,48|30
19000071,斯巴达守卫者,2500,3,,,,,,,0,4,0,1,0,49|12,48|30
19000072,斯巴达精英,5000,3,,,,,,,0,4,0,3,0,50|6,49|20
19000073,列奥尼达,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000074,哥特萝莉,5000,3,,,,,,,0,0,0,9,0,50|6,49|20
19000075,水母脑袋,2500,3,,,,,,,0,4,0,1,2,49|12,48|30
19000076,福小咩,5000,3,,,,,,,0,0,4,3,2,50|6,49|20
19000077,暴走八神,5000,3,,,,,,,2,0,2,3,2,50|6,49|20
19000078,暴走莉安娜,5000,3,,,,,,,2,0,2,3,2,50|6,49|20
19000079,热斗草薙,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000080,大蛇,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000081,伊斯坎达尔,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000082,御雕少年,2500,3,,,,,,,2,0,2,1,2,49|12,48|30
19000083,古墓少女,5000,3,,,,,,,0,2,2,3,2,50|6,49|20
19000084,漆黑顽石,2500,3,,,,,,,2,2,0,1,2,49|12,48|30
19000085,牛郎,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000086,织女,5000,3,,,,,,,0,2,2,3,2,50|6,49|20
19000087,嫦娥,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000088,玉兔,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000089,坷坷,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000090,垃垃,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000091,托尼托尼,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000092,MZ星.欧皇,2500,3,,,,,,,0,0,4,1,2,49|12,48|30
19000093,草帽小子,5000,3,,,,,,,2,0,0,4,2,50|6,49|20
19000094,皮神,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000095,小苍,5000,3,,,,,,,0,0,4,3,2,50|6,49|20
19000096,杰克船长,2500,3,,,,,,,0,4,0,1,2,49|12,48|30
19000097,小北,5000,3,,,,,,,2,0,2,3,2,50|6,49|20
19000098,皇家私掠者,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000099,红胡子,2500,3,,,,,,,0,4,0,1,2,49|12,48|30
19000100,安妮·波妮,2500,3,,,,,,,2,0,2,1,2,49|12,48|30
19000101,大明李提都,5000,3,,,,,,,0,2,2,3,2,50|6,49|20
19000102,火拳,5000,3,,,,,,,2,0,0,4,2,50|6,49|20
19000103,蛇姬,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000104,八神,2500,3,,,,,,,2,0,2,1,2,49|12,48|30
19000105,草薙,2500,3,,,,,,,2,2,0,1,2,49|12,48|30
19000106,神乐,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000107,,0,0,,,,,,,0,0,0,0,0,0,0
19000108,小鞭炮,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000109,土豪战,2500,3,,,,,,,0,2,2,1,2,49|12,48|30
19000110,龙牧,5000,3,,,,,,,0,2,2,3,2,50|6,49|20
19000111,WCG,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000112,冲锋兵,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000113,双刀武士,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000114,小黑,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000115,冰女,5000,3,,,,,,,2,2,0,3,2,50|6,49|20
19000116,半人马,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000117,魅族金刚熊猫,2500,3,,,,,,,0,0,0,0,0,49|12,48|30
19000118,生化魔王,2500,3,,,,,,,0,0,0,0,0,49|12,48|30
19000119,真.生化魔王,5000,3,,,,,,,0,0,0,4,2,50|6,49|20
19000120,银发冒险家,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000121,九尾妖狐,5000,3,,,,,,,2,0,2,3,2,50|6,49|20
19000122,流浪武士,5000,3,,,,,,,0,2,2,3,2,50|6,49|20
19000124,真.斯巴达,5000,3,,,,,,,5,0,0,3,2,50|6,49|20
19000125,喵喵女,2500,3,,,,,,,0,4,0,1,2,49|12,48|30
19000126,亚马逊女战士,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000127,超级记者,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000128,猫头鹰侠,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000129,皮蛋超人,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000130,怪娃娃,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000131,蜜饯超人,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000132,魔鬼机械人,5000,3,,,,,,,2,0,2,3,2,50|6,49|20
19000133,光头师匠,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000135,白娃,2500,3,,,,,,,0,4,0,1,2,49|12,48|30
19000136,唐山猛龙,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000137,孙策,5000,3,,,,,,,0,4,0,3,2,50|6,49|20
19000139,自由骑士,2500,3,,,,,,,2,2,0,1,2,49|12,48|30
19000140,盲侠,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000141,灰袍,5000,3,,,,,,,0,0,4,3,2,50|6,49|20
19000142,小叶子,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
19000144,黑曼巴,2500,3,,,,,,,4,0,0,1,2,49|12,48|30
19000145,猎魔人,2500,3,,,,,,,0,0,4,1,2,49|12,48|30
19000146,昆特牌大师,5000,3,,,,,,,4,0,0,3,2,50|6,49|20
