ID,事件名,事件描述,事件等级,Mercenary ID,任务类型（1，战斗任务 2，道具任务 3，资源任务 4，纯事件）,怪物组ID,战斗怪物组,需求道具,货币类型,需求数量,失败冷却（单位秒）,奖励组,掉落次数
1000021,战斗事件,#1#喂喂，你某种程度上也算是魔王啊，这么早登场没问题？#2#王不走，部下怎么会跟上,,19000037,1,1000021,,,1,8,2,100002100,1
1000022,战斗事件,#1#什么样时候令你觉得世界仿佛静止一般#2#有个不知道雪为什么是白的家伙说很喜欢雪的时候,,19000033,1,1000022,,,1,8,2,100002200,1
1000023,战斗事件,#2#人生五十年，与天地长久相较，如梦又似幻；一度得生者，岂有不灭者乎#1#啊，敌人在本能寺,,19000023,1,1000023,,,1,8,2,100002300,1
1000024,战斗事件,#2#要吃禁果吗#1#给我来一打,,19000016,1,1000024,,,1,8,2,100002400,1
1000025,战斗事件,#2#世界臣服于我!#1#AllHailLelouch,,19000037,1,1000025,,,1,8,2,100002500,1
1000026,战斗事件,#2#知道早乙女的下落吗#1#知道哦，不过有奖励吗#2#好吧，你告诉我，我就告诉你一个好地方,,17000022,1,1000026,,,1,14,2,100002600,1
1000027,战斗事件,#2#我最讨厌早乙女了！#1#（这算是傲娇吗……）,,17000019,1,1000027,,,1,14,2,100002700,1
1000028,战斗事件,#2#你这地方真是难找#1#……这么近的距离难为你走这么久了,,18000016,1,1000028,,,1,14,2,100002800,1
1000029,战斗事件,#2#罗密欧和茱丽叶是什么关系?#1#父女,,17000018,1,1000029,,,1,14,2,100002900,1
1000030,战斗事件,#1#你讨厌小倩吗#2#如果我讨厌她，就不会这么烦恼了！,,18000015,1,1000030,,,1,14,2,100003000,1
1000031,战斗事件,#1#我来见识下传说中的燕返#2#那不是多么了不起的技艺#2#只是偶尔想要斩下燕子，就自然学到的东西而已,,17000002,1,1000031,,,1,16,2,100003100,1
1000032,战斗事件,"#2#身可死,武士之名不可弃#2#不离武道",,18000001,1,1000032,,,1,16,2,100003200,1
1000033,战斗事件,#1#柳生新阴流的无刀取，久仰大名，特来见识#2#其实你找个百分百被空手入白刃的就可以自己体验无刀取了,,18000014,1,1000033,,,1,16,2,100003300,1
1000034,战斗事件,#2#哈哈哈，又见面了，这次换你迷路了吗#2#我这叫游历好吗,,17000006,1,1000034,,,1,16,2,100003400,1
1000035,战斗事件,#2#忍法发动#1#我去，这和形象不符啊,,18000043,1,1000035,,,1,16,2,100003500,1
1000036,战斗事件,#1#与人决斗，有什么诀窍吗？#2#在不清楚对手的能力前，以闪避战。,,17000002,1,1000036,,,1,18,2,100003600,1
1000037,战斗事件,#1#听说你是二刀流的创造者？#2#有的人身法快，能闪避掉攻击，这个时候就只能多砍一刀了,,18000001,1,1000037,,,1,18,2,100003700,1
1000038,战斗事件,#1#你为什么只用一只眼来看东西？#2#肉眼能看到的是有限的，会被闪避所欺骗；用刀来看则不会错。,,18000014,1,1000038,,,1,18,2,100003800,1
1000039,战斗事件,#2#哈哈哈，又见面了，这次有啥新招呀#2#这次我可以躲避你的攻击#1#那我就试试是否能打中你,,17000006,1,1000039,,,1,18,2,100003900,1
1000040,战斗事件,#2#忍法发动中……我闪！#1#看我必中！不复制不黏贴！,,18000043,1,1000040,,,1,18,2,100004000,1
1000041,战斗事件,#2#需要我教你我最强的计策吗,,18000044,1,1000041,,,1,18,2,100004100,1
1000042,战斗事件,#2#其疾如风，其徐如林，侵掠如火，不动如山#1#难知如阴，动如雷震,,19000025,1,1000042,,,1,18,2,100004200,1
1000043,战斗事件,#1#杜鹃鸟不叫，怎么办#2#杀了,,19000009,1,1000043,,,1,18,2,100004300,1
1000044,战斗事件,#2#使它叫#1#回答的太快了,,19000056,1,1000044,,,1,18,2,100004400,1
1000045,战斗事件,#1#算了，不用在意这个问题了，吃茄子去吧#2#恩，那才是称霸天下的男人的食物,,19000055,1,1000045,,,1,18,2,100004500,1
1000046,战斗事件,#1#请赐教#2#以退为进，以守为攻，不失为一条良策,,18000044,1,1000046,,,1,20,2,100004600,1
1000047,战斗事件,#2#其疾如风，其徐如林，不动如山，你打算如何破？#1#唯有破防,,19000025,1,1000047,,,1,20,2,100004700,1
1000048,战斗事件,#1#请教如何破防？#2#有一类技能，无视防御，则可破防,,19000009,1,1000048,,,1,20,2,100004800,1
1000049,战斗事件,#2#什么？总是无法打出高伤害？看到敌人在防守，则破其防#1#多谢指点,,19000056,1,1000049,,,1,20,2,100004900,1
1000050,战斗事件,#1#技不如人的时候怎么办？#2#以退为进，以守为攻，不失为一条良策,,19000055,1,1000050,,,1,20,2,100005000,1
1000051,战斗事件,#1#小次郎兄，又在看门啊#2#总比没登场机会的汪酱好吧,,17000002,1,1000051,,,1,25,2,100005100,1
1000052,战斗事件,#1#我想要一个saber的等身手办#2#我还想要呢,,17000001,1,1000052,,,1,25,2,100005200,1
1000053,战斗事件,#1#hello#2#哦……哦……哦……#1#语言不通啊……,,17000004,1,1000053,,,1,25,2,100005300,1
1000054,战斗事件,#2#喔喔喔喔!危险!!!Master(慎二)!!!#1#R姐，我还在攻击范围内啊,,18000003,1,1000054,,,1,25,2,100005400,1
1000055,战斗事件,#1#眼冒星光吃的吃货，拍照拍照#2#嗯.嗯.(狼吞虎咽中……),,19000043,1,1000055,,,1,25,2,100005500,1
1000056,战斗事件,#1#请赐教#2#速战速决，我不会给你太多出手的机会。#1#那么我需要比你更快出手了,,17000002,1,1000056,,,1,28,2,100005600,1
1000057,战斗事件,#1#放开我的正品saber的等身手办！！！#2#比我先出手我就还给你呀~,,17000001,1,1000057,,,1,28,2,100005700,1
1000058,战斗事件,#1#听说出手一定要快？#2#快只是一个传说，先快过我再说吧。,,17000004,1,1000058,,,1,28,2,100005800,1
1000059,战斗事件,#2#我会手下留情的，只是出手会比较快#1#R姐，根本快不过你啊，你这样子我打的好累哎……,,18000003,1,1000059,,,1,28,2,100005900,1
1000060,战斗事件,#1#捕捉到一个眼冒星光吃东西的吃货，拍照拍照#2#嗯.嗯.(狼吞虎咽中……)多吃点，这样出手就更快了,,19000043,1,1000060,,,1,28,2,100006000,1
1000061,战斗事件,#1#这酒与你们的血同在#2#……,,18000002,1,1000061,,,1,64,2,100006100,1
1000062,战斗事件,#2#费奥纳骑士团迪卢木多·奥迪那参上,,17000011,1,1000062,,,1,64,2,100006200,1
1000063,战斗事件,#1#咦，你怎么在这#2#闭嘴，杂种！！你没有直视本王的权力，蝼蚁就应该有蝼蚁样,,19000002,1,1000063,,,1,64,2,100006300,1
1000064,战斗事件,#1#把你的后宫给我#2#不要,,18000037,1,1000064,,,1,64,2,100006400,1
1000065,战斗事件,#2#顾客就是上帝？上帝已死！#1#喂喂，拿错台本了吧,,19000042,1,1000065,,,1,64,2,100006500,1
1000066,战斗事件,#2#喝下这杯酒，让血肉之躯变为钢铁长城！#1#这是什么奇怪的酒，我看你一直在回血……,,18000002,1,1000066,,,1,70,2,100006600,1
1000067,战斗事件,#2#费奥纳骑士团迪卢木多·奥迪那参上！#1#枪叔你换了新战甲吗，好好看！#2#这可不是光好看！有强力的回复加持！,,17000011,1,1000067,,,1,70,2,100006700,1
1000068,战斗事件,#2#杂种！！蝼蚁！！就凭你也想伤到本王！你以为本王辛苦搜集到的黄金铠甲只是好看的吗！,,19000002,1,1000068,,,1,70,2,100006800,1
1000069,战斗事件,#1#你的后宫都是来逗比吧#2#谁说的！！！没看到她们都是我强力的奶妈团吗？,,18000037,1,1000069,,,1,70,2,100006900,1
1000070,战斗事件,#2#怎样才能怎么打都打不死#1#强大的御敌能力，除了装备以外更重要的来自你的心！还得要一点点的回复能力啦,,19000042,1,1000070,,,1,70,2,100007000,1
1000071,战斗事件,#1#骑士最重要的是什么，剑吗#2#不，是心,,19000027,1,1000071,,,1,85,2,100007100,1
1000072,战斗事件,#1#你的辫子好长啊#2#这可是战士的荣誉,,19000028,1,1000072,,,1,85,2,100007200,1
1000073,战斗事件,#2#我会拿回属于我的东西，用火焰和鲜血,,18000020,1,1000073,,,1,85,2,100007300,1
1000074,战斗事件,#2#我可是以自己的意志放弃了戒指的，哈哈哈#1#恩，你办到了许多人都没办到的事情,,18000028,1,1000074,,,1,85,2,100007400,1
1000075,战斗事件,#2#你还不知道吧，没有MAN杀得了我#1#事实上你跪了……,,19000031,1,1000075,,,1,85,2,100007500,1
1000076,战斗事件,#1#骑士之心能带来什么？#2#必胜的信念，以及必中的攻击,,19000027,1,1000076,,,1,94,2,100007600,1
1000077,战斗事件,#2#知道我为什么能有如此惊人的战绩吗，就是因为我的攻击命中率高啊,,19000028,1,1000077,,,1,94,2,100007700,1
1000078,战斗事件,#2#人们都说我是圣母，却不知道我还有一项能力#1#哦？是什么？#2#我的攻击无人可躲,,18000020,1,1000078,,,1,94,2,100007800,1
1000079,战斗事件,#2#想知道长寿的秘诀吗，就是干掉你的对手#1#可是怎么做到这一点呢？#2#如果你像我一样，攻击是必中的，那么就很轻松了,,18000028,1,1000079,,,1,94,2,100007900,1
1000080,战斗事件,#2#在魔戒的回血下，我近乎是不死身啊#1#天真，只要输出足够，就没有什么是不死身,,19000031,1,1000080,,,1,94,2,100008000,1
1000081,战斗事件,#2#欢迎来到能力者的世界#1#哦，听起来很炫啊，这位兄台表演一下#2#（望天）呐，在任何世界，总是有学渣存在的#1#你说的好有道理，我竟然无言以对,,11000025,1,1000081,,,1,94,2,100008100,1
1000082,战斗事件,#2#想要零用钱就自己去赚#1#你知道这一句话造成多大麻烦吗,,16000009,1,1000082,,,1,94,2,100008200,1
1000083,战斗事件,#2#打扰我睡眠的人将受到诅咒#1#这话我喜欢,,17000023,1,1000083,,,1,94,2,100008300,1
1000084,战斗事件,#2#喂喂，一起来看写真杂志吧#1#这是在性骚扰吗，破坏的女王,,19000005,1,1000084,,,1,94,2,100008400,1
1000085,战斗事件,#2#接下来是我个人的干架。不好意思，我要出手了啊。#1#等等，为什么炮姐你会在这，画风不对啊#2#作为超能力者的我在这有什么问题啊#1#这么说也对哦,,19000059,1,1000085,,,1,94,2,100008500,1
1000086,战斗事件,#2#欢迎来到能力者的世界#1#你有什么超能力？#2#所有的防御在我面前都是无效的#1#没事，我闪掉就行了,,11000025,1,1000086,,,1,103,2,100008600,1
1000087,战斗事件,#2#我打#1#我闪#2#我再打#1#我还闪哈哈哈哈，无视防御有什么用，我能闪,,16000009,1,1000087,,,1,103,2,100008700,1
1000088,战斗事件,#2#我不怕你有防御，因为我直接无视它啊，哈哈哈#1#那我就裸衣和你大战三百回合,,17000023,1,1000088,,,1,103,2,100008800,1
1000089,战斗事件,#1#有人说我要堆防御#2#堆吧（哈哈哈，我无视防御啊）,,19000005,1,1000089,,,1,103,2,100008900,1
1000090,战斗事件,#2#来受我一发超电磁炮#1#等等，我怎么感觉这除了伤害以外还有别的效果#2#蛮敏锐的吗，这招自带破甲哦#1#纳尼,,19000059,1,1000090,,,1,103,2,100009000,1
1000091,战斗事件,#2#高考还是要考的好一点#1#为什么？#2#因为这很可能就是你这辈子唯一拿得出手炫耀的东西了。#1#我竟无言以对,,16000009,1,1000091,,,1,103,2,100009100,1
1000092,战斗事件,#1#请问如何启动你的接吻魔模式？#2#程序已经设定为，见到帅哥自动发动。,,17000023,1,1000092,,,1,103,2,100009200,1
1000093,战斗事件,#1#听说你儿子很多，请问怎么做到的？#2#广开后宫，有着即使变成牛也要追到妹子的决心就够！只要有爱，一切都可以搞定！,,19000011,1,1000093,,,1,103,2,100009300,1
1000094,战斗事件,#2#喂，你知道必胜客的电话号码吗？#1#不知道，干嘛？#2#我想吃必胜客最新款的披萨。,,19000033,1,1000094,,,1,103,2,100009400,1
1000095,战斗事件,#2#愚民们！臣服于本公主吧！#1#这中二病对着一堆葱在说什么呢……,,19000039,1,1000095,,,1,103,2,100009500,1
1000096,战斗事件,#1#为什么看你好像并不厉害的样子？#2#我躲闪，不代表我打不过你，我只是不想伤害你,,16000009,1,1000096,,,1,113,2,100009600,1
1000097,战斗事件,#1#么么哒么么哒~#2#放肆，我可是天生的女王，怎么会轻易让你近身,,17000023,1,1000097,,,1,113,2,100009700,1
1000098,战斗事件,#1#为什么不与我一战而一味闪躲？#2#神的威严岂是你这样的凡人可以挑衅的？,,19000011,1,1000098,,,1,113,2,100009800,1
1000099,战斗事件,#1#喂喂，我们实力差太多，你胜之不武呀#2#那好吧，我闪几次让你几下如何？先打中我再说,,19000033,1,1000099,,,1,113,2,100009900,1
1000100,战斗事件,#2#我才不是因为打不过你，才在躲闪。#1#那你躲什么？#2#我在等技能CD恢复。,,19000039,1,1000100,,,1,113,2,100010000,1
1000101,战斗事件,#1#打不中敌人的时候要怎么才能战胜对方？#2#你不知道有一些人是必中的吗？,,16000009,1,1000101,,,1,124,2,100010100,1
1000102,战斗事件,#1#么么哒么么哒~#2#放肆，你怎么又来了#1#女王大人，我知道了要必中才能打中你，这一次你逃不了了,,17000023,1,1000102,,,1,124,2,100010200,1
1000103,战斗事件,#2#神的威严岂是你这样的凡人可以挑衅的？哎呀，疼。#1#尝尝客服的不复制不黏贴吧！,,19000011,1,1000103,,,1,124,2,100010300,1
1000104,战斗事件,#2#喂喂，我闪了好几次了#1#你以为闪了我就没办法吗？上客服,,19000033,1,1000104,,,1,124,2,100010400,1
1000105,战斗事件,#1#还在等技能CD恢复吗？#2#马上就好了，我闪#1#不会给你机会闪躲了~看我必中！,,19000039,1,1000105,,,1,124,2,100010500,1
1000106,战斗事件,#2#亚瑟王……的义兄登场#1#能连着说吗,,17000010,1,1000106,,,1,111,2,100010600,1
1000107,战斗事件,#2#令人铭记的爱情总是悲剧啊#1#但是我想你应该没有后悔过爱上伊索尔德#2#那是自然,,18000007,1,1000107,,,1,111,2,100010700,1
1000108,战斗事件,#1#不愧是白马王子的来源，果然不同凡响#2#勇者过誉了,,18000005,1,1000108,,,1,111,2,100010800,1
1000109,战斗事件,#2#命运真是无常，但是最后能被原谅真是太好了,,18000006,1,1000109,,,1,111,2,100010900,1
1000110,战斗事件,#2#圆桌骑士团，出发,,19000008,1,1000110,,,1,111,2,100011000,1
1000111,战斗事件,#2#身为亚瑟王的义兄，别人打我是非常不痛的#1#让我想想这该如何破解,,17000010,1,1000111,,,1,122,2,100011100,1
1000112,战斗事件,#2#如果你伤害太低的话，是赢不了我的#1#一定有办法可以破你的防御,,18000007,1,1000112,,,1,122,2,100011200,1
1000113,战斗事件,#1#不愧是白马王子的来源，防御蛮高的啊#2#对哦，如果防御高的话，你该怎么打呢？,,18000005,1,1000113,,,1,122,2,100011300,1
1000114,战斗事件,#1#卧槽，长江骑士啊#2#你是故意惹我生气的嘛，我开起盾来可不是这么好打的#1#我也两下弄死你就行了#2#试过再说吧,,18000006,1,1000114,,,1,122,2,100011400,1
1000115,战斗事件,#2#我等圆桌骑士团，谁都打不动#1#我已经知道如何破解了，用无视防御的纯粹技能就行,,19000008,1,1000115,,,1,122,2,100011500,1
1000116,战斗事件,#2#身为亚瑟王的义兄，别人打我是非常不痛的#1#让我想想这该如何破解,,17000010,1,1000116,,,1,134,2,100011600,1
1000117,战斗事件,#2#如果你伤害太低的话，是赢不了我的#1#一定有办法可以破你的防御,,18000007,1,1000117,,,1,134,2,100011700,1
1000118,战斗事件,#1#不愧是白马王子的来源，防御蛮高的啊#2#对哦，如果防御高的话，你该怎么打呢？,,18000005,1,1000118,,,1,134,2,100011800,1
1000119,战斗事件,#1#卧槽，长江骑士啊#2#你是故意惹我生气的嘛，我开起盾来可不是这么好打的#1#我也两下弄死你就行了#2#试过再说吧,,18000006,1,1000119,,,1,134,2,100011900,1
1000120,战斗事件,#2#我等圆桌骑士团，谁都打不动#1#我已经知道如何破解了，用无视防御的纯粹技能就行,,19000008,1,1000120,,,1,134,2,100012000,1
1000121,战斗事件,#2#哦……哦……#1#看你一副只会流口水的白痴相想来是无法交流了#2#哦……哦……#1#唉……,,20000008,1,1000121,,,1,135,2,100012100,1
1000122,战斗事件,#2#我们每个人…打从出生开始...就是自由的#1#真是震撼人心的话语啊,,18000039,1,1000122,,,1,135,2,100012200,1
1000123,战斗事件,#2#这个世界……原本就是残酷的。但却又如此美好,,19000045,1,1000123,,,1,135,2,100012300,1
1000124,战斗事件,#1#我在人生的道路上迷路了，不知道该如何选择#2#那就自己去选择不会后悔的道路,,19000046,1,1000124,,,1,135,2,100012400,1
1000125,战斗事件,#1#那一天，人类终于回想起了曾一度被它们所支配的恐怖,,55000001,1,1000125,,,1,135,2,100012500,1
1000126,战斗事件,#2#我出手快，我攻击高！#1#但是只要比你出手快就可以了#2#别说破啊！这样别人不是都知道要用高先攻来打我了！#1#←_←,,20000008,1,1000126,,,1,149,2,100012600,1
1000127,战斗事件,#2#我们每个人…在出生之时…就是赤裸裸的，渐渐地都带上了各自的武器……#1#不想被伤害就先出手伤害别人吗……,,18000039,1,1000127,,,1,149,2,100012700,1
1000128,战斗事件,#2#这个世界……原本就是残酷的。你面前的每个人所露出的样子也许都不是他原本的样子，只是被伤害的多了就开始伤害别人……,,19000045,1,1000128,,,1,149,2,100012800,1
1000129,战斗事件,#1#你和万事屋老板都是死鱼眼#2#少年郎，死鱼眼可是有很大功用的#1#有什么功用？#2#你以为为啥我的先攻可以这么高,,19000046,1,1000129,,,1,149,2,100012900,1
1000130,战斗事件,#1#在强大的先攻值下，人类终于回想起了曾一度被巨人所支配的恐怖……#2#在人类灵巧的闪避面前，巨人终将回想起了曾一度被人类痛扁的恐怖,,55000001,1,1000130,,,1,149,2,100013000,1
1000131,战斗事件,#1#怎么样，练了什么新技能没？#2#出手更快了#1#哦！不错不错嘛#2#过奖过奖，其实在闪避面前还是一片浮云。,,20000008,1,1000131,,,1,164,2,100013100,1
1000132,战斗事件,#2#小哥我又回来了！#1#看来这次是有练过了#2#加了先攻！出手更快了！#1#那好像也不是解决闪避的办法……,,18000039,1,1000132,,,1,164,2,100013200,1
1000133,战斗事件,#2#你好#1#你好#2#我又来了#1#你确定你这次能打中我了？#1#……,,19000045,1,1000133,,,1,164,2,100013300,1
1000134,战斗事件,#1#好了，你什么都不用说了，我都懂的，我都带好了#2#你真的懂吗！！？真的懂吗？！！加闪避哦！！！要加哦！,,19000046,1,1000134,,,1,164,2,100013400,1
1000135,战斗事件,#2#……#1#……#2#……#1#……#2#闪…避…#1#已…加…,,55000001,1,1000135,,,1,164,2,100013500,1
1000136,战斗事件,#2#知道人和牛的区别在哪里吗？#1#牛是动物，人是人#2#牛一直都是牛，但是人有时候却不是人。,,12000005,1,1000136,,,1,158,2,100013600,1
1000137,战斗事件,#1#记得我第一次出国的时候，发现酒店里老鼠，但是英文太烂不知道老鼠的英文怎么说。#2#然后呢？#1#无奈之下打电话给前台说，“doyouknowTomandJerry？”“Yessir”.“Jerryishere!”,,12000008,1,1000137,,,1,158,2,100013700,1
1000138,战斗事件,#1#你为什么老爱吐别人口水#2#我的口水从来不是随便吐的#1#怎么说？#2#就算身上喷了香水儿，我还是能闻到哪些人身上飘着人渣味儿。,,19000040,1,1000138,,,1,158,2,100013800,1
1000139,战斗事件,#1#昨天我去动物园看你的同类，然后我还给他们丢了一盒酸奶，结果你兄弟捡起来看看，又给我扔了回来。我奇怪了，又扔过去，它又给我扔了回来，你说是什么意思啊。#2#混蛋，吸管都没有你叫我兄弟怎么喝！,,19000048,1,1000139,,,1,158,2,100013900,1
1000140,战斗事件,#1#为什么我的个子再也长不高了？#2#因为你得了恐高症。,,20000006,1,1000140,,,1,158,2,100014000,1
1000141,战斗事件,#2#虽然我被命名为迟钝奶牛，但是我并没有看起来那么迟钝#1#此话怎讲？#2#我每回合都能回12%的血，生命力顽强,,12000005,1,1000141,,,1,174,2,100014100,1
1000142,战斗事件,#2#身为一只老鼠，需要顽强的生命力。#1#所以你比刚才的奶牛血多一点咯？#2#而且我依然能每回合都能回14%的血。,,12000008,1,1000142,,,1,174,2,100014200,1
1000143,战斗事件,#1#你为什么老爱吐别人口水#2#这次的攻击不一样，是加了特效！duangduangduang！还会回复自己16%的血哦,,19000040,1,1000143,,,1,174,2,100014300,1
1000144,战斗事件,#1#谁乱扔香蕉皮，害我滑了一跤？#2#这只是个开始，接下来才是真正的攻击，看我边打边回自己的血，每次18%的血哦。,,19000048,1,1000144,,,1,174,2,100014400,1
1000145,战斗事件,#1#听说龙息很厉害？#2#你试试看不就知道了。#1#哎呀，疼！哇靠，你还回自己的血？#2#嗯哼，只是区区20%而已。,,20000006,1,1000145,,,1,174,2,100014500,1
1000146,战斗事件,#2#虽然我被命名为迟钝奶牛，但是我并没有看起来那么迟钝#1#此话怎讲？#2#我每回合都能回22%的血，生命力顽强,,12000005,1,1000146,,,1,191,2,100014600,1
1000147,战斗事件,#2#身为一只老鼠，需要顽强的生命力。#1#所以你比刚才的奶牛血多一点咯？#2#而且我依然能每回合都能回24%的血。,,12000008,1,1000147,,,1,191,2,100014700,1
1000148,战斗事件,#1#你为什么老爱吐别人口水#2#这次的攻击不一样，是加了特效！duangduangduang！还会回复自己26%的血哦,,19000040,1,1000148,,,1,191,2,100014800,1
1000149,战斗事件,#1#谁乱扔香蕉皮，害我滑了一跤？#2#这只是个开始，接下来才是真正的攻击，看我边打边回自己的血，每次28%的血哦。,,19000048,1,1000149,,,1,191,2,100014900,1
1000150,战斗事件,#1#听说龙息很厉害？#2#你试试看不就知道了。#1#哎呀，疼！哇靠，你还回自己的血？#2#嗯哼，只是区区30%而已。,,20000006,1,1000150,,,1,191,2,100015000,1
1000151,战斗事件,#1#请传授我长寿的秘诀#2#保持呼吸不要断气,,19000035,1,1000151,,,1,193,2,100015100,1
1000152,战斗事件,#2#不怨天。不尤人。下学而上达。知我者其天乎,,19000052,1,1000152,,,1,193,2,100015200,1
1000153,战斗事件,#2#水善利万物而不争，处众人之所恶，故几于道,,19000053,1,1000153,,,1,193,2,100015300,1
1000154,战斗事件,#1#说，到底是谁派你来的#2#当然是猴子啊,,19000049,1,1000154,,,1,193,2,100015400,1
1000155,战斗事件,#2#来来来，陪我玩玩，之后带你去一个地方#1#我很好奇#2#好奇就速度点,,19000048,1,1000155,,,1,193,2,100015500,1
1000156,战斗事件,#1#请传授我你这该死的强大技能#2#呵呵呵，那就给你一点提示吧，我的技能是必中的，你无法闪躲……,,19000035,1,1000156,,,1,212,2,100015600,1
1000157,战斗事件,#2#我也就不为难你了，主动告诉你，我的制胜招数是必中+暴击#1#就算知道了这个招数，然并卵…#2#你只要好好想想……,,19000052,1,1000157,,,1,212,2,100015700,1
1000158,战斗事件,#2#听说文案狗已经在这里卡住了……#1#不要拿我和那个小渣渣比，我都提示过它我是必中+暴击技能了,,19000053,1,1000158,,,1,212,2,100015800,1
1000159,战斗事件,#2#这种必中加暴击的打法是不是很凶残？！！你能过的了我吗？诶嘿~打不过我的话去找小道算账,,19000049,1,1000159,,,1,212,2,100015900,1
1000160,战斗事件,#2#文案狗自己都打不过去了，还指望它给你提示？自己琢磨去#1#其实我听说了，这里都是必中和暴击,,19000048,1,1000160,,,1,212,2,100016000,1
1000161,战斗事件,#1#请传授我打过困难这关的秘诀#2#反正你也躲不了，不如硬碰硬#1#……,,19000035,1,1000161,,,1,233,2,100016100,1
1000162,战斗事件,#2#打不过不怨天。不尤人。回家堆正确的阵容再战即是。,,19000052,1,1000162,,,1,233,2,100016200,1
1000163,战斗事件,#2#水善利万物而不争，处众人之所恶，故几于道。汝之阵容合乎？,,19000053,1,1000163,,,1,233,2,100016300,1
1000164,战斗事件,#1#说，怎样才能打过你#2#同样以一个逗比的心情来打就好#1#别开玩笑了#2#咳咳，实力达到即可,,19000049,1,1000164,,,1,233,2,100016400,1
